panel,record,series,x,y,x_unit,y_unit,evidence_class,formula_source,method
A,a-orbit-0113,Gamma,0.70160949437993547,0.88617079579624292,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0114,Gamma,0.7046795747722997,0.88175417384341392,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0115,Gamma,0.70777340019293644,0.87737058221583708,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0116,Gamma,0.71089088582305882,0.8730199732068249,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0117,Gamma,0.71403194619522359,0.86870229556340617,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0118,Gamma,0.71719649519567419,0.86441749457796835,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0119,Gamma,0.72038444606670071,0.86016551217929071,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0120,Gamma,0.72359571140902001,0.85594628702292475,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0121,Gamma,0.72683020318417035,0.8517597545808866,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0122,Gamma,0.73008783271692612,0.84760584723062549,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0123,Gamma,0.73336851069772779,0.84348449434323092,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0124,Gamma,0.73667214718513141,0.83939562237084997,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0125,Gamma,0.73999865160827394,0.83533915493328159,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0126,Gamma,0.74334793276935629,0.83131501290371979,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0127,Gamma,0.74671989884614332,0.82732311449361862,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0128,Gamma,0.75011445739448179,0.82336337533665493,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0129,Gamma,0.7535315153508344,0.81943570857176129,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0130,Gamma,0.75697097903483124,0.81554002492521227,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0131,Gamma,0.76043275415183764,0.81167623279174028,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0132,Gamma,0.76391674579554059,0.80784423831466023,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0133,Gamma,0.76742285845054869,0.80404394546499292,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0134,Gamma,0.77095099599501282,0.8002752561195603,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0135,Gamma,0.77450106170325994,0.79653807013804878,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0136,Gamma,0.77807295824844502,0.79283228543902051,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0137,Gamma,0.78166658770522024,0.7891577980748623,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0138,Gamma,0.7852818515524187,0.78551450230566433,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0139,Gamma,0.78891865067575584,0.78190229067201422,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0140,Gamma,0.79257688537054627,0.7783210540667056,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0141,Gamma,0.79625645534443823,0.7747706818053447,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0142,Gamma,0.79995725972016207,0.77125106169586011,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0143,Gamma,0.80367919703829638,0.7677620801069025,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0144,Gamma,0.8074221652600494,0.76430362203513325,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0145,Gamma,0.81118606177005659,0.76087557117140248,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0146,Gamma,0.81497078337919382,0.75747780996581082,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0147,Gamma,0.81877622632740643,0.75411021969165493,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0148,Gamma,0.82260228628655363,0.75077268050826018,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0149,Gamma,0.82644885836326887,0.7474650715226977,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0150,Gamma,0.83031583710183543,0.74418727085038938,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0151,Gamma,0.83420311648707823,0.74093915567460433,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0152,Gamma,0.83811058994726895,0.73772060230484904,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0153,Gamma,0.84203815035704899,0.73453148623415565,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0154,Gamma,0.8459856900403655,0.73137168219527504,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0155,Gamma,0.84995310077342434,0.72824106421577506,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0156,Gamma,0.8539402737876558,0.72513950567205943,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0157,Gamma,0.85794709977269767,0.72206687934230263,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0158,Gamma,0.86197346887939175,0.71902305745831807,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0159,Gamma,0.86601927072279472,0.71600791175636158,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0160,Gamma,0.87008439438520568,0.71302131352687992,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0161,Gamma,0.87416872841920568,0.71006313366321516,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0162,Gamma,0.87827216085071413,0.70713324270927014,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0163,Gamma,0.88239457918205799,0.70423151090614944,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0164,Gamma,0.88653587039505621,0.70135780823778249,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0165,Gamma,0.89069592095411854,0.69851200447554018,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0166,Gamma,0.8948746168093572,0.69569396922185667,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0167,Gamma,0.89907184339971458,0.69290357195286612,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
