rOverR,leadingQuadrupoleNormalized,remainderEnvelopeNormalized
0.0078125,1,0.0078125
0.0092906805859587598,1,0.0092906805859587598
0.011048543456039808,1,0.011048543456039808
0.013139006488339293,1,0.013139006488339293
0.015625000000000003,1,0.015625000000000003
0.018581361171917523,1,0.018581361171917523
0.022097086912079615,1,0.022097086912079615
0.026278012976678589,1,0.026278012976678589
0.031250000000000014,1,0.031250000000000014
0.037162722343835046,1,0.037162722343835046
0.044194173824159237,1,0.044194173824159237
0.052556025953357184,1,0.052556025953357184
0.0625,1,0.0625
0.074325444687670064,1,0.074325444687670064
0.088388347648318447,1,0.088388347648318447
0.10511205190671433,1,0.10511205190671433
0.125,1,0.125
0.14865088937534016,1,0.14865088937534016
0.17677669529663692,1,0.17677669529663692
0.21022410381342868,1,0.21022410381342868
0.25000000000000006,1,0.25000000000000006
0.29730177875068037,1,0.29730177875068037
0.3535533905932739,1,0.3535533905932739
0.42044820762685742,1,0.42044820762685742
0.5,1,0.5
