panel,route,series,x,y,rawValue,auxiliary,source,pointer
C,independent,one exact-root atom,4,1.2170975824768421e-05,0.00045674140455718537,,research/certificates/r072i/independent-data.csv,row[0].liftedRootAtomRatio
A,independent,initial trace,8,0.010916016933728347,1.2872837974450384,,research/certificates/r072i/independent-data.csv,row[1].liftedFirstRatio
A,independent,target diagonal,8,0.0017439773189143039,0.20566052245791525,,research/certificates/r072i/independent-data.csv,row[1].liftedLambdaRatio
A,independent,mixed moment,8,0.045674872276114845,5.386261617984901,,research/certificates/r072i/independent-data.csv,row[1].liftedMixedRatio
A,independent,generic B term,8,1.3647132331827272,160.93537083172464,,research/certificates/r072i/independent-data.csv,row[1].liftedGenericBRatio
B,independent,generic bound / measured cubic exposure,8,378339.3135999175,160.93537083172464,0.021148311783851147,research/certificates/r072i/independent-data.csv,row[1].liftedGenericB/liftedMeasuredCubic
C,independent,one exact-root atom,8,0.00019759817990403752,0.023301991645795238,,research/certificates/r072i/independent-data.csv,row[1].liftedRootAtomRatio
A,independent,initial trace,16,0.006936357878014586,2.572244892847703,,research/certificates/r072i/independent-data.csv,row[2].liftedFirstRatio
A,independent,target diagonal,16,0.0004972554322700439,0.18439976261194688,,research/certificates/r072i/independent-data.csv,row[2].liftedLambdaRatio
A,independent,mixed moment,16,0.028708196645715934,10.646006665669201,,research/certificates/r072i/independent-data.csv,row[2].liftedMixedRatio
A,independent,generic B term,16,2.200257239200313,815.9325896985227,,research/certificates/r072i/independent-data.csv,row[2].liftedGenericBRatio
B,independent,generic bound / measured cubic exposure,16,2380010.281197436,815.9325896985227,0.03411953458814876,research/certificates/r072i/independent-data.csv,row[2].liftedGenericB/liftedMeasuredCubic
C,independent,one exact-root atom,16,0.0008041849817136658,0.2982200094770615,,research/certificates/r072i/independent-data.csv,row[2].liftedRootAtomRatio
A,independent,initial trace,32,0.004410075137008345,5.1432191375095995,,research/certificates/r072i/independent-data.csv,row[3].liftedFirstRatio
A,independent,target diagonal,32,0.00014041433117562905,0.1637572269965929,,research/certificates/r072i/independent-data.csv,row[3].liftedLambdaRatio
A,independent,mixed moment,32,0.01813074040174432,21.14484858294908,,research/certificates/r072i/independent-data.csv,row[3].liftedMixedRatio
A,independent,generic B term,32,3.5142682922024817,4098.490699879606,,research/certificates/r072i/independent-data.csv,row[3].liftedGenericBRatio
