side,normalizedBracketPosition,radiusExact,radiusDecimal,polynomialValueExact,polynomialValueDecimal,polynomialValueAttoDecimal,sturmVariations,zeroSturmValues,sturmSigns
lower,0,18846624964526367/50000000000000000,0.37693249929052734,-8775241175487303395840024330442163318732841049936834028345911039948193663230780898780200681417413204000937707410683122163000608139554017827691195844323832866145559209428925673240280423402753890050693364535762300213553580085179704738808238421205417991126163474608371047493997475273313459731203447881108096741613584036419110045551622154455039361447454443350906991613172168719763036224346466594884198200226703081178005470923247757057439265464843791099981613302125276004848625787738480576942218779005342338562345677247251040398585741294611216914980970050736411195474186140103768543774800956114507213922989423077629086900696691685695323778038533833533686040217614683759994863782520271990912234893176427758727053510438001793301375747474860662673437403535676653531924483817732409701923691906108449751155115250112300268494020994459740378834385257285862120898662557444607993027045971446765571442455612044363341139539043250785171521971132413432420701472570102708101714428255309881837398873567957265177096516618147216254436871291880469267524685679631787475947798098866577099707449860068300766603882195415708443815860320973987926316235686616440783501624124541825979925983617741556219870917306745841613310022763691083626865245576561179347532469584509411326928553096707363581161413841413464455386705953218510647633142358679645083597508538338444912919312389966086545316279573921547244462682071020291030113011393611226493803552623719156657508038358203019522529795697043520948000058443001254339920298206113256003573976901242170364952957211452113486081645220078813581546860854108538432643602708112545842458273333395418203490684027187/1812983575363912517294811163246048183496625850580382442913087104996234671973795008286699059390029432105495846875228998512926285383070109379137916021508033008312298466235331326649020125337947172597212385509046394559786189367486380826855039625103606052322369068861007690429687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-4.8402210007478343466e-18,-4.8402210007478343456,40,0,-+++--++---+---+++---++-++-+++---+--++-+++--+++--++-+++-++---+---+--+--++-++--++-
upper,1,376932499290527341/1000000000000000000,0.376932499290527341,14606801862183258906186885782272455339075711366197324564914389049466785567426689974171579890995428774609333151850967131264989277114360462305455971307443572898724841826570961358922864469999276905713444839437804887044647161407973836378153924380624912352562669142798940474428388301318643979318536954000740425995814422197174190105665962613581211191525273181567101050984801592780939119259584540515707695212294327338379320675279368166076044640024282154014087298371380035141570909404775174419356102675429719538717956232987714903994080800875707582724619625516389129943220489897336074866692819199796848364058735212708078618686764669025708999964441308789267539920975148615085708899229875214848796705240704522476456777589333862043563422910588549747065801717020729573554688404541620310337677493530619032581150214382690777620539060150839509731934605928214980322952788150326648146560894401425560049647618444307112962904994289396817330808228424660677045300763861325687474888617162035599184623234415112194916967600958985808759984082749065569592589426178580884157590464586186042844764535208151139472339321658498277170705160667721752565642942131034254884962556233239001409514405127897507290264967771154470642098865954642221258774631996402077788109841572613594782295782431974259046756586193677125883308284480240039669093307129386711990959451217083625308856676801889284746096141097754887620782261879045321547648562446113622977755735116328336249541917615121152264409536209522216738201329686727180684727271518311245359019827922986250710468022763492640646097104633863965479620714159494768875832562125962485675547862589891519563066698377964162645478924093778850317499647569897334936423853439948215236440360366614989307478601492002122361/31134369994542515196536128324251587424061656889935365952554376459947491542251506741705274520751714703944614689234164137531262651758077143999597332174774480753905629954228169328265808563081272986825218694952396270114880930635220234954023308877440387095882962567168000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4.6915360306772411214e-19,0.46915360306772413423,39,0,++++--++---+---+++---++-++-+++---+--++-+++--+++--++-+++-++---+---+--+--++-++--++-
