order,label,radiusSide,boundExact,boundDecimal,distanceBelowOnePpmDecimal,isActive,classification
0,"active s=162,j=81 (left)",window left,47270470896096045285954163884292245708663341927149282511904946855056770886964251549437935985946756498030528496219002972505394953593683070440217843602265492613039270552680808356500831778581890133110515475999615829088666483291740771067350166389073197504808086436435732604672051832843900476953552537233055519140483782526165205852025392361640451152502109196619038991174065142370665694672920697527301621640222181893684050409310167538110921833015636916573725613685599858082591719011396034519577573243526381217655388462550131213309157177826019135742492307513022299987907532971472596639518056747642666129348215210606601545546104688831577082246960761623524826850563531401069137789423744532408330208348380135832460742667139727598483/47270596206541107975163533603808597290415392051849076577934653280770992652963559315689461079642999536502657482756816126603753687081701096184339560857022356122221169417191849430874607905433169698008860019662027619684573277139509989705509758974731885538466284051107431807448641145161672555419229979634110350161790847778320312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99999734908261961319,2.6509173803344006082,true,exact active-column lower bound across the window
1,fixed s=164 (right),window right,48332836062050361430507744538178111221984978829590357321276500042401078482220629453815256937888397531709482955739958170604359626363404775350242422645544474405109744391394854270630655305226138838232677173528658020957481804405645780985405348710684310621291473117181779438397151631672055348396559799374466414021947744867079554864031340573419304970000357735385974297016670810002090991491673941600074637862450541110786554208227394747481765179100644013567775863647355028078080168532096330916152059204538729108291756857135179178671477469438477273092227107524480183509814287334779140887857285978448066586213484802793152616929864839943707098504482734990625268973237666765068978967013826009018208007493927660775963761169144163750315713638523744759938385097522224709830339152207084518280358021429518640757/48337794780413621271850193648482088806887074973327003005468545558793949299668980259737011827071515267453404132837889066045470201387768456314290593670643781225739874844662554553388163691387872893899910680219461692916819038402662226154077480061057776354447163088650718479563996094556379545600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9998974152961304096,102.58470386963337262,false,exact competitor upper bound across the window
2,fixed s=166 (right),window right,424373642738545921176803920079582204708149470743098184968960109463238471580220927565732475535353970375579352179739189651666388347303393262451648016182552006643217997774847179189006877987947222379739759639856065751675636170315114517609244749648611240466428134008941751086971049707604979491286859802772725229565989496644009646275518908569345746864105795894487305217346353422025179864826697000761160839752278473361015123558052394484905176230320326088263848757410894154454272798822876649999722846310505190351670150927673525482663997215864888740131764272198505015496272165170781300181443595884243000058957774519778714371428435340860320097883444646982254589938675354391007439914096843470163712395232540253281276790154866559755525786577512848941592483078675723419446340198408167552848993137133378533/424460789408909616904117303972183616694373901014949217018971336564766145080987128010699756453255674016813098601607008725419606765087359938660486549491646182986022406057056063341157058654510998580479665075768500932701463653059078458652110623937738475194642839450935424301293719863500472320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99979468852591768524,205.31147408233718465,false,exact competitor upper bound across the window
3,fixed s=168 (right),window right,9259109151454711579244360237203107409591510331608952218809588328487366706625466894484157445917974005630323835740034641413955489346905666449255677065874293538381025067638373089282417570051533923062737526157212369336205466299254493349324681489125362322173999691948172287787956858031774421808658925904851461391144817036671903868815576963789121974928152844554690575959860482539206935843117811237033596457489301846138729367651631466398798946658981534413309112462572495494300327615688489053598004384201811963667395414569002091693197090591741299099162277976979098067742860297024028072239050707147881311626539111802417214453059242582697412770126219009755370265573045650112862909920996392739794434704369939977659193626414898347358582898715284203409214286828735640604583897600466406802949308473959741273/9261939702993040759920174477242422480241708080697273965808783471283540199319392876726011173868257623272229508459542350331817269879544223123647210561844331780447691615013405317005779174689529040187426690628276258176672335466022474871598772173694728321826310213668496068524364987547779072000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99969438890458173219,305.61109541821724633,false,exact competitor upper bound across the window
4,fixed s=170 (right),window right,3412356267678230596879081738474473309159002820072232059464001391884913563903168428425890076135346820517872463416526052280922480909553788267105395027608741333496859251904179786700766663609745347521972779244367062332132822197704747402693989315492812171963794916833847596358501517577696659084885486401606960394753953606418023356204410385345340523519380825007873833618606825711393274976405410800477131866891820812875664978894492581438631838557423247595364992965016026986785340683447187774037608557804387595914401697225654136532828341165660625715373911718601186299255071887344863861164563896828947757210245956341784045101850759229568036576247417102689247487828508109978055462817467188512087036090287215995190952284431166604673007321930302055759364370611095647956219600006553949375866637135047419/3413733943632167397251827311848487996800387022952915607892069985207186647269949811481501562929378487166139808929850597529397088859982485706535777467262239635427290867084572194657439969316825657139092625203433593908849446118170222289391345702410639013180578384849002084260036738051945267200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99959643136322717805,403.56863677283871539,false,exact competitor upper bound across the window
5,fixed s=172 (right),window right,4861703447239211732280022816675807822972798180017048873390889742174074942552145682341817575788774839237144892455903462828647521402612176339385442541994060959437206707236567934772417870945527479143513465389945779825367329307339803152618958535052551674788087499237021836350753810059329133132823530662622596060618032984699808963675296953157789780743405981305282062251058126704460046271129958335456463352156237587322066528275965186917595376314359267659504197635104997526692036533255107530702671838365274678219686129269455122088745084631088531653378803300666308052155653923408048993781911282560849811612149023376035446534810359160429783115730181197814099463060088625764972436413214355918119823868035048588103857502629489622001258165547428855680198732005423033163137673586688341407825267087073475091/4864131939215733778952051638367925252194093497301330965200909491835828152072965551767758272926000213480505817530463160492454491311053197335462575450767368629904647380888768143707977173632836763848776092377439388691197762053026299347844116636718057258041586534596928109561060061669375344640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99950073476483169976,499.26523516827211324,false,exact competitor upper bound across the window
6,fixed s=174 (right),window right,169308124264673473587504725640626668933376293322312628320100016577269839464787063253818336949084248256829319494638181192187381823241478058940473955322993646014992857889903156534679279312050823579049780057077006234903558900568672515962612991055200123970985532570348309344510931141249965918657705391950392127724879877186639863456808587735605613325960847444949312051637102695526416861652553244235293197441840993345981755052310323218369641746623684601865286507709522840351144768892469370611342519778586206874122154859911466215046009563428690653985005948953291887184091288592094226090535195240795024699833067732715585854962227185104837355154287513962953585157135049755376955233629239711403155076814849741686912053441597441487113223117723863086167465141854803047270455469187066526688826934670487733895601/169408545978028319578598284569635476528482819247035780967029101661318128286064399056754645131697668852849731772130228089067917592926873121458399691582804023470179587677936319688974398656566253760833578946343321835874326075184806594227461340049144323837505386000973409541940739285557898012262400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99940722167954931798,592.77832045067157196,false,exact competitor upper bound across the window
7,fixed s=176 (right),window right,4056998296355026589176080632610781081847029018754978560557900496458171317903579445361694912973299265681904154513991931146774346388244440452899616084311241278087235154351154758084143407166613809804884039577509293765226399347879410619133459524209259119643260271216347635291636162175551122679860452872152757820054982971373866829541440742764530606117894394284310064493531509595831562397983206832483901481623419797616007159722306011426517850705179365717894520492308368958303283917294681800538520451075210462010929742450163369367521876292655015199304949403783784129146672662613533450517558713458088074929321965112383737826129604622733700437067940214820300609691822711675637038861783197476506407846347579160514735630381523557993426514581680383221747629228729441158307051551236532516235938391853033761401/4059775921252882916848734825946863595354510792474694761997017454647657383306660258458096157841497975895301867542618660742095239486248829561046735204317393582046768945110646840572585554172153644988993781329866629419120243823946471595292941366358758805973694386750787925851373078595713640693760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99931581817525561018,684.18182474443756291,false,exact competitor upper bound across the window
