sampleIndex,windowPositionExact,windowPositionDecimal,radiusExact,radiusDecimal,activeMarginExact,activeMarginDecimal,activeMarginPpmDecimal,sign,classification
10,1/10,0.1,3769321/10000000,0.376932099999999992,-47920142130388915677754745925903970175212186586478291622645852507211355259048039143988544026144609596532090356212538600003525247339135603884347747117575531511374363590334358057398367778238067494448486079882386991047414513501679830684005471225998365344824755829106258694321454417529599129615134273676286955946882753911374344110381596610753115396346346736836775878833488749583928193297049648920423511531679295405713182654741994832072303395812791176408221073461131721200248610210177864903552814035024225993985603874102659799790947384449675395337512962659063583543054136027542780523597787585977135916544169100883557686276620271591994927997657168936125376327097179152383962051370769453756639080473329892636145986430242082485275873392934792150207603859098852116358714734144227285693705881813695808525427639812200460846335056911937897609398556740187068930917366680215547/22604042945349109342014202432327754905479298885011034034239968281800396272547125024653482053266383877540415483948051458948136429985672187223930465530832414010806861273200269584093752996192690149836595520920849899727067964206608865748429168292061288166520315066814434601843258975846400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.1199810249099139376e-06,-2.1199810249099138026,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
11,11/100,0.11,37693211/100000000,0.376932109999999987,-8750354905448492471701939779124107711030601145773913381366401076066287037312053380088832307040059930887132974813995996147281669884687819256754635682654081078219523087028976169910783780115876068087286545593099992876521546216595855072107264979997813843816039808260974758365196386259442259037979554690238412766578811664039438736913362480425475342510719679350749810917730243278943251982299482248199210035437899704408549250857120989579208176875015520808700086829944488698088859543444204210113756672152702053032495128330152806014315127365915958357899885338202531875421764576363748413190976855456639349345875732371589682143547916007665766463807154897026064965363083747096098849029669229570580295225822358661681297040898201289141182912660494165222063303402899679611378498631568632885147038610238787176682127106321958752187725378996357464353449830519747500839013930184995000176863741588867313584873434712230600736602887291799093918083864211149564251138173897/4233590570888028778949763288839018725943647687917558607688566874041232408622543531426899834253526570821019106961502700577547189867873979618447881101193901266233025086528522802005692307283103420346908064916417472704063189478257198979582753927911068262819404404026017533056606333515218288640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.0668873758411258532e-06,-2.0668873758411261399,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
12,3/25,0.12,9423303/25000000,0.376932119999999982,-249978170957809438667472677782335557126504654555607286059275054045438323757488591732380070313210381557017379070746069327850002608598896639550572173252202096609924346080756860801162656972791240585154366054041834481527611701757341683567960181368273430027565228402631882731251871536890325632958697121661620309118476441356860386627328982089833076052926002326004695642083761067305817851470218262543665319522765837980536806454919330544790824421307596700296833540077223893296966677508434469533998711459593913604017429282967834933919401362763078548745631157702241658465473679233565272198961725980605262488404642145053858084212978537826583364368327907060151234575043289306453548492352427189935850387661861412518576391270685875168453779064317022759525956790591706086226237702808992591884702768960631017560437648024035821296006626715431513992700546226426214639815760935068255260508319794401/124132957581387041959387212503137666731896709961323407861406510005664895896444294060201573364709535334349806975675763406807542184472284344946020763438289137873993352531241287293564014062365321709648813689191493842983125309039845729512777840296702958514060763650688197091473414100629862368008193840296371490694582462310791015625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2.0137937243130030174e-06,-2.0137937243130030751,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
13,13/100,0.13,37693213/100000000,0.376932129999999976,-888185742317460223484213793803383434163112934976366516456548599038866361908620726595912834453936234766869471008066625729241095413329288006984711783301947708297233803508281524185759094715085734372416968582152864463457875888276623312586197611930220256628660674867341987752816295764861818991020055611406231222246835957660442031928499092204151341411827103026916991406492959040407627140336507577944012358150375101919708640107701058642258493146115258846537878686012887210827076679258964938590231416942119103920234628585877729652666234268316118126230597857830344403496690257775075597891033909512920803256197405156784637162346856001560831813306219188703472654641759358674715311946476745394474569657739915037523103368871935617314439411480558682021360626906217718687851847123591834656105197150523241460487911628371049714754533965479849552428025738722033361700109813730384108111732057179020635808438039820606065008281714483548222015670253726067280075679562504579/452994191085019079347624671905775003675970302607178771022676655522411867722612157862678282265127343077849044444880788961797549315862515819173923277827747435486933684258551939814609076879292065977119162946056669579334761274173520290815354670286484304121676271230783876037056877686128356884480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1.9607000703255450068e-06,-1.9607000703255448304,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
14,7/50,0.14,18846607/50000000,0.376932140000000027,-76858935954812844073026105548629659400381065588750240355124049286283961580355436399921093126035552760621364397063071305517038567861610007644615873050773983336111141152452401620995102095431792044156611443896432745281692770307941798236732194006107428775602607963870723086720879426529782146732900236015106499590894218690773093325750399573337890816288514723418507022153916875293499633991680084156301132534353873381021077668078304537440621159119009329876000243980229357874917629039658184479986797594053440639983138808075220252911667343598517385746940566853218490845683665974256139473334507110028951052839790795222429364314264738426958622597519814411326975403421896695787951877379021770584560197347689271812603172667424248290840562627873723819077532561820958637826132543106737952111709273555115543738463797068924226081831935764555737590592635513726652208128136147886900546392809783491772397528912627915255648911/40290772454751268878471680739165335628190684659316015788382155337452204197134750581079556798574793987813862967614105448882220688378921444736197347749084112196033958768432198831314443031729211850695433468205496360384484847308569722263304149938583163031544536352157592773437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1.9076064138787513977e-06,-1.9076064138787514057,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
15,3/20,0.15,7538643/20000000,0.376932150000000021,-166176869068986916566510794674673481942413534717552600577463815718245379652326916600988754574042324505975090489435862477797101755644627085349193505060286382126316107080717585429705970394609778506869855077229819700596012578267456476007157075196215861103719616581842010880661292340555529807664655993901116734990706595422425983379621613190319118083850716483840071963236952481519219645227736726811131502997885674488286897935916151840819236921452132292775369751023148186930362937433813397621841882783077661645913227462957449238813404188669708680321054170688940933088680707668398201898236132529923265351420025808338652452999360531266492704004028272175173428540254801869140354748839911432916726892587225631694193949344917585675785459278771412568236533141827940796953194742359078657859146063761795859929473419180634925375213200893646637593273749283394145851569689533/89606754455263985844889277248253840233479281416107295114205675429651989952837331370868640367007977419717834465612386785652157729545734880107010697851625715965526718987144721193372293413620772476477052368332659241171925967698278501915733908170426563859221977982744758341704089600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1.854512754972622402e-06,-1.854512754972622357,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
16,4/25,0.16,1177913/3125000,0.376932160000000016,-77190513402726990209478838496918573936990189402470771087020548608762986556281965971832364774776928747825819402172621409971325785575583946841647822813105053461252804975945308909452506590665995196251004845396559731764872995181994108506590112656537083271550219224582291520046124130871433302985689284641227557585933685796643497197948938676215515913058295415229250181433740133830321400795180388261474561007304183529929652114106768052757346365842132759884458718428400444454701700091676767013284387656906658919168249744343770172909777032140183877737118207269324688844225300757126122737802808522235193017732621635523419142212004818429311379065434532943323914520935048200102258285308823798080694653012434847588222169286023754534927600454095274776548758987816989245025965662689095459505553010900259166636136790473097/42849836374366873912840523387059468051527903767590889736798725696274736581993028740415559881710043319885370712404585838160050201562307101269190131801988016316787642891250498211951266794363526092190972838953493303609912807367212865251179822652237501712298314876655664451095402606544372030335975943615745022701127657095290423702554994271555510000929509739303580774004795063353231883195118729866807378289950917955680622452508208896092300398998179269258374836371050520256176241673529148101806640625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1.8014190936071575962e-06,-1.8014190936071576843,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
17,17/100,0.17,37693217/100000000,0.376932170000000011,-511946518304865698800312935620911983838922264857285878130890145789777229452726543832849968082083399912382355722946164323031380740460784747222996172811944503970624005289968045280024696829177456566269530666454675195241174844029718985298164901754645044658755672016387290369108655703970952648996580035130288025029331608270253539190106226002926548736189677376863224351525724441411361139051447289077342024048960462234678318536417648362485945981509897881837513005635235045200817186641114970924556485164650833773230045687828648820785798480638016405918775596851588374768379127777112687860620199797205416482762121664740856796008516624268591389618555400602619752216046867033661902076203027657309754961380025014612942793050253282927941822441623293935608562726811427241686199047914784745672425504655723115861390128537780592696066487404805733992412988991580158252282482040068621028704692705495914120517041363071098277763361277421608815312475915023913232986191657/292821067281848144374676581710261799402695735363399334856287430848359319794836559704381565782241333599126725562301738178278958833783138861780170186055428206520319123631901706408926358680861063980038243662609353315665650468114751319208374059655128832657838572224165401446061330113851555840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1.7483254297823571919e-06,-1.7483254297823571655,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
18,9/50,0.18,18846609/50000000,0.376932180000000006,-2694181655348686303971562552672376938927221885942100274374397612866872370594162177180859034010739221253706156388134425392430349223300406366498030480872705692947421917344554765086269410953047456724632719221098287018065192774524678698243523782105261664933696053836576068346045812310325327096186896089950345810145581396319917366551056794524952412784063903002864491379427146297484495715595533624823176393050109781688268875330340817630112862342670315736945584473981511483689806880138184710770195564675041654277207957827961229614484762504302078553300142070889017009948388431456598888279777826308297366436843132659788917574782491580905882763279247304685538682532111860483960398807531181491088135211248701828038273434175759646434298643300777207357874835820528789788618302916533827808837777721932989609021009167855626036959152010741636560599304421857616982050703368650666448861657126234643998689274307407938938403/1589270395564714731811055008259826696201858374664389291472308605421337050665421293295203630672433370071336533639916102445199136364265036840372535057269971698102875982364803411181010783826385909047213456074552091348237261859808615173337579210372882116716355085372924804687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1.6952317634982207657e-06,-1.6952317634982208006,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
19,19/100,0.19,37693219/100000000,0.37693219,-5857315101443477173575197099423845547996874763642214106446061234234431961455073620771670106373116179742394431417215862422544289832849003084434993343892544046113305590162141400029694588151873357422327148781169092289742661781539804816772641862456740202588017624409176341691014782855733216791551558021763742774771844676409932105735484057772645882192343757647899443465058483690363787668031133902078623538172051322676977370499869287081387296302917830404025880391430143600442717483709257012483307028543678953660503374052775334268830892950061466518496040385898530047798428095827387938142857471598189188181227951623138746139959035137978658444261499705807871393433843577735755955259467576060646231784622630476461189680873263930270362929839130361478649370609125768234369881615326273144012753969941660311350113977756119905181804489969937035548541266863924425095502219550412509387508503415931961895133298105438650219974257409471552793564382443788502421501210877/3566883394370228971241139148864370107684805532339990323013202011987495021437891006792742380040372780140543657046305424896043695400492250544676561242738168783361682553216944407989047849443244613993064275165800547868777647828137955045790194254224285859225797411266014771945329745560065802240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1.6421380947547483177e-06,-1.6421380947547483675,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
