sampleIndex,windowPositionExact,windowPositionDecimal,radiusExact,radiusDecimal,activeMarginExact,activeMarginDecimal,activeMarginPpmDecimal,sign,classification
24,6/25,0.24,4711653/12500000,0.376932239999999974,-9155393204962587205795182904297807869824538380679712253159431231747702252089235519169038470362758367675678941154024663112106815649223041382529925382051389979872026887744735947167487953798453720811586965696191727257161808194788564565595489646807328949385599055680656863688218486844008798853606083999862670162017342879154627395142538027108060301574055001798190071957782797161709277396985916119534686199834951272518671855007238756650212260504695513877047552354357281483719139358297526549863453127152519829668724905647302344375599241901285460812360771743828963441000245133707728015554560605738900766144050618335067799904790492281285630027260534207979334925135064842859641938383688359528033547658006145230487108205882557745695743836145189516527565282182891864097965714386807448367443689613135293843819536041126565626740492403111407765146439542651248994299219649/6650391964664611408145257309747899773472467640832948368002556739576925423135548512816213896746749058540781509350722655170384663780533283875362072528072330172870808859586558758342157520254927653509799754911041682549730592996254068814845445957919995963649510479033801320629827756166357403500156847220891601146757197883212863096853851308332350672838928495878008106956258416175842285156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1.3766697141473385488e-06,-1.3766697141473385191,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
25,1/4,0.25,1507729/4000000,0.376932250000000024,-7966143908715833321213358929807435550101072372039865614360007444991881428443817058343343470526311312568641391681068986619268762287911898556496280889698203819578569409682597934138660266168994337612039237531582898368075116913363205271756412367863860070883968705596843274102748523899553422708007472402967223502907157912884336110598195866925247985699403570953549466344327090096859449595881996069351920961048983124455463336712002805026826120056649453884912901873214943051462569022656714348288689574296335748926074423634257270934052712744060825479383455938275364911698983365180201568336304144984262654571093427650540478412463400370659886548310532090004729994546046765364200940234305279478837834347965047342276870083658029767543537037210176076832464428496606505291378203130364867016204484489799690763902758208787441709500934603197439041717685289/6018652290655848094564879959329824308174679718429719333403697546239933844040735677311536438310163276242727731913326687019093890582012167827348985015428801568202359998007426065476573106355156835327670699279469373862659722478406532054818477754284245036567308304964818400033211744301695533628209567199216885651543391722704841239104027885568000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1.3235760306478459458e-06,-1.3235760306478459025,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
26,13/50,0.26,18846613/50000000,0.376932260000000019,-28030626618255461854940672661425835920138967175806505051143815129970529633575539664276454942921666420056605278690829460665399075174785967573806852162490870501408702318957739638479092541912995096561206794588579648150972967192646301466718774686583849517129110763508156685868549711909274303660003834406041962688955579767645759594649191512959606214881479983595340506077407420550246503038735868793310470090697936012912937457213334643503411723910647441997964323102818490256699558858183443421525563916902651654144624236441952342248734761154078496206135763300639520752261431956151456214963622750546645632190050111678685425835865089585134482053165550234363068371536025737052244312386126507429802967505491594662090884698178481487880364229015375525388293181968730242642764533242387547689622776640564539074016117260276989920764821428671962725917151728779857997223372997274803548001971272608794023744606023443802780583163038150819/22062980044887351874990308172945874284428829502955128910712748297629018532305631901079630373196637738191893073287284231781743413797235328096531586056778221457061824388758620886093723190177013739787689209930470106687633748542914144498839882111549629822495741530241649597883224487304687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1.2704823446890162621e-06,-1.2704823446890163297,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
27,27/100,0.27,37693227/100000000,0.376932270000000014,-11280455833180558813876075503886233401615935510050965437103803993598977480618712437198671198745603559917868426317976248307183208217211822745786690799078779939766972171268243863778571414775287533063836354117048489547573808156094076439681178468245818234102448543337588793715469793242007185340362262876281539620310969612757529049985994758385099865895800962590127988946892520932881238009650581188554893428354054461241201579876199608095761936645457461825670904180972586333742885190522246896213762104336566849282977647040120113905420070300335891369797457796504860538921294994686036764558162300459509755832298619090352347823419952940179484466694315944427657947995604759087479107061263936952527962967155351161010235111249225813372745677882216309831326547338890378404026147106519953908628029054612057398193131904879104442647427072451812475177813211818211651711001478977144024706067534810741229399554013960819/9266108875809041009117429554619470269680260377261852187295411343109565210193215467647379377087803474658796574630910723488144147633457198821801022032606440009701645345004169704783745391090078617962755920449081746246176168226283427494625280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1.217388656270849286e-06,-1.2173886562708493564,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
28,7/25,0.28,9423307/25000000,0.376932280000000008,-1581927920850035917957658775609252366758886302934358568763621430956386074266324003060302414221672457418444013931354501484690346875174095438270907034837102125119596643163933543188622682426579964022272251245651476939987911967251769319301937009748359903358192006018942775196908799083846601297978912214825979261618002264582395089157712602382059250626976356706440291914187917739034179195917322728280680764901231818758218567186649148389774395543225742052774779015254166497203526453063329558185327254015526894474911479835671770129594145496785772647214304645897509456578740563752308637351184165924594413032150762059642663601410182935650950860061179773316703658383461955988786334045066719414074157879928650640494993950730168841525301551981093708302291881147039010863818653424998106546661800007092123065855755820996519011710087673903166237400660657369478897652459287935834405123385794186170080774075671/1358700301787870545928207501123881113713254347500008652786657494816473327547546745613382529143034297926645508958453501718611779613288850646414741408398584749937010979716087852628298563244766867276779839439553991874937586304032460628643997280690268357189069711441146942931362606949786369501359970467756210776855141375563107430934906005859375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1.1642949653933448056e-06,-1.1642949653933447607,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
29,29/100,0.29,37693229/100000000,0.376932290000000003,-2045756541539811699227297639144820587364331922571795446690300835815855147855860975537028096325222390628711574731552547995502045667068779152194222066634195603083624720344039705264544862622353635413903465253423108028823116670261089729512286624602825667402557015188584593736856525269696691952929657357892670432115014991202707756125978747245542334801008946639637372262643061740317532205103086962712919638487050246874202663160048427954725405035538163732573562073818855085371383739499550690461512838843373821183516507068580293592721096438812646109371608817171320012082407119531069079440795087649679080431244184161704999032945945811361304172728596014866543461932794039646104351537891357000893730009915299194016391346845453435161403552955129981086338295232543795716226211144977579023896265149799363106342154696939141452191488625935148589078263513296114908963833749672686404920491402590806673710604083582021536068991072411632020155479/1841031497159578939536895470832973746380531815985591904073888098712105455517262698040762908900290499574587018352146223119626914524287651876729733392789469768145557863223273660825853515250371540674990556628297091196466283125795382660390646896290353730437140426260480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1.1112012720565026093e-06,-1.1112012720565027646,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
30,3/10,0.3,3769323/10000000,0.376932299999999998,-3223186588687238407266115212152174414885420811684695576497437831708036540069220430325709817810316271731240894222923704553925108943676966298820842224961407689254740315126489297852748806164148422096838243690330928750831636020308915774738569727038134809763535637002855959741105016693436761191805207591447020000525371179390714806679153769238390363534540842184819043953775979924451397417465044383875751607792086033915971683495397570513205216298685885855215274430876169532216471468758882268204828658167901454759783763922881994718005374952495018075783212501974026466406435099660416643487991731567343033467949129621862834973461359082014517125675618937103585199779181128309461063255474786268977047806926831149519267429664399685761418025364151103593752930314476194093154337276031038457187956459781546683043441596296072675827667196335425229759958952146832687/3046180427210407298155189848223695874923958501532474414703744950449351229987174826138955799621262683768475618725692244765521491108660116444552037656108454125612197913738966594182466588293863027872991015428683214408073941004925533165384361174220845894787317109253734400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1.058107576260322697e-06,-1.058107576260322702,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
31,31/100,0.31,37693231/100000000,0.376932309999999993,-9291131606040909772522708605679282401512230930948494812717734011658431710791177441138272448474863221193061482474757245450268288175035264512789237393547841390999428208543461825871446924796820942878513609451372647624223134290343169078326101605034686551953714335735375110545531758056209648344942020086723964411056324548525260583750530873890931943539465052843525968059280809627566300406598828440715211151579852392089536869791548974427543803041340837240966685411435749792276913291657724664797984089126802986982155597060988958927656405464184619313616246529682170015522787544774966086947649193436606608424372864270445907472036557388078486740275112356026539773896374463517945973945056568510787865607063218654484424242594855830274529586295616187822668316471687276232566737551638287191264410561453221407935209798224390529980128184219642830637433005722057783536726424608956186013165084759184182896698101742755325492050112549716728930007391477814478757324933171/9244779409898348558114789222566836809713679645044464714748503173926772810665554242095475148267904960772429478466954876771378557466581955493345373016892804805855789474664325302338960752638613591369778835633809583251729821921908577363578666740540496002483189208791507674225650565023027691520000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1.0050138780048048569e-06,-1.0050138780048047948,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
32,8/25,0.32,2355827/6250000,0.376932319999999987,-107717845060132932562833695569505805445975962372546717855359537522867027804176672443089214617073218594442513634832247316667959170832718593763117815748982808689774793452658005783928813856044261749668262763077412393396847402903794933682238557788031215696078654935492113092820637939668770174174641342048634377527304015796273901778240080583831240198684092642323105552064621008946123183873187129377813790877077902523556539868402846535614667429010780617032368775925895376188457548337644889515922152908743374186633383980317368200831726926801527527841193450124579029866261922581793459579806049421223222366453620462521586000156384886622847177929455675693792012921077981078316911049011425642478357194690354496195084480121074633140926131848898582394425349466199269548699104831288198746548279040991777123116250523813587791664790542310836537269794919955968130739/113158484954902660374481785352366555214498496047071359528584305556322285335585608181317624718619013093265407685584445095112234195466178664283021882021505125919504509439570471339535279722658556629182520976962917112744163966079013706877055527617326616755884736378669301291649412152224714088061981016434092463341880223089613710993017190018279417836672623111317190868308618815115037141934025563454680096832775931763980913763445457220768730621784925460815429687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-9.5192017728994866561e-07,-0.95192017728994871018,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
33,33/100,0.33,37693233/100000000,0.376932329999999982,-94136219412720756016354091223777228868097484385676857846335086763895249260342024529933819106282274165121631053103884951835418868384212614163177876776402654594688642575190848704925257425400593028624537294971228673182931165655343256359509427769102987523036358061699856586957018675085545727957816483060956361538844604749913403313974532686357989209146421578767105602348256069146556783728852118918863224763011539910220086012993773918242246890801015787280979462801440085314566179395315386509341279283841828841870629317787734962347416051739727677852214048080998176524092383894913063565845218606610413894132597860035399771911028133790783900259739363775622640096963446784427747991622330924196356689694398324123065592355510441023620941326719532271988181874321015957515580941002167361027628007408943785578599940943295341858916052493681903130133107966119759885257402346931671525593954627762109442747081197843322435991745010800404369/104732361722355686177150485929906264368928526412268132192647900507618248661932685164606630540092515117292775037934800487074079693628335505716674667975501555141488220109791497590536584196695895401540272575932011978921600618537207861451353788057132762144209633280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-8.9882647411575433481e-07,-0.89882647411575433694,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
34,17/50,0.34,18846617/50000000,0.376932339999999977,-1433949523774731260846193245912130965587721236479404033270015266564675905438679080605184837560785332599078190050900680336560178839430779358288573993572599631081550566555180998316740227666859792398600257603880881977832190457433499780196531780164505270496464485577505171060220177878390384049685310178301605382061146638068887760683402083315840562982821327532828305465606122484794104310760929071997068125416852458397085516944297982977840580482349566151278033977110134889939630222771775530934634901834071332555994767708905300025165377804639904245774515335947252763107848197466772419798873968010111071196135002777226242500638195062816900347774496129239268565014140857959613502235334727837884619855973567027389020565742082257245583647392330402400727074798345524475939871868575871719486734723669300906777855145044982749685874386137492617892612083657854524912174472411969650386351955480448468121129411195886201633579899170212080125599/1695511368618413349830078959815582744753202672132484740494894212466732430200769205752608952055038252107790359119030881692988665253899979123256844910601853074533341036836892893896796506944683008139399953179048064632105988522614136954509640222653897431179050073452040108187701553106307983398437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-8.4573276848222154687e-07,-0.8457327684822215641,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
35,7/20,0.35,7538647/20000000,0.376932350000000027,-4340779807148165723019602059338813182303035048586496819369884471328338574392857689525292802400317622475911064601896277477867167866116295147921375227040154139106402462186861155397052313441251723575377886717041972231923041570363281061270908491392032026861422988756187623318730285832163272348288810264489864637007918091828361831634696076394915955863711559476987556968205137219176292233598015949722223740557120266483036060208706521192064977806917220308306188800417588770186369064457391316951751215545697701143514275954022559387509470144296573443470704053506608457340090395070689155070641430255606548897193402685484887237038138676194044175638897258678413975778465001398217046166654953230504884073463950766377939123195807205386760254647566476623049513846195254369478694666835649579882398113490356840204858935318354673799085225495353261366320216584291053776830723879560294119793549841114503015398170179/5476363737381226349442302085856207814815561053460025907738651822675426039004108223998367267312611696168714033515064506621967566768380629452144804832704039070827963332381970227454464490504501897073339790157372200961739811418816730539758335091184040943929906527010405573794989798201302453532830532958845343707745484800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-7.9263906038935030179e-07,-0.79263906038935028064,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
36,9/25,0.36,9423309/25000000,0.376932360000000022,-258810328029129831994165385834365741394664039297366424951006787269763404167932951867455045367602705215006877784786162731704261518855956007545713063361123955497021028431708215395815075821548064178712699467083901884385893657425598960656602611097899999909079529092762325489774907572728449147917079281440619843557330030911871075588942189046021054844919942640709145088049538897628452729523890793620576062493775606187797340252483020765553631915971713323432573155716348082624171161097118050440130846455117287496744637558722415611370164757613787727319997340958426095883585590761902098203374191535873575364224413086626583365166566533686539567817933925180924497574561171873307275467765732285228055511953714550776906704153003304116401857151900453283919044138311430393459505985008893109851177270054267146536021756908154920492911201884374584842174178271589666607366013020511/349958698389657978281277282720617371046406052040602484001977484987800166758502844133510273735636362117857222285959300540966844109683212146626810409975936416856075389951865199251826202853582781433669233147109655426969410607812897857539435571203475540492796099913160707238490854109613792388699948787689208984375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-7.3954534983714017607e-07,-0.7395453498371401535,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
37,37/100,0.37,37693237/100000000,0.376932370000000017,-587823447906986726440525116504814227373540793980001641171426636789173654921087901905311327212453360614852369345243458728456610372422902121769838191095160758826772634692175670681278818133630383094731954536481680889673732089108046992284357547141003514179646793861961644393175808832721953877086618942187629568243304157894671730847299980812804529393195192730546120468769377070681334542293524550710939019102832806639515050953798384491388071407012677028192623866098223146673995711668426271298696989632879177804888442348725263121926882650791738381118059354449848438419234246819458449895062477608759320015610386958489900311099865078280917031067522450572203118223845828399796038626851831552277248263945828939222240549568769011958230670317275340332075709910285449411180657576281607583135941382222884551944536079911254468148423017521425199985752852998788120682950603846775056300048099894837032844246374920880515052530711362651311529486218959435801227437322451/856321722277918864551275372222637057988601706251755710817914282651062131800779126394476904092868323398580424281438164389031284150968838977644467443908785322281538155498207825736501090509058725854667604812961568202901250045696635710426001267082200952971032648829459122943396744208182149120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-6.8645163682559116969e-07,-0.68645163682559118268,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
38,19/50,0.38,18846619/50000000,0.376932380000000011,-982062752114071083280326885628224748465875905398933685640476621094801154161638703002538257966047237879173407979068388035769388555853954315410881136760750988698062385453474661132694135777425173727703058109306314308001146132143479136981186332279462274954948151902461329571799420727792269982117698487972085952644138910235158296776577287207318077278524145215421269364378434693043422799574012009303837416310699697099169823014916745936075504654987857121575834395849467465918998354109766139011943656600891755059332717338216092251233321410610031052186162468144426118546871702619963077384278696902670257286906322368049743673502900202287593926617911381980122266514071254704892873602778947362091462898649174857373066574770787637483727757832239590697227122041247178452623436976514596087358909840083050108250047099477841417599515845384155422600756926461889048524914584116805007620112016987451252148467927467152503781537728287/1550565200184937264809985346498360599920708985480821903665250777682841699341442129360002724160098219556414221672329953507996364217917602841928993886489382062194491482199336958563736465736009516823344292845592077755251300981056012618243978978704935561604072224404662847518920898437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-6.3335792135470317679e-07,-0.63335792135470314612,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
39,39/100,0.39,37693239/100000000,0.376932390000000006,-3749024447140477221082404383188526076427462804090886720712059205729207416069595560453314684733870644958493927308894829008607006846918276717336517519131274729680999925618136092179559380276333980993420022433487845802160720425205347153256691147224173066006854036900178794254344450793796355324116960131868436452621116581312542523828468549858253559300190076871124239857540154573403532085323383851255618732336200725435982627099770927226070692261859096982900940624831183252888451701261083633210922301142908472142015344862103119030308288728330450629854491107611442132219984693434332019257245832941581640290028866558634605527613362101490032671384058097912818211007023193507576052335642456744255830412082238625224649885856036506946329072921872992970343985159051549243287715543361966384054509690709371586529270137867293900137226941882046803890823987987177375717096036910635639120495828238245336837993549482718272686104002197692759899543237/6460892167766523140080602681900083376678928941077643020345378378777757835934476559889694061769966840480468740344555198595184536638425168426361567365739860989812852648080616904813885307444779677134396428545001642738900298975194666901167312393743214969875156352567869440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-5.802642034244759856e-07,-0.58026420342447593281,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
40,2/5,0.4,942331/2500000,0.376932400000000001,-11685435211415121032003765115829524883518960686948131474261482587031741302448467467296401778414700296810366321162499145460961682055200319739995243719322132917530267090078945447169043715378396627882070290802323427452955817265874785442899876572290128687958647549927199440924668022136009572133788532121922630689048525504153558259831637835929800166627692651251300733313336001133251123898392772841990030917922069819709486423277177387603137281425608828425368834252475885116638269864777302028367794526191677315486743540463920696020739742349589743464001181210157707718510362388476000020523099639171399304398453003748452396395702933156196687288117424718460587767158704774222317022025762324309925728343560609169392152227480493244612825636451693167996759526055129072333875800780511423783540300959529939017857248415729/22166330603607235988339044549797361261985566894313203875672019434382429436375489184767614605747261428120423602900708735952518611055932683092925235196964917945854440198225895817562677640868235557577372551314909130422209123166177362967171096361769355870561112533025656272300438465055345618883808969656890042188024381175637245178222656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-5.2717048303490938436e-07,-0.52717048303490943173,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
41,41/100,0.41,37693241/100000000,0.376932409999999996,-2194113086033809091364748770273618943800478244489783175605075670610112045119697555024034263817289870034196251128375008976897724945936481632354617310468019431612074517653278453923100950557956569819535853039506111860625400021619515868676141276128278648506544031957697970635982046790207770598629569655479793894605716869159551337814429993818006356408286474664551002096895526361324366260739251637478326573649769725199295696266274989250599562287015203102718586789129618450890570328774568445260040918786788728168327621161594438573195668314032467280270657707266965542054695269322351435914727210897474277646582243167732620188058324114316231012911357098361899481990977143773099419545993194390017295531171193315387281576102254372469476757089647997036301213087503166696077891373286866783888875653877695810238688163752321713931993827290476096532834734685931729065894711796988649384615303377627796507261698304800278216859111164249104836962375633666029/4628181067498335392849698389180718162254986242108775510469307162733448770719029132510911701876321176423632390058279502452378919097651641922636423082707267784104662099736190760698159119918030650185727939311061079544830943639195789993012292263996325529495346627887994715483668480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-4.7407676018600332014e-07,-0.4740767601860033098,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
42,21/50,0.42,18846621/50000000,0.37693241999999999,-58270517254060484529738385287902174583105201441692875288966948149936368180209110166083645172666686122658627507244476095244223664111173257710622059933857341472422752513948690255958948870147664871896536234481091789544020462866758213637094697777794332918652646789148299498105753544622187324094834874922204122471925543021763769509897096570325988934306985137147997852993787430745945526510278256700227207758883843792266215134673396031312635514784611399363246199513629445833118435623185721764836948524240967597247341792965397225832611810311663739603589610843005892820482910694286912874512077467816531793508912166842145719587338894506149672171733665209129326382373823454918276050877955706530359365119027391903321646952405909531409379976846767001656507298740344345910167902531724559266739252976617560974404316683164480506173427414355795547729901505868285535775403361223248295123496230554150548878276701564939/138415357452541328015666266008859781922240131187144731035777825592994729159364114333575590515216934415722534540409595841592182247715883889967396725777473887012214878278107200658980653882592246386331511883063569626384258602627736924225780211436331104487180709838867187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-4.2098303487775752824e-07,-0.42098303487775756704,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
43,43/100,0.43,37693243/100000000,0.376932429999999985,-1118967868603619107665403609035934431710417820438892395151638165157877739935637041944525090397020434516436127686454503711070173413552332210474072247102932102076557142405192208604142026417684040630711369510529053236501690669775799873121167080887828274024246512305959390829348374578650368296892514266786877508802369496285909911357224106669172179137530101504845901875514950234290993071423478769730055592449225119772768262517987750856083937829855023566257178407408275171690187505797289388177523768608245072345442220772163583616083904870240702483373653177390753234692142149576317750889453543094047425363943732505349278388729429808992602289393968502631665742731717075662853766830801768058826058674618086164554579899296364594352902977906904072007358871455366394845548290435588832501807250906864762802940784277375385548689454410702951885496919249536370011133039689874244036297906689827654248564268815508171827447535951886237398679581/3041588453312999561507760228599962771427561865401378058441850623394870327589185658612746049334975205693050819640568342666515659056365997913806816297074122350573857695528444234376736682701016668712925210968426404849684521685133053722431507867257637816290104804638720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-3.6788930711017200865e-07,-0.36788930711017198139,negative,exact rational presentation sample of the explicit degree-80 active-column polynomial
