R,N,gamma,delta,dimension,edgeCount,carrierMin,carrierMax,orderedPositiveTriangles,orderedPositiveFormula,signedTriangles,signedTriangleFormula,cayleyGraphNonBipartite,uncorrectedH0Abs,uncorrectedH0Formula,uncorrectedB0Abs,uncorrectedB0Formula,uncorrectedB0RelativeError,zetaReal,zetaImag,launchNormalization,algebraicRootResidual,evolvedRootResidual,rootH,rootHNormalized,criticalQ,mixedRow,deltaIntegralAbsHB,deltaIntegralAbsHBDivR2,integralH2,maxAbsH,maxAbsB,maxActionDensity,launchEnergy,K_f,K_v,K_vFormula,K_vFormulaRelativeError,rhoSquared,profileMoment,theta,thetaTimesR,D,DScaledR5,physicalCriticalAction,referencePayment,rawBvProxyFirstRoot,rawBvProxyTargetDiagonal,rawBvProxyMixedMoment,rawBvProxyTrueCubic,rawMeasuredBvUpperProxy,normalizedTrueCubic,normalizedTrueCubicTimesR23,normalizedMeasuredBvUpperProxy,exactExposure,lambdaExposure,exactExposureLimit,exactExposureLimitRelativeError,solverNfev,elapsedSeconds,maxRssMb
4,8,0.05,0.2,73,1048,4,11,10,10,60,60,True,11.313708498984763,11.313708498984761,42.42640687119286,42.426406871192846,3.3495305785253873e-16,-0.01747084162686676,6.915098987951313e-05,0.9999809233528286,0.0,3.0102575009625416e-13,2.626682382872066,0.3283352978590082,78.22737547771628,63.36356362867765,0.3737345793791783,0.023358411211198644,0.6297972596761606,11.31349267134935,42.427624737166944,272.1216669547548,8.000000000000002,491.9812287582312,492.0,492.0,0.0,16.0,7.03656125284885,6.097793624305647e-05,0.0002439117449722259,78.72000000000001,0.07687500000000001,0.004770143914341823,4.306208794971853,128.00000000000003,156.45475095543256,796.3167589073694,0.7474691587583566,1081.5189790215602,1.0584513867427568e-05,2.6671303648952373e-05,0.015314815999037805,0.0787684331461388,0.07599581745866017,0.06666666666666667,0.18152649719208194,2498,0.04505900002550334,74.765625
8,16,0.05,0.4,145,4144,8,23,36,36,216,216,True,22.62741699796951,22.627416997969522,152.73506473629428,152.73506473629425,1.8608503214029929e-16,-0.011508756225292283,2.46331107277004e-05,0.9999958608983034,0.0,1.9396441994970965e-13,9.396231004507658,0.5872644377817287,165.917725917095,255.3841864870982,1.2661381124888775,0.01978340800763871,0.5913024676112437,22.627323340767926,152.73566480678562,1268.608634986545,15.999999999999996,4183.965364068683,4184.0,4184.0,0.0,32.0,30.28640929104672,2.868092576256569e-05,0.00022944740610052552,2677.7600000000007,0.08171875000000002,0.004758673979721923,13.952509087377885,511.9999999999999,331.83545183419,3402.6049090192955,2.532276224977755,4248.972637078463,5.2053738839417714e-06,2.0821495535767082e-05,0.008734233248517635,0.07247219226055578,0.0718726495315477,0.06666666666666667,0.08708288390833666,2444,0.0918350419960916,80.953125
16,32,0.05,0.8,289,16480,16,47,136,136,816,816,True,45.25483399593899,45.254833995939045,576.9991334482226,576.9991334482228,3.940624210029867e-16,-0.006953470350495482,7.788519468072677e-06,0.999999244519441,0.0,1.539207281722664e-13,27.807953739944693,0.8689985543732717,329.5489597747631,1023.3318271815128,4.6353258814745635,0.018106741724510014,0.5718418826187394,45.25479980674751,576.9993676165476,5594.778185226509,31.999999999999996,34479.94790208033,34480.0,34480.0,0.0,64.0,132.51541642218126,1.3921134723380471e-05,0.00022273815557408754,88268.80000000002,0.08417968750000002,0.004587695466974369,44.72911052501936,2047.9999999999998,659.0979195495262,14185.655559998471,9.270651762949127,16902.024131310947,2.885324359253031e-06,1.8320667692590928e-05,0.00526045236017368,0.06950708683344171,0.06936949261536944,0.06666666666666667,0.042606302501625726,2588,0.24499066697899252,91.984375
32,64,0.05,1.6,577,65728,32,95,528,528,3168,3168,True,90.5096679918782,90.50966799187809,2240.1142827989815,2240.1142827989825,4.060037064879257e-16,-0.0038911741542582063,2.2299899635082028e-06,0.9999998817090736,0.0,5.72688323449897e-15,70.01548020438285,1.093991878193482,623.8650568047865,4095.0557407628826,17.71172717487985,0.017296608569218604,0.5621279626037391,90.50965728531591,2240.114358620518,23756.82778305631,63.99999999999995,279903.93377979693,279904.0,279904.0,0.0,128.0,588.0978749670555,6.859496306723872e-06,0.0002195038818151639,2866216.9600000004,0.08541992187500001,0.004279400053046512,142.65628440507518,8191.999999999994,1247.730113609573,58148.88193094733,35.4234543497597,67624.03549890665,1.703304241358285e-06,1.7168230944500166e-05,0.0032516395873129268,0.06807122561724517,0.06803836099766995,0.06666666666666667,0.021068384258677575,2540,0.7806072919629514,118.28125
64,128,0.05,3.2,1153,262528,64,191,2080,2080,12480,12480,True,181.019335983757,181.01933598375618,8824.692629208112,8824.692629208112,0.0,-0.0020693479226995192,5.996706679167249e-07,0.9999999832726523,4.3368086173987107e-19,2.7870376410284506e-14,158.65956847797324,1.239527878734166,1141.6262732647224,16381.924614482561,69.21663850219481,0.016898593384324905,0.5572829609856204,181.0193329556021,8824.692650999827,98474.40960754652,127.9999999999999,2255551.924541195,2255552.0,2255552.0,0.0,256.0,2642.614900940568,3.4049315896650004e-06,0.00021791562173856003,92387409.92000002,0.08604248046875002,0.0038871593614305815,453.825780452356,32767.999999999975,2283.2525465294448,235811.5908395297,138.43327700438962,271001.2766630635,1.0386272843805003e-06,1.6618036550088e-05,0.002033248985612622,0.06736502921960838,0.0673570034826364,0.06666666666666667,0.010475438294125713,2528,2.9645627090358175,151.890625
