R,N,gamma,delta,dimension,carrierMin,carrierMax,containsEvenCarrier,containsOddCarrier,orderedPositiveTriangles,orderedPositiveFormula,signedTriangles,signedTriangleFormula,cayleyGraphNonBipartite,uncorrectedH0Abs,uncorrectedH0Formula,uncorrectedB0Abs,uncorrectedB0Formula,uncorrectedB0RelativeError,zetaReal,zetaImag,launchNormalization,rootColumnAbs,rootColumnBAbs,algebraicRootResidual,evolvedRootResidual,rootH,rootHNormalized,criticalQ,mixedRow,deltaIntegralAbsHB,deltaIntegralAbsHBDivR2,integralH2,maxAbsH,maxAbsB,maxActionDensity,launchEnergy,K_f,K_v,rhoSquared,B_squared,profileMoment,phiMaximizerMin,phiMaximizerMax,theta,thetaTimesR,D,DScaledR5,DOneThird,physicalCriticalAction,referencePayment,rawBvProxyFirstRoot,rawBvProxyTargetDiagonal,rawBvProxyMixedMoment,rawBvProxyTrueCubic,rawMeasuredBvUpperProxy,normalizedTrueCubic,normalizedTrueCubicTimesR23,normalizedMeasuredBvUpperProxy,exactExposure,lambdaExposure,exactExposureLimit,exactExposureLimitRelativeError,solverNfev,elapsedSeconds,maxRssMb
4,8,0.05,0.2,65,4,11,True,True,10,10,60,60,True,11.313708498984763,11.313708498984761,42.42640687119286,42.426406871192846,3.3495305785253873e-16,-0.017470841626822994,6.915098987906956e-05,0.9999809233528286,0.9844674414460258,0.017199609482645917,1.3552268619289969e-20,1.680597899883084e-17,2.6266823828886174,0.3283352978610772,78.22725553778517,63.36356362882667,0.37373457937969035,0.023358411211230647,0.629797259677112,11.313492671359521,42.427624737214344,272.1216669552397,8.0,491.9812287582312,492.0,16.0,1000.0,7.036561669801973,0.0019480892513866444,0.016541884071509368,6.097793624305647e-05,0.0002439117449722259,78.72000000000001,0.07687500000000001,4.2857650787630925,0.00477013660065235,4.306208763627097,128.0,156.45451107557034,796.3161720349102,0.7474691587593807,1081.51815226924,1.0584513944486404e-05,2.6671303843128472e-05,0.015314804403313153,0.0787684331461388,0.07599581745866017,0.06666666666666667,0.18152649719208194,2729,0.09605541598284617,73.40625
8,16,0.05,0.4,129,8,23,True,True,36,36,216,216,True,22.62741699796951,22.627416997969522,152.73506473629428,152.73506473629425,1.8608503214029929e-16,-0.011508756225281936,2.4633110727562206e-05,0.9999958608983034,0.9980433578745826,0.011486264018536828,0.0,1.3118875170002214e-17,9.39623100449381,0.5872644377808631,165.91750401843797,255.38418648811262,1.2661381124926008,0.019783408007696887,0.5913024676128322,22.62732334078942,152.73566480696653,1268.6086349889376,15.999999999999995,4183.965364068683,4184.0,32.0,8400.0,30.286412068065893,0.00042285264325882114,0.0037924248331556655,2.868092576256569e-05,0.00022944740610052552,2677.7600000000007,0.08171875000000002,13.886428103291474,0.004758667615463014,13.952508999001061,511.99999999999983,331.83500803687593,3402.6027896892438,2.5322762249852016,4248.9700739511045,5.205373916928526e-06,2.08214956677141e-05,0.008734228035049455,0.07247219226055578,0.0718726495315477,0.06666666666666667,0.08708288390833666,2798,0.15018383401911706,77.75
16,32,0.05,0.8,257,16,47,True,True,136,136,816,816,True,45.25483399593899,45.254833995939045,576.9991334482226,576.9991334482228,3.940624210029867e-16,-0.0069534703504929895,7.788519468032806e-06,0.999999244519441,0.9997550068291678,0.006951771158598755,8.673610827134729e-19,1.0842027755000033e-17,27.807953739973055,0.868998554374158,329.54857141286686,1023.3318271843395,4.635325881483093,0.01810674172454333,0.5718418826198087,45.254799806791695,576.9993676172521,5594.778185237377,31.999999999999996,34479.94790208033,34480.0,64.0,69024.0,132.51543055299635,9.75638891847878e-05,0.0008945997206863179,1.3921134723380471e-05,0.00022273815557408754,88268.80000000002,0.08417968750000002,44.52484409957599,0.00458769006053609,44.72911028429854,2047.9999999999998,659.0971428257337,14185.647957692148,9.270651762966185,16902.015752280848,2.8853243747864293e-06,1.832066779122186e-05,0.0052604497806610145,0.06950708683344171,0.06936949261536944,0.06666666666666667,0.042606302501625726,2759,0.270175667013973,86.609375
32,64,0.05,1.6,513,32,95,True,True,528,528,3168,3168,True,90.5096679918782,90.50966799187809,2240.1142827989815,2240.1142827989825,4.060037064879257e-16,-0.003891174154257508,2.2299899634912223e-06,0.9999998817090736,0.9999693542869686,0.0038910555454229915,0.0,1.7780919305680592e-17,70.01548020436901,1.0939918781932658,623.864402366308,4095.0557407740885,17.711727174914184,0.017296608569252133,0.5621279626048113,90.50965728540545,2240.1143586232924,23756.82778310315,63.99999999999995,279903.93377979693,279904.0,128.0,559936.0,588.0979209195166,2.321427604542427e-05,0.00021444427864624046,6.859496306723872e-06,0.0002195038818151639,2866216.9600000004,0.08541992187500001,142.0484024640354,0.0042793955639281855,142.6562837674031,8191.999999999994,1247.728804732616,58148.85370346386,35.42345434982837,67624.0059625463,1.703304248975339e-06,1.7168231021275256e-05,0.0032516381816189775,0.06807122561724517,0.06803836099766995,0.06666666666666667,0.021068384258677575,2762,0.573109666001983,103.53125
64,128,0.05,3.2,1025,64,191,True,True,2080,2080,12480,12480,True,181.019335983757,181.01933598375618,8824.692629208112,8824.692629208112,0.0,-0.0020693479226993098,5.996706679099763e-07,0.9999999832726523,0.9999961678405577,0.002069340079516254,4.3368086173987107e-19,3.035766201128069e-18,158.659568477968,1.239527878734125,1141.625196724164,16381.924614525957,69.21663850231755,0.01689859338435487,0.5572829609866297,181.01933295578255,8824.692651010833,98474.4096077425,127.9999999999999,2255551.924541195,2255552.0,256.0,4511360.0,2642.6150952281027,5.615632563371237e-06,5.192454626745369e-05,3.4049315896650004e-06,0.00021791562173856003,92387409.92000002,0.08604248046875002,452.0685180802921,0.0038871556958836265,453.82577879527764,32767.999999999975,2283.250393448328,235811.48832422367,138.4332770046351,271001.1719946766,1.0386272881747376e-06,1.6618036610795798e-05,0.002033248207738247,0.06736502921960838,0.0673570034826364,0.06666666666666667,0.010475438294125713,2756,1.3555831669946201,124.109375
