R,p,epsilon,K,H,HFromRatio,Z,L2Bound,L4Bound,separateTermFloorSup,mixedFloorLooseSlack,passed
8.0,0.25,2.54756499354239,0.03125,0.20281523113508243,0.20281523113508243,4.487925306715667,24.88572448500395,0.5454717782545442,0.5450723797531896,0.00039939850135467525,True
8.0,0.25,2.54756499354239,0.5,0.20281523113508243,0.20281523113508243,4.487925306715667,3.428887018033768,0.49949490578318223,0.49384814075640615,0.005646765026776135,True
8.0,0.25,2.54756499354239,8.0,0.20281523113508243,0.20281523113508243,4.487925306715667,0.32535044485565184,0.22503689970551705,0.19900186788570834,0.02603503181980872,True
8.0,0.25,2.54756499354239,128.0,0.20281523113508243,0.20281523113508243,4.487925306715667,0.036837752394937764,0.035970401557494626,0.025506589380225833,0.010463812177268793,True
8.0,0.5,2.54756499354239,0.03125,0.40563046227016486,0.4056304622701649,17.951701226862667,53.984150727179404,0.3452274962463252,0.34516418466582566,6.331158049958929e-05,True
8.0,0.5,2.54756499354239,0.5,0.40563046227016486,0.4056304622701649,17.951701226862667,7.082571677645122,0.337376475434883,0.33639557793559316,0.0009808974992898123,True
8.0,0.5,2.54756499354239,8.0,0.40563046227016486,0.4056304622701649,17.951701226862667,0.7002850894758732,0.24938134419296798,0.23917779585410792,0.010203548338860072,True
8.0,0.5,2.54756499354239,128.0,0.40563046227016486,0.4056304622701649,17.951701226862667,0.0654820974397697,0.059127937813502236,0.047211972900912745,0.011915964912589496,True
8.0,1.0,2.54756499354239,0.03125,0.8112609245403297,0.8112609245403298,71.80680490745067,124.06193251681714,0.21773356118736126,0.21772357396935912,9.987218002140141e-06,True
8.0,1.0,2.54756499354239,0.5,0.8112609245403297,0.8112609245403298,71.80680490745067,14.268908699145689,0.21647061865505698,0.21631211725475574,0.000158501400301235,True
8.0,1.0,2.54756499354239,8.0,0.8112609245403297,0.8112609245403298,71.80680490745067,1.5784796848418565,0.19822468472324506,0.19598376453731464,0.0022409201859304173,True
8.0,1.0,2.54756499354239,128.0,0.8112609245403297,0.8112609245403298,71.80680490745067,0.13039146846013022,0.08930595283105,0.07897394360635251,0.010332009224697479,True
32.0,0.25,3.070529847682755,0.03125,0.07365744957430222,0.07365744957430223,21.74973932946161,43.83573521828578,0.1605969348486126,0.16057594960181654,2.0985246796063894e-05,True
32.0,0.25,3.070529847682755,0.5,0.07365744957430222,0.07365744957430223,21.74973932946161,5.36084549012322,0.1575199295813813,0.1571929896820936,0.0003269398992876843,True
32.0,0.25,3.070529847682755,8.0,0.07365744957430222,0.07365744957430223,21.74973932946161,0.40341865449584297,0.1211913201839245,0.11756415765907913,0.0036271625248453752,True
32.0,0.25,3.070529847682755,128.0,0.07365744957430222,0.07365744957430223,21.74973932946161,0.03440492287326512,0.03025787590981798,0.02513681376487909,0.005121062144938893,True
32.0,0.5,3.070529847682755,0.03125,0.14731489914860443,0.14731489914860446,86.99895731784645,88.1032780989939,0.10126878595023567,0.10126547652997331,3.3094202623422386e-06,True
32.0,0.5,3.070529847682755,0.5,0.14731489914860443,0.14731489914860446,86.99895731784645,12.186598808107885,0.10077557276430445,0.1007229764410752,5.259632322924396e-05,True
32.0,0.5,3.070529847682755,8.0,0.14731489914860443,0.14731489914860446,86.99895731784645,0.9496687867057451,0.09353022217207199,0.09277107523461689,0.0007591469374550984,True
32.0,0.5,3.070529847682755,128.0,0.14731489914860443,0.14731489914860446,86.99895731784645,0.07147233891177648,0.04525877313971145,0.04113108060348447,0.0041276925362269895,True
32.0,1.0,3.070529847682755,0.03125,0.29462979829720887,0.2946297982972089,347.9958292713858,186.0892490821656,0.06381095847554473,0.06381043709900687,5.213765378563051e-07,True
32.0,1.0,3.070529847682755,0.5,0.29462979829720887,0.2946297982972089,347.9958292713858,26.477310388177948,0.06373293583038901,0.06372460782967904,8.328000709972166e-06,True
32.0,1.0,3.070529847682755,8.0,0.29462979829720887,0.2946297982972089,347.9958292713858,2.2865489874325444,0.06251182548086034,0.06238207929584544,0.0001297461850149114,True
