R,sigma,steps,rootCount,rootCountPrediction,rootCountRatio,GRootMass,CubicRow,MixedRow,AR,BR,GAsymptotic,CubicAsymptotic,MixedAsymptotic,GAsymptoticRatio,CubicAsymptoticRatio,MixedAsymptoticRatio
8,32.0,30000,7,6.438727140324875,1.0871714000986235,2.6948695004506513,2.444325781044324,0.3262345626563825,0.07755887355092261,0.31397763915570154,2.4818839536295236,2.4818839536295236,0.31397763915570154,1.0858160779474222,0.984867071431654,1.039037568196386
8,64.0,30000,13,12.87745428064975,1.0095163000915788,5.16347086687935,4.92361887766416,0.3185574501888377,0.07755887355092261,0.31397763915570154,4.963767907259047,4.963767907259047,0.31397763915570154,1.0402321307827982,0.9919115820189391,1.0145864241971225
8,128.0,30000,26,25.7549085612995,1.0095163000915788,10.135905040367918,9.88904537217803,0.31663130870645045,0.07755887355092261,0.31397763915570154,9.927535814518095,9.927535814518095,0.31397763915570154,1.0209890177928245,0.9961228603896068,1.0084517787887213
8,256.0,30000,52,51.509817122599,1.0095163000915788,20.076415612765693,19.81681992400599,0.31556837766469653,0.07755887355092261,0.31397763915570154,19.85507162903619,19.85507162903619,0.31397763915570154,1.011147982130964,0.9980734541912073,1.0050664070004238
8,512.0,30720,103,103.019634245198,0.9998094125906982,39.907630318398176,39.67216832965148,0.3145193385594104,0.07755887355092261,0.31397763915570154,39.71014325807238,39.71014325807238,0.31397763915570154,1.004973214501956,0.9990436970178096,1.0017252801988241
16,32.0,30000,7,6.438727140324875,1.0871714000986235,2.708466788785276,2.4575247613057916,0.328312241887741,0.07797899903113077,0.3160437619273197,2.4953279689961847,2.4953279689961847,0.3160437619273197,1.0854151528124907,0.9848504051731523,1.038818927751033
16,64.0,30000,13,12.87745428064975,1.0095163000915788,5.1900223552182005,4.950233400790204,0.32059013781587836,0.07797899903113077,0.3160437619273197,4.990655937992369,4.990655937992369,0.3160437619273197,1.0399479386483277,0.9919003558441204,1.0143852732951717
16,128.0,30000,26,25.7549085612995,1.0095163000915788,10.189475008102802,9.94260264289098,0.3186890026879967,0.07797899903113077,0.3160437619273197,9.981311875984739,9.981311875984739,0.3160437619273197,1.0208552878323447,0.9961218291167824,1.0083698559482575
16,256.0,30000,52,51.509817122599,1.0095163000915788,20.184034353612965,19.924167802187412,0.3176365105131874,0.07797899903113077,0.3160437619273197,19.962623751969478,19.962623751969478,0.3160437619273197,1.0110912575618545,0.9980736024352375,1.0050396457001862
16,512.0,30720,103,103.019634245198,0.9998094125906982,40.12221713660971,39.887075736314365,0.3165804297371076,0.07797899903113077,0.3160437619273197,39.925247503938955,39.925247503938955,0.3160437619273197,1.004933460528988,0.9990439190734929,1.0016980806914686
