r,M,target,y,absoluteY,sign,absoluteYOverM,observedBlockGrowth,classification
101,41315998049390537434494706752048189989275292685267576205290549704650361952269459114074325652482205302974450751563959894016,5508799739918738324599294233606425331903372358035676827372073293953381593635927881876576753664294040396593433541861319202,-15593860780896245049673105437674816354828352478778805584878006175026124301871393325183891574778694213744610001594912291197636868211713872542,15593860780896245049673105437674816354828352478778805584878006175026124301871393325183891574778694213744610001594912291197636868211713872542,-1,3.77429119883654e+17,23.8862545391856,exact recurrence value
102,661055968790248598951915308032771039828404682964281219284648795274405791236311345825189210439715284847591212025023358304256,88140795838699813193588707737702805310453957728570829237953172703254105498174846110025228058628704646345494936669781107234,-392210382494254433848562741906631870862426244838834867360012119933969511443005972320899897494396676330001952095923189485907305361017636667614,392210382494254433848562741906631870862426244838834867360012119933969511443005972320899897494396676330001952095923189485907305361017636667614,-1,5.93308889127816e+17,23.8983454292087,exact recurrence value
103,10576895500643977583230644928524336637254474927428499508554380724390492659780981533203027367035444557561459392400373732868096,1410252733419197011097419323803244884967263323657133267807250763252065687970797537760403648938059274341527918986716497715746,-9864714473066378323104062312562594185512435555856598567747603678296494977872054109257062530034165855972270405533316792556130870853860831979294,9864714473066378323104062312562594185512435555856598567747603678296494977872054109257062530034165855972270405533316792556130870853860831979294,-1,9.32666345475926e+17,23.9102074877836,exact recurrence value
104,169230328010303641331690318856389386196071598838855992136870091590247882556495704531248437872567112920983350278405979725889536,22564043734707152177558709180851918159476213178514132284916012212033051007532760604166458383008948389464446703787463963451938,-248113247324733493471045737096520185397303601899508063752098395160059141760662131152174262734760289662026060113652023132184014109700184358159710,248113247324733493471045737096520185397303601899508063752098395160059141760662131152174262734760289662026060113652023132184014109700184358159710,-1,1.46612755669673e+18,23.9218471488677,exact recurrence value
105,2707685248164858261307045101702230179137145581421695874189921465443966120903931272499975005961073806735733604454495675614232576,361024699755314434840939346893630690551619410856226116558656195392528816120524169666663334128143174231431147260599423415231010,-6240442505062066375166956241033060936532275705597131491117728472438472917535990037761248734504735512663648849743200720588221135314419327814605726,6240442505062066375166956241033060936532275705597131491117728472438472917535990037761248734504735512663648849743200720588221135314419327814605726,-1,2.30471488859037e+18,23.9332706075098,exact recurrence value
106,43322963970637732180912721627235682866194329302747133987038743447103457934462900359999600095377180907771737671271930809827721216,5776395196085030957455029550298091048825910573699617864938499126280461057928386714666613346050290787702898356169590774643696162,-156957047150393014145329386741182419557673529518359041901876900025579125524263771217868740190518216810206596467814172618815785087530963301666957790,156957047150393014145329386741182419557673529518359041901876900025579125524263771217868740190518216810206596467814172618815785087530963301666957790,-1,3.62295265062592e+18,23.944483830835,exact recurrence value
107,693167423530203714894603546035770925859109268843954143792619895153655326951406405759993601526034894524347802740350892957243539456,92422323137360495319280472804769456781214569179193885839015986020487376926854187434665813536804652603246373698713452394299138594,-3947719193019898703417934312600985435125060688345683433094228751281117971030560611973892002779149625434663870316698714007498276644090494795863109662,3947719193019898703417934312600985435125060688345683433094228751281117971030560611973892002779149625434663870316698714007498276644090494795863109662,-1,5.69518857783986e+18,23.9554925684287,exact recurrence value
108,11090678776483259438313656736572334813745748301503266300681918322458485231222502492159897624416558312389564843845614287315896631296,1478757170197767925108487564876311308499433106867102173424255776327798030829666998954653016588874441651941979179415238308786217506,-99291411949187254480232464563744916452398397847603682506095851593309133406214920568682453346866101645511124766367060430037355793929127320035455053406,99291411949187254480232464563744916452398397847603682506095851593309133406214920568682453346866101645511124766367060430037355793929127320035455053406,-1,8.95269026813087e+18,23.9663023621584,exact recurrence value
109,177450860423732151013018507785157357019931972824052260810910693159335763699560039874558361990664932998233037501529828597054346100736,23660114723164286801735801038020980935990929709873634774788092421244768493274671983274448265421991066431071666870643812940579480098,-2497336817749061144303254349514668760640646847204631202508173549686247775946971256126684116041384515624366576236044550989997853161517707432731119592606,2497336817749061144303254349514668760640646847204631202508173549686247775946971256126684116041384515624366576236044550989997853161517707432731119592606,-1,1.40733993162147e+19,23.9769185554682,exact recurrence value
110,2839213766779714416208296124562517712318911565184836172974571090549372219192960637992933791850638927971728600024477257552869537611776,378561835570628588827772816608335694975854875357978156396609478739916295892394751732391172246751857062897146669930301007049271681570,-62811990068956387729761586342655798848385136795230808960910434303588168455092137689519428965944182645795750870768510536087719573843341860119996116538078,62811990068956387729761586342655798848385136795230808960910434303588168455092137689519428965944182645795750870768510536087719573843341860119996116538078,-1,2.21230225085161e+19,23.9873463021785,exact recurrence value
111,45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788416,6056989369130057421244365065733371119613678005727650502345751659838660734278316027718258755948029713006354346718884816112788346905122,-1579821379472055838209038760186481793259274837460596558498321844137663277946789209451154967588461848551203630988854744801161722639241953938854928761944350,1579821379472055838209038760186481793259274837460596558498321844137663277946789209451154967588461848551203630988854744801161722639241953938854928761944350,-1,3.47768235602051e+19,23.9975905748223,exact recurrence value
112,726838724295606890549323807888004534353641360687318060281490199180639288113397923326191050713763565560762521606266177933534601628614656,96911829906080918739909841051733937913818848091642408037532026557418571748453056443492140095168475408101669547502157057804613550481954,-39735018557714953875154516095343979501915142786835290455438232780826537493317583563648504469719885448318789163874475368855416752840542948886548347057755998,39735018557714953875154516095343979501915142786835290455438232780826537493317583563648504469719885448318789163874475368855416752840542948886548347057755998,-1,5.46682740331742e+19,24.0076561725448,exact recurrence value
113,11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496,1550589278497294699838557456827743006621101569466278528600512424918697147975248903095874241522695606529626712760034512924873816807711266,-999398868946550509017447180909546387968362064338676554852905028463485116292154168583631853333715708658342357622825675971117884317427149771430379235685936542,999398868946550509017447180909546387968362064338676554852905028463485116292154168583631853333715708658342357622825675971117884317427149771430379235685936542,-1,8.59371236304077e+19,24.0175477285942,exact recurrence value
114,186070713419675363980626894819329160794532188335953423432061490990243657757029868371504908982723472783555205531204141550984858016925351936,24809428455956715197416919309243888105937625111460456457608198798699154367603982449533987864363129704474027404160552206797981068923380258,-25136469932709210556324098478225935933526831263619774453240294102067403795189812466582207968797030972889310728205621052867588994572387694340605772708912036830,25136469932709210556324098478225935933526831263619774453240294102067403795189812466582207968797030972889310728205621052867588994572387694340605772708912036830,-1,1.35090952631621e+20,24.0272697174271,exact recurrence value
115,2977131414714805823690030317109266572712515013375254774912983855843898524112477893944078543723575564536883288499266264815757728270805630976,396950855295307443158670708947902209695002001783367303321731180779186469881663719192543805829810075271584438466568835308767697102774084130,-632222169056493236231744748939566862393383683442821532517468452901958091661046874238858928944423132368305047105292116423665147043902369016790513020810541416990,632222169056493236231744748939566862393383683442821532517468452901958091661046874238858928944423132368305047105292116423665147043902369016790513020810541416990,-1,2.12359510208943e+20,24.0368264614524,exact recurrence value
116,47634102635436893179040485073748265163400240214004076398607741693502376385799646303105256699577209032590132615988260237052123652332890095616,6351213684724919090538731343166435355120032028533876853147698892466983518106619507080700893276961204345351015465101364940283153644385346082,-15901392364023841021432180661599174828949858437400241312512783076641830308882865881837900682416130409502741617002357054228372886708381407672630372941020938731614,15901392364023841021432180661599174828949858437400241312512783076641830308882865881837900682416130409502741617002357054228372886708381407672630372941020938731614,-1,3.33823699497892e+20,24.046222137434,exact recurrence value
117,762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856,101619418955598705448619701490662965681920512456542029650363182279471736289705912113291214292431379269525616247441621839044530458310165537314,-399945290580345839766913306156885194231231740794291576683162665875597202859375298010313332610581025865998871165550034454393181994708976470377044961268561233098398,399945290580345839766913306156885194231231740794291576683162665875597202859375298010313332610581025865998871165550034454393181994708976470377044961268561233098398,-1,5.24762287485094e+20,24.0554607825728,exact recurrence value
118,12194330274671844653834364178879555881830461494785043558043581873536608354764709453594945715091765512343073949692994620685343654997219864477696,1625910703289579287177915223850607450910728199304672474405810916471547780635294593812659428678902068312409859959065949424712487332962648597026,-10059259704784770738347301032218738708122719150383752014165069200132062504198868412246803338295199395729540265497252935308302364162054830375038888315964590730437854,10059259704784770738347301032218738708122719150383752014165069200132062504198868412246803338295199395729540265497252935308302364162054830375038888315964590730437854,-1,8.24912847053052e+20,24.0645463002868,exact recurrence value
119,195109284394749514461349826862072894109287383916560696928697309976585733676235351257519131441468248197489183195087913930965498479955517831643136,26014571252633268594846643581609719214571651188874759590492974663544764490164713501002550858862433092998557759345055190795399797327402377552418,-253006369099822126184405358798362209699180462907382716325532018118197986879307331436482823014824257225719982180452186005564309515081394038996373447931614516470156062,253006369099822126184405358798362209699180462907382716325532018118197986879307331436482823014824257225719982180452186005564309515081394038996373447931614516470156062,-1,1.29674182284393e+21,24.0734824657063,exact recurrence value
120,3121748550315992231381597229793166305748598142664971150859156959625371738819765620120306103063491971159826931121406622895447975679288285306290176,416233140042132297517546297305755507433146419021996153447887594616716231842635416016040813741798929487976924149520883052726396757238438040838690,-6363512294510845661297960196361620525527029878108122950532648114396060676890862368900523893473206950404672285420423178380004338315343666868748531390358325707587463518,6363512294510845661297960196361620525527029878108122950532648114396060676890862368900523893473206950404672285420423178380004338315343666868748531390358325707587463518,-1,2.0384448625328e+21,24.0822729308997,exact recurrence value
