r,M,target,y,absoluteY,sign,absoluteYOverM,observedBlockGrowth,classification
40,1461501637330902918203684832716283019655932542976,194866884977453722427157977695504402620791005730,-573404026493362616545089449013625721797407768400360798,573404026493362616545089449013625721797407768400360798,-1,392338.955938875,22.0780909695019,exact recurrence value
41,23384026197294446691258957323460528314494920687616,3117870159639259558834527643128070441932656091682,-14422040430119670895194926255180715282803535183920204702,14422040430119670895194926255180715282803535183920204702,-1,616747.531346348,22.1483875859063,exact recurrence value
42,374144419156711147060143317175368453031918731001856,49885922554228152941352442290049127070922497466914,-362737523595004813145216502397797475097987917162410023390,362737523595004813145216502397797475097987917162410023390,-1,969512.052090964,22.2155445865664,exact recurrence value
43,5986310706507378352962293074805895248510699696029696,798174760867650447061639076640786033134759959470626,-9123429794859373346820521251155109309532582660991887646750,9123429794859373346820521251155109309532582660991887646750,-1,1524048.82441899,22.2797674915405,exact recurrence value
44,95780971304118053647396689196894323976171195136475136,12770796173882407152986225226252576530156159351530018,-229468832564797822167265499313877418170179774703571968990814,229468832564797822167265499313877418170179774703571968990814,-1,2395766.39744237,22.3412442685222,exact recurrence value
45,1532495540865888858358347027150309183618739122183602176,204332738782118514447779603620041224482498549624480290,-5771507010372562673592789436404284067807876907518254611010718,5771507010372562673592789436404284067807876907518254611010718,-1,3766084.04818689,22.4001471722783,exact recurrence value
46,24519928653854221733733552434404946937899825954937634816,3269323820513896231164473657920659591719976793991684642,-145162592863517282009342808668852814169155557232106010312049374,145162592863517282009342808668852814169155557232106010312049374,-1,5920188.223741,22.4566343554181,exact recurrence value
47,392318858461667547739736838950479151006397215279002157056,52309181128222339698631578526730553467519628703866954274,-3651070221571111298492798753842854610251119937350135750209202462,3651070221571111298492798753842854610251119937350135750209202462,-1,9306384.69913841,22.5108512836893,exact recurrence value
48,6277101735386680763835789423207666416102355444464034512896,836946898051557435178105256427688855480314059261871268386,-91830223630051749576729459750232373980200214119936903998352639838,91830223630051749576729459750232373980200214119936903998352639838,-1,14629398.646252,22.5629319834288,exact recurrence value
49,100433627766186892221372630771322662657637687111424552206336,13391150368824918962849684102843021687685024948189940294178,-2309676149795633445939874952450909887256619348010202804860051201438,2309676149795633445939874952450909887256619348010202804860051201438,-1,22997039.9473436,22.6130001442233,exact recurrence value
50,1606938044258990275541962092341162602522202993782792835301376,214258405901198703405594945645488347002960399171039044706850,-58092027239932625362368749633072171016368229759671745234640695290846,58092027239932625362368749633072171016368229759671745234640695290846,-1,36150757.3036026,22.6611700961997,exact recurrence value
51,25711008708143844408671393477458601640355247900524685364822016,3428134494419179254489519130327813552047366386736624715309602,-1461106832332263951711214092693845591803497114365308417144932412404254,1461106832332263951711214092693845591803497114365308417144932412404254,-1,56828063.3761936,22.7075476783755,exact recurrence value
