order,label,comparison,factorExact,factorDecimal,gainPpmExact,gainPpmDecimal,boundKind,classification
1,fixed restart,R0.53 product-affine / R0.52 complete-affine upper,1913140000000000000000000000000000000000/1913122359242994157380476144435506165463,1.00000922092458990595526,17640757005842619523855564493834537000000/1913122359242994157380476144435506165463,9.2209245899059552640263,certified lower factor,formal exact certificate comparison
2,sharp threshold,R0.53 product-affine / R0.52 complete-affine upper,1913143011189398185000000000000000000000/1913122359242994157380476144435506165463,1.00001079489051196882917,20651946404027619523855564493834537000000/1913122359242994157380476144435506165463,10.7948905119688291719376,strict lower factor,formal exact certificate comparison
