L,M,target,targetFraction,normalizedSignedRatio,cancellationConditionNumber,orderedQuarticPaths,classification
4,64,30,0.46875,0.00015138489629815783,151.03737389614375,588612,finite long-double observation
4,64,31,0.484375,0.00023949427719181831,102.20801852588031,589380,finite long-double observation
4,64,32,0.5,0.00017845576460347206,146.44548638699058,589764,finite long-double observation
4,64,33,0.515625,0.00022109513220888298,125.8703349921129,589764,finite long-double observation
4,64,34,0.53125,0.00030035711912865953,98.41942784028501,589380,finite long-double observation
4,64,35,0.546875,0.00022249932722208436,140.79011606517656,588612,finite long-double observation
4,64,36,0.5625,0.00032716238885467804,101.23408107957782,587460,finite long-double observation
4,64,37,0.578125,0.00018331293676846579,190.60337312427183,585924,finite long-double observation
4,64,38,0.59375,0.00031293226009955548,117.53975535592205,584004,finite long-double observation
4,64,39,0.609375,0.00038135767261724443,101.32626193600024,581700,finite long-double observation
4,64,40,0.625,0.00039034712312974445,103.79057062569851,579012,finite long-double observation
4,64,41,0.640625,0.00023134909539775301,183.25446112992128,575940,finite long-double observation
4,64,42,0.65625,0.00029905214977895867,148.07080615038541,572484,finite long-double observation
4,64,43,0.671875,0.00041384823353028465,111.54977068428717,568644,finite long-double observation
4,64,44,0.6875,0.00032396403434473646,148.29355853197137,564420,finite long-double observation
4,64,45,0.703125,0.00042743406617038262,116.75871194888649,559812,finite long-double observation
4,64,46,0.71875,0.00033241001166064055,155.69177095741222,554820,finite long-double observation
4,64,47,0.734375,0.00070249787183969338,76.26544868160704,549444,finite long-double observation
4,64,48,0.75,0.00057544254241371432,96.219562362000815,543684,finite long-double observation
4,64,49,0.765625,0.00059200408306607228,96.49350829008722,537540,finite long-double observation
4,64,50,0.78125,0.00037794307422538278,155.67620867209942,531012,finite long-double observation
4,64,51,0.796875,0.0006612692593331805,91.488354264569793,524100,finite long-double observation
4,64,52,0.8125,0.00076040541648948366,81.670127342788518,516804,finite long-double observation
4,64,53,0.828125,0.00061799989361176883,102.97929887475007,509124,finite long-double observation
4,64,54,0.84375,0.00058688367336070212,110.93696617856185,501060,finite long-double observation
4,64,55,0.859375,0.00065228193151969764,101.93774244528967,492612,finite long-double observation
4,64,56,0.875,0.00064158809036117298,105.65681097213131,483780,finite long-double observation
4,64,57,0.890625,0.00076531342895792235,90.14169747024107,474564,finite long-double observation
4,64,58,0.90625,0.00043787229078229365,160.04424551772837,464964,finite long-double observation
4,64,59,0.921875,0.0006539376847197819,108.65875848926444,454980,finite long-double observation
4,64,60,0.9375,0.00059581201777300467,120.69038935793543,444612,finite long-double observation
4,64,61,0.953125,0.00062122739787127024,116.9099252351042,433860,finite long-double observation
4,64,62,0.96875,0.0011698352843288878,62.575404788263228,422724,finite long-double observation
4,64,63,0.984375,0.0011363516381433783,64.790326737836779,411204,finite long-double observation
4,64,64,1,0.0013286562612066827,55.606876548378303,399300,finite long-double observation
8,64,1,0.015625,2.5953593026874059e-07,128.00569743686759,3194376,finite long-double observation
8,64,2,0.03125,8.9358686419722728e-07,153.33360366706097,3289608,finite long-double observation
8,64,3,0.046875,2.2731614743535828e-06,139.59080962054054,3381768,finite long-double observation
8,64,4,0.0625,3.0551318044653535e-06,189.7403892750518,3470856,finite long-double observation
8,64,5,0.078125,9.7232855275505962e-06,95.57894817867215,3556872,finite long-double observation
8,64,6,0.09375,1.3131932161923431e-05,104.41327118026345,3639816,finite long-double observation
8,64,7,0.109375,1.0057699839473067e-05,189.86422331195416,3719688,finite long-double observation
8,64,8,0.125,1.3053997744145604e-05,195.25219299640415,3796488,finite long-double observation
8,64,9,0.140625,1.9988085500206672e-05,164.72749888690728,3870216,finite long-double observation
8,64,10,0.15625,3.3665856151750417e-05,123.10076487946465,3940872,finite long-double observation
