dOverOptimal,production,dissipation,profit
3.32000000,9.838152588003e+00,9.960000000000e+00,-1.218474119971e-01
3.33000000,9.860368973030e+00,9.990000000000e+00,-1.296310269703e-01
3.34000000,9.882568685320e+00,1.002000000000e+01,-1.374313146802e-01
3.35000000,9.904751787248e+00,1.005000000000e+01,-1.452482127518e-01
3.36000000,9.926918340771e+00,1.008000000000e+01,-1.530816592293e-01
3.37000000,9.949068407429e+00,1.011000000000e+01,-1.609315925712e-01
3.38000000,9.971202048353e+00,1.014000000000e+01,-1.687979516471e-01
3.39000000,9.993319324267e+00,1.017000000000e+01,-1.766806757331e-01
3.40000000,1.001542029549e+01,1.020000000000e+01,-1.845797045083e-01
3.41000000,1.003750502195e+01,1.023000000000e+01,-1.924949780510e-01
3.42000000,1.005957356317e+01,1.026000000000e+01,-2.004264368345e-01
3.43000000,1.008162597828e+01,1.029000000000e+01,-2.083740217236e-01
3.44000000,1.010366232603e+01,1.032000000000e+01,-2.163376739711e-01
3.45000000,1.012568266479e+01,1.035000000000e+01,-2.243173352135e-01
3.46000000,1.014768705253e+01,1.038000000000e+01,-2.323129474683e-01
3.47000000,1.016967554687e+01,1.041000000000e+01,-2.403244531296e-01
3.48000000,1.019164820504e+01,1.044000000000e+01,-2.483517949648e-01
3.49000000,1.021360508389e+01,1.047000000000e+01,-2.563949161115e-01
3.50000000,1.023554623993e+01,1.050000000000e+01,-2.644537600737e-01
