dimensionlessPrefactorK,r,chiUpper,strictlyAdmissible
1,70,1.331708658270921e-07,true
1,71,1.062151576374865e-07,true
1,72,8.471567442239294e-08,true
1,73,6.756799737882225e-08,true
1,74,5.389125803356347e-08,true
1,75,4.298288842508156e-08,true
1,76,3.428253050267205e-08,true
1,77,2.734325078490602e-08,true
1,78,2.180858158728949e-08,true
1,79,1.739420943730692e-08,true
1,80,1.387337001894863e-08,true
1,81,1.106519939157764e-08,true
1,82,8.825443090477674e-09,true
1,83,7.039045839747402e-09,true
1,84,5.614241214418554e-09,true
1,85,4.477837640393463e-09,true
100,0,100,false
100,1,79.75855452903291,false
100,2,63.61427020560716,false
100,3,50.73782239018553,false
100,4,40.46775373791999,false
100,5,32.27649543173367,false
100,6,25.74326620898011,false
100,7,20.53245701684351,false
100,8,16.37639092592937,false
100,9,13.06157268654498,false
100,10,10.41772157354724,false
100,11,8.309024141920505,false
100,12,6.627157551064173,false
100,13,5.285725069090441,false
100,14,4.215817911485262,false
100,15,3.362475427776709,false
100,16,2.681861797588619,false
100,17,2.139014204223021,false
100,18,1.706046810458978,false
100,19,1.36071827561075,false
100,20,1.085289227839517,false
100,21,0.8656110005841011,true
100,22,0.6903988219101777,true
100,23,0.5506521208410299,true
100,24,0.439192172066269,true
100,25,0.3502933280447192,true
100,26,0.2793888950601115,true
100,27,0.2228365442145815,true
100,28,0.1777312066279996,true
100,29,0.1417558413535012,true
100,30,0.1130624100240216,true
100,31,0.09017694395084806,true
100,32,0.0719238270136526,true
100,33,0.0573654047880514,true
100,34,0.04575381765867844,true
100,35,0.03649258360641133,true
100,36,0.02910595719477251,true
100,37,0.02321449074038961,true
100,38,0.01851554225581094,true
100,39,0.0147677288664471,true
100,40,0.01177852708064494,true
100,41,0.009394382944333105,true
100,42,0.007492824043322087,true
100,43,0.005976168150357535,true
100,44,0.004766505332949612,true
100,45,0.003801695755109878,true
100,46,0.003032177581867242,true
100,47,0.002418421010050695,true
100,48,0.001928897640042872,true
100,49,0.001538460876042823,true
100,50,0.001227054156726453,true
100,51,0.0009786806586934325,true
100,52,0.0007805815468290999,true
100,53,0.0006225805586712562,true
100,54,0.0004965612543749717,true
100,55,0.0003960500788407116,true
100,56,0.0003158838180944468,true
100,57,0.0002519443673032505,true
100,58,0.00020094718557839,true
100,59,0.0001602725705840971,true
100,60,0.0001278310856043999,true
100,61,0.00010195622611684,true
100,62,8.131881220314392e-05,true
100,63,6.485870917340642e-05,true
100,64,5.173036892289823e-05,true
100,65,4.125939450543967e-05,true
100,66,3.290789666496992e-05,true
100,67,2.624686270588783e-05,true
100,68,2.093411830343595e-05,true
100,69,1.669675016221822e-05,true
100,70,1.331708658270921e-05,true
100,71,1.062151576374865e-05,true
100,72,8.471567442239293e-06,true
100,73,6.756799737882225e-06,true
100,74,5.389125803356347e-06,true
100,75,4.298288842508156e-06,true
100,76,3.428253050267205e-06,true
100,77,2.734325078490602e-06,true
100,78,2.180858158728949e-06,true
100,79,1.739420943730692e-06,true
100,80,1.387337001894863e-06,true
100,81,1.106519939157764e-06,true
100,82,8.825443090477674e-07,true
100,83,7.039045839747403e-07,true
100,84,5.614241214418555e-07,true
100,85,4.477837640393463e-07,true
10000,0,10000,false
10000,1,7975.855452903291,false
10000,2,6361.427020560716,false
10000,3,5073.782239018553,false
10000,4,4046.775373791999,false
10000,5,3227.649543173367,false
10000,6,2574.326620898011,false
10000,7,2053.245701684351,false
10000,8,1637.639092592937,false
10000,9,1306.157268654498,false
10000,10,1041.772157354724,false
10000,11,830.9024141920504,false
10000,12,662.7157551064174,false
10000,13,528.5725069090441,false
10000,14,421.5817911485262,false
10000,15,336.247542777671,false
10000,16,268.1861797588619,false
10000,17,213.9014204223021,false
10000,18,170.6046810458978,false
10000,19,136.071827561075,false
10000,20,108.5289227839517,false
10000,21,86.56110005841012,false
10000,22,69.03988219101777,false
10000,23,55.06521208410299,false
10000,24,43.9192172066269,false
10000,25,35.02933280447192,false
10000,26,27.93888950601115,false
10000,27,22.28365442145816,false
10000,28,17.77312066279996,false
10000,29,14.17558413535012,false
10000,30,11.30624100240216,false
10000,31,9.017694395084806,false
10000,32,7.192382701365259,false
10000,33,5.73654047880514,false
10000,34,4.575381765867844,false
10000,35,3.649258360641133,false
10000,36,2.91059571947725,false
10000,37,2.321449074038961,false
10000,38,1.851554225581094,false
10000,39,1.47677288664471,false
10000,40,1.177852708064494,false
10000,41,0.9394382944333105,true
10000,42,0.7492824043322087,true
10000,43,0.5976168150357535,true
10000,44,0.4766505332949612,true
10000,45,0.3801695755109878,true
10000,46,0.3032177581867241,true
10000,47,0.2418421010050695,true
10000,48,0.1928897640042872,true
10000,49,0.1538460876042823,true
10000,50,0.1227054156726453,true
10000,51,0.09786806586934325,true
10000,52,0.07805815468291,true
10000,53,0.06225805586712563,true
10000,54,0.04965612543749717,true
10000,55,0.03960500788407115,true
10000,56,0.03158838180944468,true
10000,57,0.02519443673032504,true
10000,58,0.020094718557839,true
10000,59,0.01602725705840971,true
10000,60,0.01278310856043999,true
10000,61,0.010195622611684,true
10000,62,0.008131881220314392,true
10000,63,0.006485870917340641,true
10000,64,0.005173036892289823,true
10000,65,0.004125939450543968,true
10000,66,0.003290789666496991,true
10000,67,0.002624686270588783,true
10000,68,0.002093411830343595,true
10000,69,0.001669675016221822,true
10000,70,0.001331708658270921,true
10000,71,0.001062151576374865,true
10000,72,0.0008471567442239294,true
10000,73,0.0006756799737882226,true
10000,74,0.0005389125803356347,true
10000,75,0.0004298288842508156,true
10000,76,0.0003428253050267205,true
10000,77,0.0002734325078490603,true
10000,78,0.0002180858158728949,true
10000,79,0.0001739420943730692,true
10000,80,0.0001387337001894863,true
10000,81,0.0001106519939157764,true
10000,82,8.825443090477674e-05,true
10000,83,7.039045839747403e-05,true
10000,84,5.614241214418555e-05,true
10000,85,4.477837640393463e-05,true
1000000,0,1000000,false
1000000,1,797585.5452903291,false
1000000,2,636142.7020560716,false
1000000,3,507378.2239018553,false
1000000,4,404677.5373791999,false
1000000,5,322764.9543173367,false
1000000,6,257432.6620898011,false
1000000,7,205324.5701684351,false
1000000,8,163763.9092592938,false
1000000,9,130615.7268654498,false
1000000,10,104177.2157354724,false
1000000,11,83090.24141920503,false
1000000,12,66271.57551064173,false
1000000,13,52857.25069090441,false
1000000,14,42158.17911485262,false
1000000,15,33624.7542777671,false
1000000,16,26818.61797588619,false
1000000,17,21390.14204223021,false
1000000,18,17060.46810458978,false
1000000,19,13607.1827561075,false
1000000,20,10852.89227839517,false
1000000,21,8656.110005841012,false
1000000,22,6903.988219101777,false
1000000,23,5506.521208410299,false
1000000,24,4391.92172066269,false
1000000,25,3502.933280447192,false
1000000,26,2793.888950601115,false
1000000,27,2228.365442145815,false
1000000,28,1777.312066279996,false
1000000,29,1417.558413535012,false
1000000,30,1130.624100240216,false
1000000,31,901.7694395084806,false
1000000,32,719.238270136526,false
1000000,33,573.6540478805141,false
1000000,34,457.5381765867844,false
1000000,35,364.9258360641133,false
1000000,36,291.059571947725,false
1000000,37,232.1449074038961,false
1000000,38,185.1554225581094,false
1000000,39,147.677288664471,false
1000000,40,117.7852708064494,false
1000000,41,93.94382944333105,false
1000000,42,74.92824043322086,false
1000000,43,59.76168150357535,false
1000000,44,47.66505332949612,false
1000000,45,38.01695755109878,false
1000000,46,30.32177581867241,false
1000000,47,24.18421010050695,false
1000000,48,19.28897640042872,false
1000000,49,15.38460876042823,false
1000000,50,12.27054156726452,false
1000000,51,9.786806586934325,false
1000000,52,7.805815468291,false
1000000,53,6.225805586712562,false
1000000,54,4.965612543749717,false
1000000,55,3.960500788407116,false
1000000,56,3.158838180944468,false
1000000,57,2.519443673032504,false
1000000,58,2.0094718557839,false
1000000,59,1.602725705840971,false
1000000,60,1.278310856043999,false
1000000,61,1.0195622611684,false
1000000,62,0.8131881220314392,true
1000000,63,0.6485870917340641,true
1000000,64,0.5173036892289823,true
1000000,65,0.4125939450543967,true
1000000,66,0.3290789666496992,true
1000000,67,0.2624686270588783,true
1000000,68,0.2093411830343595,true
1000000,69,0.1669675016221822,true
1000000,70,0.1331708658270921,true
1000000,71,0.1062151576374865,true
1000000,72,0.08471567442239293,true
1000000,73,0.06756799737882226,true
1000000,74,0.05389125803356348,true
1000000,75,0.04298288842508156,true
1000000,76,0.03428253050267205,true
1000000,77,0.02734325078490603,true
1000000,78,0.02180858158728949,true
1000000,79,0.01739420943730692,true
1000000,80,0.01387337001894863,true
1000000,81,0.01106519939157764,true
1000000,82,0.008825443090477674,true
1000000,83,0.007039045839747403,true
1000000,84,0.005614241214418555,true
1000000,85,0.004477837640393462,true
