dimensionlessPrefactorK,r,chiUpper,strictlyAdmissible
1,0,1,false
1,1,0.7975855452903291,true
1,2,0.6361427020560716,true
1,3,0.5073782239018553,true
1,4,0.4046775373791999,true
1,5,0.3227649543173367,true
1,6,0.2574326620898011,true
1,7,0.2053245701684351,true
1,8,0.1637639092592937,true
1,9,0.1306157268654498,true
1,10,0.1041772157354724,true
1,11,0.08309024141920504,true
1,12,0.06627157551064174,true
1,13,0.05285725069090441,true
1,14,0.04215817911485262,true
1,15,0.03362475427776709,true
1,16,0.02681861797588619,true
1,17,0.02139014204223021,true
1,18,0.01706046810458978,true
1,19,0.0136071827561075,true
1,20,0.01085289227839517,true
1,21,0.008656110005841012,true
1,22,0.006903988219101776,true
1,23,0.005506521208410299,true
1,24,0.00439192172066269,true
1,25,0.003502933280447192,true
1,26,0.002793888950601115,true
1,27,0.002228365442145816,true
1,28,0.001777312066279996,true
1,29,0.001417558413535012,true
1,30,0.001130624100240216,true
1,31,0.0009017694395084806,true
1,32,0.000719238270136526,true
1,33,0.0005736540478805141,true
1,34,0.0004575381765867844,true
1,35,0.0003649258360641133,true
1,36,0.0002910595719477251,true
1,37,0.0002321449074038961,true
1,38,0.0001851554225581094,true
1,39,0.000147677288664471,true
1,40,0.0001177852708064494,true
1,41,9.394382944333105e-05,true
1,42,7.492824043322087e-05,true
1,43,5.976168150357535e-05,true
1,44,4.766505332949612e-05,true
1,45,3.801695755109878e-05,true
1,46,3.032177581867241e-05,true
1,47,2.418421010050695e-05,true
1,48,1.928897640042872e-05,true
1,49,1.538460876042823e-05,true
1,50,1.227054156726453e-05,true
1,51,9.786806586934326e-06,true
1,52,7.805815468291e-06,true
1,53,6.225805586712563e-06,true
1,54,4.965612543749716e-06,true
1,55,3.960500788407116e-06,true
1,56,3.158838180944468e-06,true
1,57,2.519443673032504e-06,true
1,58,2.0094718557839e-06,true
1,59,1.602725705840971e-06,true
1,60,1.278310856043999e-06,true
1,61,1.0195622611684e-06,true
1,62,8.131881220314392e-07,true
1,63,6.485870917340642e-07,true
1,64,5.173036892289823e-07,true
1,65,4.125939450543968e-07,true
1,66,3.290789666496991e-07,true
1,67,2.624686270588783e-07,true
1,68,2.093411830343595e-07,true
1,69,1.669675016221822e-07,true
