x,phi,cRho,aboveThreshold
0.0,0.0,0.113083091627041126869487538794,0
0.001,0.00112937916709551257389615890312,0.113083091627041126869487538794,0
0.002,0.00226075833419102514779231780624,0.113083091627041126869487538794,0
0.003,0.00339413750128653772168847670936,0.113083091627041126869487538794,0
0.004,0.00452951666838205029558463561249,0.113083091627041126869487538794,0
0.005,0.00566689583547756286948079451561,0.113083091627041126869487538794,0
0.006,0.00680627500257307544337695341873,0.113083091627041126869487538794,0
0.007,0.00794765416966858801727311232185,0.113083091627041126869487538794,0
0.008,0.00909103333676410059116927122497,0.113083091627041126869487538794,0
0.009000000000000001,0.0102364125038596143114445972236,0.113083091627041126869487538794,0
0.01,0.0113837916709551257389615890312,0.113083091627041126869487538794,0
0.011,0.0125331708380506383128577479343,0.113083091627041126869487538794,0
0.012,0.0136845500051461508867539068375,0.113083091627041126869487538794,0
0.013000000000000001,0.0148379291722416646150292328361,0.113083091627041126869487538794,0
0.014,0.0159933083393371760345462246437,0.113083091627041126869487538794,0
0.015,0.0171506875064326886084423835468,0.113083091627041126869487538794,0
0.016,0.0183100666735282011823385424499,0.113083091627041126869487538794,0
0.017,0.0194714458406237137562347013531,0.113083091627041126869487538794,0
0.018000000000000002,0.0206348250077192286588891944472,0.113083091627041126869487538794,0
0.019,0.0218002041748147389040270191593,0.113083091627041126869487538794,0
0.02,0.0229675833419102514779231780624,0.113083091627041126869487538794,0
0.021,0.0241369625090057640518193369656,0.113083091627041126869487538794,0
0.022,0.0253083416761012766257154958687,0.113083091627041126869487538794,0
0.023,0.0264817208431967891996116547718,0.113083091627041126869487538794,0
0.024,0.0276571000102923017735078136749,0.113083091627041126869487538794,0
0.025,0.028834479177387814347403972578,0.113083091627041126869487538794,0
0.026000000000000002,0.0300138583444833292820584656722,0.113083091627041126869487538794,0
0.027,0.0311952375115788394951962903843,0.113083091627041126869487538794,0
0.028,0.0323786166786743520690924492874,0.113083091627041126869487538794,0
0.029,0.0335639958457698646429886081905,0.113083091627041126869487538794,0
