A,thetaOptimizer,exactLogGain,exactLogGainMinusA,optimizedBieleckiLog,optimizedBieleckiLogMinusA,bieleckiAsymptoticLog,bieleckiAsymptoticLogMinusA,stationarityResidual
0.001,0.12070400939272902663438327810621137,0.036049131625879634265156261270648995,0.035049131625879634265156261270648995,0.1972704360008600000812090173718213,0.1962704360008600000812090173718213,-5.2136080984221917426367422425949161,-5.2146080984221917426367422425949161,1.39524828037e-104
0.0010592537251772887,0.12293816766233851004464063948488847,0.037112905981686113505036332019589779,0.036053652256508824805036332019589779,0.20126301880980708066754072320390946,0.20020376508462979196754072320390946,-5.1559842173721634806431383734801133,-5.1570434710973407693431383734801133,1.39524828037e-104
0.001122018454301963,0.12521153723111155446693489012612948,0.038208408294489377112818704137305511,0.037086389840187414112818704137305511,0.20533993028572000259642325591851986,0.20421791183141803959642325591851986,-5.0983568253181878836567647735620928,-5.0994788437724898466567647735620928,2.79049656075e-104
0.001188502227437019,0.12752471912195030201492845976382055,0.03933660501848804147249734347107669,0.03814810279105102247249734347107669,0.20950309546073685870568100794424292,0.20831459323329983970568100794424292,-5.0407257142202008242442496320151568,-5.0419142164476378432442496320151568,0.0
0.0012589254117941675,0.12987831985059059561277967160822132,0.040498493249398901090784987675652066,0.039239567837604733590784987675652066,0.21375448919331412081693721349241031,0.21249556378151995331693721349241031,-4.983090663710992776716513744022357,-4.984349589122786944216513744022357,2.79049656075e-104
0.001333521432163324,0.13227295129590623432103107047515396,0.041695101767330377468295557164748139,0.040361580335167053468295557164748139,0.21809613769541221429292813821889445,0.21676261626324889029292813821889445,-4.9254514403657727273887258232748893,-4.9267849617979360513887258232748893,0.0
0.001412537544622754,0.13470923055883761365221738163436789,0.042927492119315283332717535516933528,0.041514954574692529332717535516933528,0.22253012011584719919764432686492896,0.22111758257122444519764432686492896,-4.867807796928462349943832339688368,-4.869220334473085103943832339688368,5.5809931215e-104
0.0014962356560944327,0.1371877798094094668453148520204551,0.044196759743246418004621218859201726,0.042700524087151985304621218859201726,0.22705857018223965942497976533977259,0.22556233452614522672497976533977259,-4.8101594714921397910144523312375886,-4.8116557071482342237144523312375886,2.79049656075e-104
0.001584893192461114,0.13970922612128148388070631698143262,0.045504035135047349643997480089346436,0.043919141942586235643997480089346436,0.23168367790411034943189192298502185,0.23009878471164923543189192298502185,-4.7525061866309211670176288902294778,-4.7540910798233822810176288902294778,2.79049656075e-104
0.0016788040181225606,0.14227420129325480756470462578178107,0.046850485061005129877056870081398603,0.045171681042882569277056870081398603,0.23640769133979844599401644447369301,0.23472888732167588539401644447369301,-4.6948476484804087327566128407684867,-4.6965264524985312933566128407684867,2.79049656075e-104
0.0017782794100389228,0.144883341657137187571524822367583,0.048237313817292220215744768476902934,0.046459034407253297415744768476902934,0.24123291843001357692672407490841494,0.23945463901997465412672407490841494,-4.6371835457636413995213493577448208,-4.6389618251736803223213493577448208,2.79049656075e-104
0.0018836490894898002,0.14753728787134619721252173572874457,0.049665764538810010658834202895491997,0.047782115449320210458834202895491997,0.24616172890097073367581939445559269,0.24427807981148093347581939445559269,-4.5795135487593395571785565077211281,-4.5813971978488293573785565077211281,5.5809931215e-104
0.001995262314968879,0.15023668469960915738995587718525348,0.051137120559599357321237893281547409,0.049141858244630478321237893281547409,0.25119655624020874646266508001943744,0.24920129392523986746266508001943744,-4.521837308209009459821518361449186,-4.523832570523978338821518361449186,5.5809931215e-104
0.0021134890398366475,0.15298218077409470293467419790640689,0.052652706827182091634827303027395786,0.050539217787345444134827303027395786,0.25633989974834847076109337595201959,0.25422641070851182326109337595201959,-4.464154454159289914524385544350015,-4.466267943199126562024385544350015,2.79049656075e-104
0.00223872113856834,0.15577442834228764231438985364688812,0.054213891373323633846149517618630605,0.051975170234755293846149517618630605,0.26159432667021286130814894847633759,0.25935560553164452130814894847633759,-4.4064645947357072398970887638377727,-4.4087033158742755798970887638377727,8.37148968224e-104
0.0023713737056616554,0.15861408299689558518107703855175786,0.055822086843841032534221475408439905,0.053450713138179377134221475408439905,0.26696247440890768248668968547765347,0.26459110070324602708668968547765347,-4.3487673148437628973890233294441332,-4.3511386885494245527890233294441332,1.67429793645e-103
0.0025118864315095794,0.16150180338805018457452216310797345,0.057478752090222022161026927677938034,0.054966865658712442761026927677938034,0.2724470528266444494294685745108596,0.2699351663951348700294685745108596,-4.2910621747930641727175958001756591,-4.2935740612245737521175958001756591,0.0
0.0026607250597988083,0.16443825091704242065999487353062188,0.059185393825972162459149709291122914,0.056524668766173354159149709291122914,0.27805084663628562525256456945907722,0.27539012157648681695256456945907722,-4.2333487088399240203687652122961341,-4.2360094338997228286687652122961341,1.1161986243e-103
0.002818382931264455,0.16742408941080513071413174330505546,0.060943568350766602484255845579306711,0.058125185419502147484255845579306711,0.28377671788779733066675634771956008,0.28095833495653287566675634771956008,-4.1756264236436063108301972962748717,-4.1784448065748707658301972962748717,5.5809931215e-104
0.0029853826189179603,0.17045998477633053290447968657262923,0.06275488334565308156916355230685771,0.05976950072673512126916355230685771,0.28962760855401417159040440096346899,0.28664222593509621129040440096346899,-4.1178947966311018539527175756473431,-4.1208801792500198142527175756473431,1.1161986243e-103
0.0031622776601683794,0.17354660463418535836982554061786736,0.064620999742733919928586676124789153,0.061458722082565540528586676124789153,0.2956065432203541849997164946893139,0.2924442655601858055997164946893139,-4.0601532742650004997239085341355164,-4.0633155519251688791239085341355164,0.0
0.003349654391578276,0.17668461793025797216331132789761706,0.066543633672945617431960120595247723,0.063193979281367341431960120595247723,0.30171663188336344488362348071598054,0.29836697749178516888362348071598054,-4.002401270208739660303167483813846,-4.005750924600317936303167483813846,1.1161986243e-103
0.0035481338923357532,0.17987469452484720559462353631375119,0.068524558495759978173292168683790536,0.064976424603424224973292168683790536,0.30796107286323313974791484943732377,0.30441293897089738654791484943732377,-3.9446381633831312533846676529799966,-3.9481862972754670065846676529799966,5.5809931215e-104
0.003758374042884443,0.18311750475817464511272127274114266,0.070565606914847170042841389953385451,0.066807232871962727042841389953385451,0.31434315583570451372694008957139281,0.31058478179282007072694008957139281,-3.8868632959077306784549492172816548,-3.8906216699506151214549492172816548,5.5809931215e-104
0.003981071705534973,0.18641371899137510522550932813296621,0.072668673183972179453707576699678166,0.068687601478437206453707576699678166,0.32086626498906797406624805071744784,0.31688519328353300106624805071744784,-3.8290759709202292355664121082942015,-3.8330570426257642085664121082942015,1.67429793645e-103
0.004216965034285823,0.18976400712199404304820402376894131,0.074835715407642815770140861977261985,0.070618750373356992770140861977261985,0.3275338823122730897348318662842053,0.3233169172779872667348318662842053,-3.7712754502666272451634082079219309,-3.7754924153009130681634082079219309,5.5809931215e-104
0.0044668359215096305,0.19316903807299156834814261219365596,0.077068757941288103671013857719400685,0.072601922019778473171013857719400685,0.33434959102048882053321882809390076,0.32988275509897919003321882809390076,-3.7134609520545525710033750268306954,-3.7179277879760622015033750268306954,5.5809931215e-104
0.0047315125896148025,0.19662947925422789816891577451778294,0.079369893896026349456474853668175845,0.074638381306411546956474853668175845,0.34131707912480377293704331030463643,0.33658556653518897043704331030463643,-3.6556316480615965872091526886935892,-3.6603631606512113897091526886935892,1.1161986243e-103
0.005011872336272725,0.20014599599537674833991177664153746,0.081741287753378586864724303042071311,0.076729415417105861864724303042071311,0.3484401431531201717283255363038904,0.3434282708168474467283255363038904,-3.59778666099008660984585151652879,-3.60279853332635933484585151652879,1.1161986243e-103
0.005308844442309885,0.20371925094918698321740178793479824,0.084185178095600352411956089329257608,0.078876333653290467411956089329257608,0.35572269202968497123568879486085225,0.35041384758737508623568879486085225,-3.5399250615591984583212330092866449,-3.5452339060015083433212330092866449,1.1161986243e-103
0.005623413251903491,0.20734990346398801121078914614840759,0.086703880457643725117460115780447995,0.081080467205740234117460115780447995,0.36316875112111676271679670751695754,0.35754533786921327171679670751695754,-3.4820458654247539537599937528111677,-3.4876692786766574447599937528111677,0.0
0.005956621435290103,0.21103860892430654179521427506068215,0.089299790307120720535120024741728028,0.083343168871830617535120024741728028,0.37078246645722017946332692530543994,0.36482584502193007646332692530543994,-3.4241480299165165039872931699628061,-3.4301046513518066069872931699628061,0.0
0.00630957344480193,0.2147860180584399812775121400726743,0.091975386159025801885065321239034176,0.085665812714223871885065321239034176,0.37856810913534907114929072140598859,0.37225853569054714114929072140598859,-3.3662304505821536607491684252739926,-3.3725400240269555907491684252739926,1.1161986243e-103
0.006683439175686149,0.21859277621180657029777151151035405,0.094733232832385499906689945690337208,0.088049793656699350906689945690337208,0.38653007991757028515077012588711821,0.37984664074188413615077012588711821,-3.3082919575264174679635845590006501,-3.3149753967021036169635845590006501,0.0
0.00707945784384138,0.22245952258486985627690062101067937,0.097575984856442399417436341530766989,0.090496527012601019417436341530766989,0.39467291403040405426585618251225571,0.38759345618656267426585618251225571,-3.2503313115334114052262292147651038,-3.2574107693772527852262292147651038,1.1161986243e-103
0.007498942093324558,0.22638688943441485367201800064683875,0.10050639003445084184874692436102286,0.093007447941126283848746924361022862,0.403001286177475681014430471568514,0.395502344084151123014430471568514,-3.1923471999590772475290475961513801,-3.1998461420524018055290475961513801,1.1161986243e-103
0.007943282347242814,0.2303755012369312097169155880220126,0.10352729317366169216825991177517764,0.095584010826418878168259911775177641,0.41152001577599952247910535938021623,0.40357673342875670847910535938021623,-3.134338232380307941513928137748616,-3.142281514727550755513928137748616,2.2323972486e-103
0.008413951416451947,0.23442597381284326073452612118553841,0.1066416399906117900594738539562069,0.098227688574159843059473853956206897,0.42023407242864959416332591768588013,0.41182012101219764716332591768588013,-3.0763029359862480028060051558910111,-3.0847168874026999498060051558910111,2.2323972486e-103
0.008912509381337459,0.23853891341030963522917987535105484,0.10985248120140659470355096807856705,0.10093997182006913570355096807856705,0.42914858164303574461777617794900067,0.42023607226169828561777617794900067,-3.0182397506965104686202093437416754,-3.0271522600778479276202093437416754,0.0
0.009440608762859235,0.24271491574730141288972476472816703,0.1131629768072984902371924639241155,0.1037223680444392552371924639241155,0.43826883081171345823990355009150075,0.42882822204885422323990355009150075,-2.9601470239901378389947249514109055,-2.9695876327529970739947249514109055,1.1161986243e-103
0.01,0.24695456501065939608282397881935548,0.11657640058652248501552128392306205,0.10657640058652248501552128392306205,0.44760027546641473796277067561872163,0.43760027546641473796277067561872163,-2.9020230054281460586187507879105518,-2.9120230054281460586187507879105518,1.1161986243e-103
0.010592537251772892,0.25125843281082036568261498821204241,0.12009614480405282523030430147044048,0.10950360755227993323030430147044048,0.45714854582098328979721706691462174,0.44655600856921039779721706691462174,-2.8438658408515217212947087758340906,-2.8544583781032946132947087758340906,2.2323972486e-103
0.011220184543019636,0.2556270770909014302612734741580903,0.12372572515170112100032757591903572,0.11250554060868148500032757591903572,0.46691945361835807282886564599360105,0.45569926907533843682886564599360105,-2.785673566235423991888210438630346,-2.796893750778443627888210438630346,8.92958899439e-103
0.011885022274370183,0.26006104098883049492639943492668355,0.12746878593178457876442443891806457,0.11558376365741439576442443891806457,0.47691899929785559525622301657254653,0.46503397702348541225622301657254653,-2.7274441011792225652028573289672512,-2.7393291234535927482028573289672512,6.69719174579e-103
0.012589254117941675,0.26456085165121536706012404834769633,0.13132910549846020645869610744654844,0.11873985138051853145869610744654844,0.48715337949996844646095160241018966,0.47456412538202677146095160241018966,-2.6691752420107995851985222893379928,-2.6817644961287412601985222893379928,6.69719174579e-103
0.01333521432163324,0.26912701899765444517780011534703156,0.13531060197175198742787327603211638,0.12197538765011874742787327603211638,0.49762899492692925980024187896346419,0.48429378060529601980024187896346419,-2.6108646544822571273707343685905251,-2.6241998688038903673707343685905251,6.69719174579e-103
0.014125375446227547,0.27376003443420797127092836433981871,0.13941733924029729909947176450522317,0.12529196379406975209947176450522317,0.50835245857838795411309971932169637,0.49422708313216040711309971932169637,-2.552509866032811377363791816107483,-2.566635241479038924363791816107483,4.4647944972e-103
0.014962356560944336,0.27846036951476880894255300570283026,0.14365353326990961619791507362212502,0.12869117670896528019791507362212502,0.51933060438271495559437036639459526,0.50436824782177061959437036639459526,-2.4941082575932436021869350647999716,-2.5090706141541879381869350647999716,6.69719174579e-103
0.01584893192461114,0.28322847454910308016402507686184559,0.14802355873620854823120125086231979,0.13217462681159740823120125086231979,0.53057049624569460552218875050340717,0.51472156432108346552218875050340717,-2.4356570549047254569996374355451136,-2.4515059868293365969996374355451136,8.92958899439e-103
0.016788040181225608,0.2880647771563648907499591347887296,0.15253195600080352612205082316777295,0.13574391581957791812205082316777295,0.54207943753969440320702523052197913,0.52529139735846879520702523052197913,-2.3771533193232598822061926802820578,-2.3939413595044854902061926802820578,8.92958899439e-103
0.01778279410038923,0.29296968076293668486601456085069674,0.15718343845184973526172012663199355,0.13940064435146050526172012663199355,0.55386498105781601556560972514118187,0.53608218695742678556560972514118187,-2.3185939380792452958350928649906468,-2.3363767321796345258350928649906468,4.4647944972e-103
0.01883649089489801,0.29794356304349956039147020531166125,0.16198290023122390806004707058981163,0.14314640933632589806004707058981163,0.56593493945903884561061499572237132,0.54709844856414083561061499572237132,-2.2599756139598852386530096682460968,-2.2788121048547832486530096682460968,2.2323972486e-103
0.0199526231496888,0.30298677430430335649440410584898465,0.16693542437210707891716888112716209,0.14698280122241827891716888112716209,0.57829739623197748144400341823618077,0.55834477308228868144400341823618077,-2.2012948543802433536162932794925114,-2.2212474775299321536162932794925114,1.1161986243e-102
0.021134890398366475,0.30809963580768265056115420685825694,0.1720462913724177438955834298509967,0.1509114009740512688955834298509967,0.5909607172065910176901044448380532,0.5698258268082245426901044448380532,-2.1425479598067144030063940896656508,-2.1636828502050808780063940896656508,8.92958899439e-103
0.0223872113856834,0.31328243803695233330848096351429062,0.17732098823132087173722520316777719,0.15493377684563747173722520316777719,0.60393356264501064743906616385171653,0.58154635125932724743906616385171653,-2.0837310114945464958790973091534085,-2.1061182228802298958790973091534085,2.2323972486e-103
0.023713737056616554,0.31853543890091961528560278283247576,0.18276521797795956470143159954556091,0.15905148092134301070143159954556091,0.61722489994460816000495282627795379,0.59351116288799160600495282627795379,-2.024839858498762314771031874759769,-2.048553595555378868771031874759769,8.92958899439e-103
0.025118864315095808,0.32385886187736498965598504570519267,0.18838490972362393300822116762226022,0.16326604540852812500822116762226022,0.63084401698850990224224412170019992,0.60572515267341409424224412170019992,-1.9658701039154317027495655705951414,-1.9909889682305275107495655705951414,0.0
0.0266072505979881,0.32925289409497827996276382627516217,0.194186229270802330372294060077284,0.167578978672814230372294060077284,0.64480053618098770335723176731488716,0.61819328558299960335723176731488716,-1.9068170903076884057271864672565689,-1.9334243409056765057271864672565689,1.33943834916e-102
0.02818382931264455,0.33471768435338637639309009292212747,0.20017559031496455903424391429851631,0.17199176100232000903424391429851631,0.65910442920753412888043805439019574,0.63092059989488957888043805439019574,-1.8476758842681805318122058415905075,-1.8758597135808250818122058415905075,4.4647944972e-103
0.029853826189179603,0.34025334108107743861042045996082075,0.20635966627751873746537683186866673,0.17650584008833913446537683186866673,0.67376603256196286854344056456427072,0.64391220637278326554344056456427072,-1.7884412600667945272347261209629789,-1.8182950862559741302347261209629789,1.78591779888e-102
0.03162277660168379,0.34585993023121812657135988359992208,0.21274540281118381592355799618571079,0.18112262620950002592355799618571079,0.68879606388558866583285664869396391,0.65717328728390487583285664869396391,-1.7291076823294395315970234861863308,-1.7607304589311233215970234861863308,1.33943834916e-102
0.03349654391578278,0.35153747311557051584880467116900916,0.21934003102203798959560400791222002,0.18584348710625520959560400791222002,0.70420563916642903963319110185581847,0.67070909525064625963319110185581847,-1.6696692876904888752086522455376304,-1.7031658316062716552086522455376304,1.33943834916e-102
0.03548133892335755,0.3572859441769522761116494952065741,0.22615108145576550555177421304777209,0.19066974253240795555177421304777209,0.72000629084946252407618629550764288,0.68452495192610497407618629550764288,-1.6101198653580632652577485706938757,-1.6456012042814208152577485706938757,0.0
0.03758374042884443,0.36310526870094661772772941679265726,0.23318639889914839170310922348697057,0.19560265847030396170310922348697057,0.73620998691228259813145665253515466,0.69862624648343816813145665253515466,-1.5504528365277250074369577625972906,-1.5880365769565694374369577625972906,1.78591779888e-102
0.039810717055349734,0.36899532046785478586048712464101188,0.24045415805165203256822288637677609,0.20064344099630229856822288637677609,0.7528291509640048338071755486319603,0.7130184339086550998071755486319603,-1.4906612325763686900729633932266503,-1.5304719496317184240729633932266503,1.78591779888e-102
0.042169650342858224,0.37495591934620696501793428550656982,0.24796288012607190487730170253577996,0.20579322978321368087730170253577996,0.76987668342906426605740346910323954,0.72770703308620604205740346910323954,-1.4307376719640093024278390929368752,-1.4729073223068675264278390929368752,8.92958899439e-103
0.04466835921509633,0.38098682882949507129400610109553557,0.25572145044165255233700769620341007,0.21105309122655622233700769620341007,0.78736598388155827826129354311016942,0.74269762466646194826129354311016942,-1.3706743357669196278050989300614989,-1.4153426949820159578050989300614989,4.4647944972e-103
0.04731512589614805,0.38708775351817703689502405965196163,0.26373913707790140135345666146470151,0.21642401118175335135345666146470151,0.80531097460009777954547738745134208,0.75799584870394972954547738745134208,-1.3104629417610171273189012748474101,-1.3577780676571651773189012748474101,0.0
0.05011872336272725,0.39325833654942381153837289141638253,0.27202561066252442410670099893710642,0.22190688729979717410670099893710642,0.82372612541773156766669007336877028,0.77360740205500431766669007336877028,-1.2500947169695864008278600618444258,-1.3002134403323136508278600618444258,4.4647944972e-103
0.053088444423098846,0.39949815697753611703437309604543995,0.28059096537253659195735952896497572,0.22750252094943774595735952896497572,0.84262647994641518881159990408062782,0.78953803552331634281159990408062782,-1.1895603685843638886492051341942839,-1.2426488130074627346492051341942839,0.0
