eta,etaDecimal,slabs,inverseMaximumRowSum,log10InverseMaximumRowSum
1/5,0.2,1,1.25,0.0969100130080564143587833158265
1/5,0.2,2,1.5625,0.193820026016112828717566631653
1/5,0.2,3,1.770066738241592202750527726315530649553,0.247989641222622528616272789033
1/5,0.2,4,1.953642996486070255602590844878350439446,0.290845204817001687040593766127
1/5,0.2,5,2.129596457982139513754123576386689229349,0.3282973157977247761963979652
1/5,0.2,6,2.30379265102641012141561281189003317725,0.362443388567424778536059548089
1/5,0.2,7,2.47919056722804155389802850488854342969,0.394309910839889103936424750129
1/5,0.2,8,2.657612351628237418730917494730094962115,0.424491633556867900775114127738
1/5,0.2,9,2.84033706388257159545367553549380012495,0.453369880997081751918266754544
1/5,0.2,10,3.028351804189154973000558430466305710168,0.481206325829056263384938949561
1/5,0.2,11,3.222475064177028357776647805755927000074,0.508189565425838457484160245855
1/5,0.2,12,3.423423975725149027113146781382868422301,0.534460687894980457862210149367
1/5,0.2,13,3.63185396260214453603948817250482097607,0.560128377153245736042323665108
1/5,0.2,14,3.84838363228572266072923121122535802631,0.585278358864770062886226014894
1/5,0.2,15,4.073611249916355070912307175892018184483,0.609979581347542237588978189604
1/5,0.2,16,4.308126161384912718919089711667229579047,0.63428841291541061327324787125
1/5,0.2,17,4.552517059820340383216380797458989385444,0.658251581918238041826212949211
1/5,0.2,18,4.807378213516883237712577472061226114616,0.681908290961992216661960657913
1/5,0.2,19,5.073314342477499173004115707821642670763,0.705291772030397765187890781906
1/5,0.2,20,5.350944580935156927584404373535396749778,0.728430453063828925157055937925
1/5,0.2,21,5.640905812876049645662889000455484991491,0.751348848300168643944526411976
1/5,0.2,22,5.943855574157821618463228657303955078461,0.774068248244387514677074719679
1/5,0.2,23,6.260474655099213755253150108204547067927,0.796607261688969521007088815782
1/5,0.2,24,6.591469498298467511153506497203857784633,0.818982246742340049356821414706
1/5,0.2,25,6.937574460250460912256884207150838206437,0.841207657392333700534919473809
1/5,0.2,26,7.29955398746416622368097346727886569365,0.863296324955970894878940963623
1/5,0.2,27,7.678204745383920806610044938862051669297,0.88525968874060249975407994792
1/5,0.2,28,8.07435772968929264710382400637496291521,0.907107986663155417047934139355
1/5,0.2,29,8.488880383326189550002929365144819292725,0.928850413988627258426859361262
1/5,0.2,30,8.922678738140954184382122611043339968026,0.950495256455193601270105764765
1/5,0.2,31,9.376699596736870018377357662231006209057,0.972050002648808906193617738296
1/5,0.2,32,9.851932767799874340507963890703050999366,0.993521439436538806561185465237
1/5,0.2,33,10.34941336640636496819208514563316945976,1.01491573346896899549512340667
1/5,0.2,34,10.87022418956211840551058980836245401506,1.03623850115029561195642626482
1/5,0.2,35,11.41549817630796875221873601356922603905,1.05749486900195170803972259403
1/5,0.2,36,11.9864209610793499047823628401022168613,1.07868952597714369188140825645
1/5,0.2,37,12.58423352856103469887765410445012926175,1.09982676899415442757206248905
1/5,0.2,38,13.21023497799006525388932175616310460027,1.12091054272708140824986307109
1/5,0.2,39,13.86578540469553767277855082533129918015,1.14194447450996500912156400264
1/5,0.2,40,14.55230890659877211026925231985379198939,1.16293190506363008471498239786
1/5,0.2,41,15.27129672341293815827480013402129360067,1.18387591563615093553590374493
1/5,0.2,42,16.02431051636351382101349316986385303176,1.20477935205165825596833720469
1/5,0.2,43,16.81298579638957152229800888936288465052,1.22564484608362928183038681856
1/5,0.2,44,17.63903550897292414364043615119409782834,1.24647483450427308322379707413
1/5,0.2,45,18.5042537839716986356796719945436735283,1.26727157610836354803893117502
1/5,0.2,46,19.41051985910249663011347144435533581776,1.28803716696570461878898982317
1/5,0.2,47,20.35980218601766288274731750111062495023,1.30877355411961723210952101665
1/5,0.2,48,21.35416272825892011189613789944765743297,1.32948254791805158536677959576
1/5,0.2,49,22.39576146073405263626331733438496178313,1.35016583313806392601051278251
1/5,0.2,50,23.48686108075829911463974128852742084162,1.37082497904258152732168467641
1/5,0.2,51,24.62983194112596283961206430939542788969,1.39146144848990962160268153492
1/5,0.2,52,25.82715721613014703621197879736759327019,1.41207660620074025222030847074
1/5,0.2,53,27.08143831192945330423871914406263326583,1.43267172627404189450391848547
1/5,0.2,54,28.39540053317017557690357236003975981077,1.45324799903176162659436516923
1/5,0.2,55,29.77189901831142480823247904144642736792,1.47380653726244788737558750679
1/5,0.2,56,31.21392495666936027295522072032189991246,1.49434838192544544484452289276
1/5,0.2,57,32.72461210079607301618619397293796054854,1.5148745073700133905266262593
1/5,0.2,58,34.30724358843960175900742690790830677926,1.53538582611739601461274227104
1/5,0.2,59,35.96525908899512978103158796170164866109,1.55588319324838887840540601701
1/5,0.2,60,37.70226229005480399572603199406169319942,1.57636741043416588177358745247
1/5,0.2,61,39.52202874039614147096103293631641732521,1.59683922964396496166700655651
1/5,0.2,62,41.42851406651806195004635540365137670031,1.61729935655958387481295769004
1/5,0.2,63,43.42586258064073342642546184725583468074,1.63774845372344041244345297214
