eta,etaDecimal,slabs,inverseMaximumRowSum,log10InverseMaximumRowSum
1/5,0.2,64,45.51841629893227379649484917433208714594,1.65818714344414165843726775765
2/5,0.4,1,1.666666666666666666666666666666666666667,0.22184874961635636749123320202
2/5,0.4,2,2.777777777777777777777777777777777777778,0.443697499232712734982466404041
2/5,0.4,3,3.978755810044179683853728212084849716929,0.599747285815244758461384972939
2/5,0.4,4,5.439385187234202003378676760996201017941,0.73554981424210334390264134746
2/5,0.4,5,7.277935352776937554197039847498411737035,0.862008193589191584748443878477
2/5,0.4,6,9.622232797164537642774308646506253442725,0.983275859872815448692982271584
2/5,0.4,7,12.62882884006229366789530908339885497824,1.10136307724717721821158098429
2/5,0.4,8,16.49624242945546732271054839064334212446,1.21738503039586194161170134387
2/5,0.4,9,21.47902929213376601438080465749251531149,1.33201465027724622409814313659
2/5,0.4,10,27.90494229423181707724018069080548040047,1.44568112875833742845118923713
2/5,0.4,11,36.19669461872342174598840439517431543725,1.55866891378205125738794892094
2/5,0.4,12,46.89988846248411829903637775197015583482,1.67117180987531198910294199674
2/5,0.4,13,60.718998996207134219704642047706843823,1.78332460323645169997630288441
2/5,0.4,14,78.5638055241386957755768624803499203892,1.89522251192382485927226242664
2/5,0.4,15,101.6093386339986165477963081909390044461,2.00693362458996258630490759674
2/5,0.4,16,131.3732976008491359581947578369703203641,2.11850710127342459638527654277
2/5,0.4,17,169.8160409587395738623992782451594808015,2.22997871164894744764029063002
2/5,0.4,18,219.4697391791753899374126536183753067219,2.341374647523528696746829401
2/5,0.4,19,283.6051990748952458795370884411855972901,2.45271418810779057405446192623
2/5,0.4,20,366.4473511392065968993255176275358510975,2.56401158674740513001176752684
2/5,0.4,21,473.4535968951539583274593972122219263721,2.67527742029827306431219688303
2/5,0.4,22,611.6733546090646151706149789240301693079,2.78651956240348621833037563777
2/5,0.4,23,790.2124912232554360334992148758227961255,2.89774389047635028134939361358
2/5,0.4,24,1020.833238503253335394040281865636227796,3.00895480230923758667367854248
2/5,0.4,25,1318.729117423405723205319531213096171389,3.12015559547809815572001346186
2/5,0.4,26,1703.525924795141328064782406183709049094,3.23134874718467252311053684346
2/5,0.4,27,2200.574729695732055907665839967253778759,3.34253612143039642906831725852
2/5,0.4,28,2842.62206560572631340752277049974085556,3.45371912288686908236577502631
2/5,0.4,29,3671.967354780911082066991203314656284624,3.56489881149937557348363671708
2/5,0.4,30,4743.249701491351504320446015210045429224,3.67607598805590457885622920496
2/5,0.4,31,6127.0476551925577944429873456498240681,3.78725125821781571543640294751
2/5,0.4,32,7914.529105234867544025656660799253716516,3.89842508052727402665393000657
2/5,0.4,33,10223.45765407213364731686446681073316672,4.00959780246424787136415273482
2/5,0.4,34,13205.95118420800966737717460318882529222,4.12076968757062216180484067238
2/5,0.4,35,17058.50377312838740208029318646524189653,4.23194093588362713471237024642
2/5,0.4,36,22034.9312256293939686619110501262511039,4.34311169934894375545048095879
2/5,0.4,37,28463.09310835036284333587533770262371174,4.45428209346070383913091198465
2/5,0.4,38,36766.49297695605859418334506217786815788,4.56545220606156923232860870948
2/5,0.4,39,47492.17987423440489015987855093713532841,4.67662210400240467529543756669
2/5,0.4,40,61346.78932123760942416939254091687760836,4.78779183818677938510466344243
2/5,0.4,41,79243.09827423640852672999054470857206508,4.89896144739527396018899643142
2/5,0.4,42,102360.1612072444313558470834040572699209,5.01013096118702719310650391462
2/5,0.4,43,132220.9892391946377010403995985155587442,5.12130040210278843629615101542
2/5,0.4,44,170792.8900055476205963660761530992252356,5.23246978733876891065279235396
2/5,0.4,45,220617.0789219738358052347531165259083223,5.34363913001922512917714051234
2/5,0.4,46,284976.1009620061254734853381031797479529,5.45480844016454797279192452838
2/5,0.4,47,368110.0931240266392743636833269688132702,5.56597772542812780912090920798
2/5,0.4,48,475496.1355126137854195044928901101988433,5.67714699165751832014476503903
2/5,0.4,49,614209.095398716352999089084300963500387,5.78831624332200623731268522456
2/5,0.4,50,793387.7375892156784154464413463654975456,5.89948548383854379602027573561
2/5,0.4,51,1024836.809650415234084266451134299531551,6.01065471582031395659942600858
2/5,0.4,52,1323804.768901513600365311515243574438296,6.12182394126637254886175949273
2/5,0.4,53,1709988.389823623293072342234347944003147,6.23299316170639259193781595669
2/5,0.4,54,2208830.437992561630679112499658323630639,6.34416237831118191754782024692
2/5,0.4,55,2853195.904616571377454999860870119097623,6.4553315919770975991336816586
2/5,0.4,56,3685537.236302019697243660098147530070737,6.56650080339054441736164150996
2/5,0.4,57,4760691.2109277296422577171030676693055,6.67767001307727209432809461572
2/5,0.4,58,6149491.724971454116359818898329011724063,6.78883922144006559606830766582
2/5,0.4,59,7943436.511967467452952535353016718086005,6.90000842878756980978466001716
2/5,0.4,60,10260715.24745557341888242888279397527307,7.0111776353563401895397359476
2/5,0.4,61,13253996.18740947407125356036238559764041,7.12234684132771585453756030607
2/5,0.4,62,17120484.34382048041068461005890525331449,7.23351604684073416076144290568
2/5,0.4,63,22114913.85579621174450209699955145560135,7.34468525200201787342239927471
2/5,0.4,64,28566330.52684695055024727870378174919322,7.45585445689334640189125475529
3/5,0.6,1,2.5,0.397940008672037609572522210551
3/5,0.6,2,6.25,0.795880017344075219145044421102
3/5,0.6,3,13.42830085889910643300633271578636779464,1.12802106298228848470525199853
3/5,0.6,4,27.71759310508060914974692192800612475994,1.44275551502469791886117138885
3/5,0.6,5,56.40419980602151867595751902613994335799,1.75131144236407969089463110884
3/5,0.6,6,114.1271040033723019064835612756098942027,2.05738879710210657973558301529
3/5,0.6,7,230.3608804258765965874366407212278075037,2.36240872970927192846526128414
3/5,0.6,8,464.4740030344615355407205229080464691217,2.66696141121526199081012766663
3/5,0.6,9,936.0585403433830139298824330967494006228,2.97130301001277732168003131384
3/5,0.6,10,1886.026574781673401245881723467225199278,3.27554780780731582176351028467
3/5,0.6,11,3799.686181067082673629598165400045037674,3.57974772939079238700111206332
3/5,0.6,12,7654.673575414125171876613954125309660425,3.88392667544981891541654016918
3/5,0.6,13,15420.40407849234139672726508419030627219,4.18809575417928247958116936881
3/5,0.6,14,31064.19952484117829381406608336824308171,4.49226016701324363363020839495
3/5,0.6,15,62578.09872487800406846443085135700338488,4.79642236408602099128532166895
3/5,0.6,16,126061.8003361178049914529268619165886571,5.10058350515718604054578682494
3/5,0.6,17,253947.6167529456208495254083446843587562,5.40474414141781005636026560509
3/5,0.6,18,511569.3727551015937048126900525535075695,5.70890453572527409364965350665
3/5,0.6,19,1030539.906011231383997186417249935834967,6.01306481380073516860553531303
3/5,0.6,20,2075988.942313418569974619945911133247314,6.31722503592735736482271481968
3/5,0.6,21,4182011.580280299004921717084123713812442,6.62138523107487868221330116808
3/5,0.6,22,8424524.801840845596623043545981575906469,6.92554541319219563637577313379
3/5,0.6,23,16970927.92415641179088451246977192211609,7.22970558900732171944290674429
3/5,0.6,24,34187375.47308991775565580158803909836472,7.53386576177042322172681689993
3/5,0.6,25,68869341.91100277876299241147095928253031,7.83802593305377361911200359546
3/5,0.6,26,138735020.8015928105004117671285417884543,8.14218610361891896925884072312
3/5,0.6,27,279477129.4058143640843213284544324278069,8.44634627383514253057837143904
3/5,0.6,28,562997470.8556313087962795339752952261085,8.75050644388170075295498478015
3/5,0.6,29,1134139858.969731392218859228673242222475,9.0546666138456907069573122191
3/5,0.6,30,2284687385.2380412658502050412737781625,9.35882678376946814085070024917
3/5,0.6,31,4602427475.542588486330415697509333751246,9.66298695367364749689954215381
3/5,0.6,32,9271438536.41760966528388563784658942796,9.96714712356826926554249503338
3/5,0.6,33,18677007511.8918549785749025458115518813,10.2713072934582271643519452597
3/5,0.6,34,37624216374.54120237793584797687529402486,10.5754674633459079189360382829
3/5,0.6,35,75792744469.01368516039072932137952570933,10.8796276332324762634242604111
3/5,0.6,36,152681986966.9129576337030665451625029804,11.183787803118500912936561543
3/5,0.6,37,307572833091.9703847119817006125156201976,11.4879479730042597050437924219
3/5,0.6,38,619595340193.557475350764787340852122657,11.7921081428898884402480677793
3/5,0.6,39,1248154402098.057584370796411980574431551,12.0962683127754535254498088885
3/5,0.6,40,2514365926299.532060210569968778242012697,12.4004284826609874480380303338
3/5,0.6,41,5065107330238.145904846150288451709418256,12.7045886525465061079528383569
3/5,0.6,42,10203491861898.3398326649044901224828055,13.0087488224320172899580119441
3/5,0.6,43,20554598232162.19540111656418510450329825,13.3129089923175248069554637418
3/5,0.6,44,41406561028706.47816647001890095500123469,13.6170691622030305271210087029
3/5,0.6,45,83412153176571.10083307533264335470696835,13.9212293320885353660932221977
3/5,0.6,46,168031034809391.0583405991242223239009212,14.2253895019740397727906149675
3/5,0.6,47,338492984341822.430627217605902156530722,14.5295496718595439673747152042
3/5,0.6,48,681882966313968.1802067959567481590039767,14.8337098417450480578494850245
3/5,0.6,49,1373630773037229.036485775350758466867231,15.1378700116305520972125681232
3/5,0.6,50,2767133942111208.732106771305924768924088,15.4420301815160561114767412353
3/5,0.6,51,5574300171401585.392929062091038599552211,15.7461903514015601134130118435
3/5,0.6,52,11229244066581202.68961802333337552417335,16.0503505212870641092928194111
3/5,0.6,53,22620942258146095.30724545995355960004649,16.3545106911725681021965742532
3/5,0.6,54,45569142999504812.38248337898669507530726,16.6586708610580720936376461701
3/5,0.6,55,91797537432885977.90194471030775744894013,16.9628310309435760843596924971
3/5,0.6,56,184923115162242001.431133670326339512324,17.2669912008290800747282140534
3/5,0.6,57,372521523753393007.5932516835626537591321,17.5711513707145840649228860313
3/5,0.6,58,750432337989753775.7708289553746625808058,17.8753115406000880550320507793
3/5,0.6,59,1511721224123331655.800178664324019328865,18.1794717104855920450991520951
3/5,0.6,60,3045312606845771743.71762944995385934626,18.4836318803710960351455578757
3/5,0.6,61,6134681927742247179.315764410053564637085,18.7877920502566000251817797063
3/5,0.6,62,12358114654622485039.30582910085547492298,19.0919522201421040152129894203
3/5,0.6,63,24895014870477859107.61954525430748129075,19.3961123900276080052417320204
3/5,0.6,64,50150187364501853465.77991847299073311286,19.7002725599131119952692600626
4/5,0.8,1,5.0,0.698970004336018804786261105276
4/5,0.8,2,25.0,1.39794000867203760957252221055
4/5,0.8,3,113.2842712474619009760337744841939615714,2.05416961520650969989870615738
4/5,0.8,4,505.91518613107275367881912270366913991,2.70407771588601354552080797947
4/5,0.8,5,2253.498979109496406005742394008698041567,3.35285736566095116650712474138
4/5,0.8,6,10032.7637640443102806271099160032998924,4.00142058627412089831598836567
4/5,0.8,7,44662.26212123126649893299661918221108499,4.64994071609072598404520765733
4/5,0.8,8,198816.3362171492480321079501933833883886,5.29845206636651315927204530824
4/5,0.8,9,885037.3510571454644670783690663116912736,5.94696159952913992166326793543
4/5,0.8,10,3939768.942446915096942006054983193183365,6.59547075229186862266316869613
4/5,0.8,11,17537990.26730962046740072848293104456018,7.24397982472985307887623315375
4/5,0.8,12,78070845.02045746746438648711207055036853,7.89248888009141587937449632326
4/5,0.8,13,347534506.4104685016228038870612185716028,8.54099793180285565135909393094
4/5,0.8,14,1547059377.881233636800044100314479513154,9.1895069827305790107534070708
4/5,0.8,15,6886777208.052694850798028596412000326024,9.83801603348940133115915908706
4/5,0.8,16,30656677427.80542074647445016879071565028,10.4865250842117078274295479096
4/5,0.8,17,136469039508.9941481511757063438413274325,11.1350341349260982317657034172
4/5,0.8,18,607495668383.8793394680579576445181942299,11.7835431856387684896311415447
4/5,0.8,19,2704283612112.147096373897287116336958874,12.4320522363510641906070779828
4/5,0.8,20,12038192591878.25573904800228835433576601,13.0805612870632781838772738195
4/5,0.8,21,53588344147809.29501696221153630058634387,13.7290703377754743240511786091
4/5,0.8,22,238549982199276.5620498450197930217830679,14.3775793884876665576556778419
4/5,0.8,23,1061911781605242.749336370304019771877768,15.0260884391998579353145643177
4/5,0.8,24,4727129390309550.274197164196632149324437,15.6745974899120491252098050268
4/5,0.8,25,21042945995899303.32218378964955789952128,16.3231065406242402738720434585
4/5,0.8,26,93673250640033344.39034394902745753995571,16.9716155913364314134705727343
4/5,0.8,27,416989041704543313.5731585052472681060304,17.620124642048622551074946563
4/5,0.8,28,1856238143905747429.829976387299745969487,18.2686336927608136882402108888
4/5,0.8,29,8263094955219568955.726704262433338934756,18.9171427434730048253087098873
4/5,0.8,30,36783393587262701820.4127079695449183352,19.5656517941851959623558698301
4/5,0.8,31,163742284353251285260.4843875496496078132,20.214160844897387099398320898
4/5,0.8,32,728903265045812926425.0388438822726749999,20.8626698956095782364397322231
4/5,0.8,33,3244732855004273404085.828399096470946046,21.5111789463217693734809138363
4/5,0.8,34,14444017203959788047912.9689903075649491,22.1596879970339605105220446716
4/5,0.8,35,64297938323804337441564.17928534604522966,22.8081970477461516475631642768
4/5,0.8,36,286224034097547323711430.3453844302097524,23.4567060984583427846042813971
4/5,0.8,37,1274134129814610466830062.277859856183004,24.1052151491705339216453979674
4/5,0.8,38,5671842987878374787150897.377982229754303,24.7537241998827250586865144159
4/5,0.8,39,25248364458948974565997543.66938305166282,25.4022332505949161957276308374
4/5,0.8,40,112393786149283944764865278.6878408055414,26.0507423013071073327687472529
4/5,0.8,41,500324018433343890869105081.5696329406434,26.6992513520192984698098636671
4/5,0.8,42,2227206076044123370507440773.582170457484,27.347760402731489606850980081
4/5,0.8,43,9914468868994985841728243054.45895283931,27.9962694534436807438920964948
4/5,0.8,44,44134529809141625886027994875.17944077507,28.6447785041558718809332129086
4/5,0.8,45,196466068653001070028528345565.2029764072,29.2932875548680630179743293224
4/5,0.8,46,874574087429627505992136515597.1998290924,29.9417966055802541550154457362
4/5,0.8,47,3893190511967227677460240492666.58215827,30.59030565629244529205656215
4/5,0.8,48,17330644230516657070438907131336.17000633,31.2388147070046364290976785638
4/5,0.8,49,77147837620967829603969759161988.25340371,31.8873237577168275661387949776
4/5,0.8,50,343425712883253034381345540396031.0552846,32.5358328084290187031799113914
4/5,0.8,51,1528768970153423741941287369245311.53863,33.1843418591412098402210278052
4/5,0.8,52,6805356956188264757253562250506771.162238,33.832850909853400977262144219
4/5,0.8,53,30294232945146806001066568384252012.80896,34.4813599605655921143032606328
4/5,0.8,54,134855607963414162623033599254056320.2784,35.1298690112777832513443770466
4/5,0.8,55,600313433652905572831216683434697137.4281,35.7783780619899743883854934604
4/5,0.8,56,2672311697426110913467987599798140761.26,36.4268871127021655254266098743
4/5,0.8,57,11895868737679143643687085234189220694.17,37.0753961634143566624677262881
4/5,0.8,58,52954785611420900942086531996728852770.42,37.7239052141265477995088427019
4/5,0.8,59,235729679016166145553886629246914367332.0,38.3724142648387389365499591157
4/5,0.8,60,1049357124714335881102993565494238561541.0,39.0209233155509300735910755295
4/5,0.8,61,4671241991184412082841074475062304233564.0,39.6694323662631212106321919433
4/5,0.8,62,2.079416170747843056140939613227207307377e+40,40.3179414169753123476733083571
4/5,0.8,63,9.256578056388088124091992201894274867087e+40,40.9664504676875034847144247709
4/5,0.8,64,4.12059108317840583470919412024859799559e+41,41.6149595183996946217555411847
