schemaVersion,evidenceClass,diagnosticOnly,N,dimension,epsilon,absoluteLambda,topEigenvalueFastReal,topEigenvalueFastImag,topPhysicalGrowthRateReal,topClusterDimensionAtRealTolerance,topRealGapBelowCluster,topEigenResidualRelative,physicalPositiveRowL2,physicalPositiveRowH3,physicalH3ToL2Cost,kineticBoundaryMassFraction,kineticOuterThreeMassFraction,h3OuterThreeContributionFraction,kz2ProjectedLeakagePositiveUnitRowKernelA,kz2ProjectedLeakagePositiveUnitRowKernelB,kz2ProjectedLeakageUnitRealPairKernelA,kz0ProjectedLeakageUnscaledRealPairKernelA,kz0ProjectedLeakageUnscaledRealPairKernelB,kz0ProjectedLeakageUnitRealPairKernelA,kz2KernelScaleOneDifference,kz0KernelScaleOneDifference,maximumKernelCoefficientScaleOneDifference,kernelCheckPass
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,24,49,0.01,100,0.15631640701491004,3.6558230290399631e-17,62.526562805964012,1,0.14833990013772291,1.2478090773680205e-16,1,50.052220340371179,50.052220340371179,1.1952779932773213e-32,2.5635067255353453e-30,7.5129042540538848e-24,1.3553770870185959,1.3553770870185959,0.67768854350929797,2.2180864257112125,2.2180864257112125,1.1090432128556063,3.2068228165041431e-16,2.5649296906206821e-16,4.002966042486721e-16,true
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,24,49,0.0050000000000000001,200,0.16320922558585133,-1.0835559617748297e-16,130.56738046868105,1,0.13895278247729617,2.227617726921125e-16,1,52.146168983105063,52.146168983105063,4.8866487119340267e-28,8.0347795729392166e-25,2.168230595787958e-18,1.3720180532807136,1.3720180532807134,0.68600902664035679,2.1682233007174792,2.1682233007174796,1.0841116503587396,2.4956805569705676e-16,2.4637644284061537e-16,3.3658125100481598e-16,true
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,24,49,0.002,500,0.16749174665800387,-5.6804925930826687e-17,334.98349331600775,1,0.13337106487396225,4.2692370003943222e-16,1,54.503672042678957,54.503672042678957,2.8419851822247783e-21,6.8605948735183583e-19,1.7182799146795387e-12,1.3840958874458043,1.3840958874458043,0.69204794372290213,2.1360533588352482,2.1360533588352482,1.0680266794176241,1.4264091076764155e-16,2.1905231859635327e-16,1.717244810982484e-16,true
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,24,49,0.001,1000,0.16894375143319693,5.2041704279304213e-17,675.77500573278769,1,0.1316175451399676,5.8425003269191169e-16,1,56.02685887396872,56.026858873968706,1.9474377977029696e-17,1.237731205728934e-15,3.0014758883383327e-09,1.3887299489224529,1.3887299489224529,0.69436497446122647,2.1250488579259228,2.1250488579259228,1.0625244289629614,2.1757964423292927e-16,2.5742052624766241e-16,2.5944802412200241e-16,true
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,24,49,0.00050000000000000001,2000,0.16967433830975809,-1.3877787807814457e-16,1357.3947064780648,1,0.1307424545108028,7.1256752526715722e-16,1,57.248973864237634,57.248973864237634,8.8537254866052566e-15,1.8529768398607626e-13,4.4692789140523466e-07,1.3912282521797035,1.3912282521797037,0.69561412608985174,2.119521096228465,2.119521096228465,1.0597605481142325,1.5406477653347279e-16,2.6724375609532996e-16,3.4721030159205494e-16,true
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,24,49,0.00020000000000000001,5000,0.17011415551754275,6.379813097959082e-17,3402.2831103508547,1,0.13021809127430292,6.7185125702230709e-16,1.0000000000000002,58.34277696017584,58.342776960175826,8.9793378996437154e-13,7.0271231792954971e-12,1.7352595521439615e-05,1.3928059538616344,1.392805953861634,0.69640297693081721,2.1162062111667388,2.1162062111667388,1.0581031055833694,5.1197177821030465e-16,2.5939103963202777e-16,4.9650683064945462e-16,true
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,24,49,0.0001,10000,0.17026100524766311,-1.1172101295637101e-16,6810.4402099065237,1,0.13004708680364799,6.3049270246345673e-16,1,58.827091765451591,58.827091765451577,5.2053905285077795e-12,2.7114829590603519e-11,6.8395988197156006e-05,1.3933481345440168,1.3933481345440168,0.69667406727200842,2.1151032645273333,2.1151032645273333,1.0575516322636667,1.3223003163764654e-16,3.3610207270511966e-16,3.2648750870057733e-16,true
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,48,97,0.01,100,0.15631640701490782,8.6822159301326001e-18,62.526562805963124,1,0.1483399001377195,9.3231199025698019e-17,1,50.052220340371235,50.052220340371235,2.0556773367158063e-42,6.0685239971197989e-39,1.4745354514093755e-30,1.3553770870186019,1.3553770870186019,0.67768854350930097,2.2180864257111907,2.2180864257111907,1.1090432128555954,3.1136028679182279e-16,2.0013441023517943e-16,3.1401849173675503e-16,true
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,48,97,0.0050000000000000001,200,0.1632092255858523,2.225407168991623e-16,130.56738046868185,1,0.13895278247729526,1.5525747542691919e-16,1,52.146168983104559,52.146168983104559,5.7940934605044726e-33,1.0839418236336468e-32,2.9493023159472564e-24,1.3720180532807154,1.3720180532807149,0.68600902664035768,2.1682233007174618,2.1682233007174618,1.0841116503587309,1.5990877232493034e-16,2.7376863557014474e-16,3.1554492281701913e-16,true
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,48,97,0.002,500,0.16749174665800315,-1.04180291259283e-16,334.98349331600627,1,0.13337106487396086,1.9299626854565269e-16,1,54.503672042678922,54.503672042678922,2.4512544605575213e-33,8.9411068729733196e-32,2.0529064725366599e-23,1.3840958874458054,1.3840958874458054,0.69204794372290268,2.1360533588352419,2.1360533588352419,1.068026679417621,2.8878556757538494e-16,1.4896069100615667e-16,3.7238012298709097e-16,true
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,48,97,0.001,1000,0.16894375143319584,1.8785615204518334e-16,675.77500573278337,1,0.1316175451401557,2.4807522859264168e-16,1.0000000000000002,56.026858873994158,56.026858873994144,6.9159535919153637e-32,1.7261716439317359e-31,3.9801892358036868e-23,1.3887299489224481,1.3887299489224483,0.69436497446122403,2.1250488579259104,2.1250488579259108,1.0625244289629552,2.4860556090638118e-16,3.3720140186791971e-16,3.4593069882933737e-16,true
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,48,97,0.00050000000000000001,2000,0.16967433830975909,8.2271848496266345e-17,1357.3947064780727,1,0.13074245473838617,3.7943318716310093e-16,0.99999999999999989,57.248973887897499,57.248973887897506,6.3139196836957998e-33,4.0817592782840524e-32,8.3694223987920726e-24,1.3912282521784738,1.391228252178474,0.69561412608923689,2.11952109622611,2.11952109622611,1.059760548113055,1.888152336810626e-16,3.4418852830972115e-16,3.4721030159205484e-16,true
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,48,97,0.00020000000000000001,5000,0.17011415551755171,-9.6760566127304509e-17,3402.2831103510339,1,0.13021795024067201,4.0045714190542535e-16,1.0000000000000002,58.342782205267518,58.342782205267511,1.8238459037123576e-28,7.2190891869324594e-27,1.3207040526749366e-18,1.3928059537932784,1.3928059537932787,0.69640297689663921,2.1162062110331745,2.1162062110331745,1.0581031055165873,1.8863396033392795e-16,4.5619302701237379e-16,3.4799093506423915e-16,true
r073g-nonlinear-row-leakage-v1,finite-binary64-diagnostic-only,true,48,97,0.0001,10000,0.17026100524771026,1.0479753916231471e-16,6810.44020990841,1,0.13004323778482255,6.1176900951532826e-16,1,58.827138333112096,58.827138333112089,4.1766603139243039e-24,6.0557506101137487e-23,1.1115178448534626e-14,1.3933481342659642,1.3933481342659642,0.69667406713298208,2.1151032639286891,2.1151032639286891,1.0575516319643445,2.1713424559507914e-16,3.7176536814863607e-16,3.4825334261369327e-16,true
