baseChargeGroup,legacyExact,legacyDecimal,commonExact,commonDecimal,reductionExact,reductionDecimal
q=-1,7357410687659008049102628338415034282965199865271699532705376953762364230144367057940890536110851164951157397317194252940782198562030442102424772620718645542219908741519518015367669925509337958423611828232291933536581710764997896146436258676383325527817204064281038103359/19040182541887234684106493734885450752094404933650549322874222939327725958149658395844307515867136000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.38641492388390474844,7357410687659008049102628338415034282965199865271699532705376953762364230144367057940890536110851164951157397317194252940782198562030442102424772620718645542219908741519518015367669925509337958423611828232291933536581710764997896146436258676383325527817204064281038103359/19040182541887234684106493734885450752094404933650549322874222939327725958149658395844307515867136000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.38641492388390474844,0,0
q=0,120425592492846141851299331164977996411183923461068278704565401134976194669553189715484508115949123467001824558471562298127733258761596435590659300378394634210003036816032010926095714322641581749048385362596696867986520804538508482698031169637972594419/2141590887119172502439769753706288392654144455927399881278411484143353647626977280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.056231838311023248089,120425592492846141851299331164977996411183923461068278704565401134976194669553189715484508115949123467001824558471562298127733258761596435590659300378394634210003036816032010926095714322641581749048385362596696867986520804538508482698031169637972594419/2141590887119172502439769753706288392654144455927399881278411484143353647626977280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.056231838311023248089,0,0
q=1,2355365168547946332502773464992846898858856598784174464468512529781265861705126860679982789439714186184377158061471642937040012375876297519587023926985742633097208637627888327575478440432958205133860487928133846319655139099920764824587119560664401705512713333243898811000903648000949276279/5261731391475589830117089739633703816818595385820292769961956768174831923779908757712845823147781143898829619200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.44764070860094062887,2355365168547946332502773464992846898858856598784174464468512529781265861705126860679982789439714186184377158061471642937040012375876297519587023926985742633097208637627888327575478440432958205133860487928133846319655139099920764824587119560664401705512713333243898811000903648000949276279/5261731391475589830117089739633703816818595385820292769961956768174831923779908757712845823147781143898829619200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.44764070860094062887,0,0
q=2,217581702551372580203329646384331015814033427395434792983097437261837144661855037189267370099554186404866714500506230703680750786328748691655494828836397316328307262824495608766254248068728220781250693401894436416617553928882773164574343538447284738197843604295250807001183/749308991461534820153636155966178317061930604543926053196083572131288461487152650230494979890662604800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.29037647356530082998,31224634371903259091841293324753664672570355830074891929261556016623033634141149412933797690383332516866714500506230703680750786328748691655494828836397316328307262824495608766254248068728220781250693401894436416617553928882773164574343538447284738197843604295250807001183/749308991461534820153636155966178317061930604543926053196083572131288461487152650230494979890662604800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.041671239405521198762,2257/9075,0.24870523415977960346
q>=3,3570491011186535220058346830590684227522833158479522355763385177082367738275758205868688089216293582085807516423257621994937748865673537108469952574713427803099542806593266818679948187854264285158884652571001124091409257300811653383844579127574186166724114380332895659781559258043818534771224382848516970149127918771787009105073123130910380178270542675433478780754671379244087621969062117847297535991396223/102844934124057556646411428077653539196369248945437188196989025997563302742465879817370182249028679301323222509895487797383893407391075211396500067518836156505419785120590181341752819021621884392896755632147155326708219904000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.034717227849838480647,130477065550967240207991797288697336060164033678252278646906124500938802579387416816362072413190567958349912003774168396796497488677039863205011176182886362215628920357969679966748277964058491372305487898372198281296180916144896160716844647988301879140212205323121216274674615441997977479359950598471793011047500110947288954038075067680033123252697824077907173571330347240751221304098512515877792606545683/3809071634224353949867089928801982933198861072053229192481075036946788990461699252495191935149210344493452685551684733236440496570039822644314817315512450240941473522984821531176030334134143866403583541931376123211415552000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.034254295555545898055,22764269940710749616565908847685359267417972621196450827284001383263095787458988578673383898101240582047010690859374462181819024442161452858285998192397041701082388418388741367333740782542326269306728127310851198841553912890630235965821556898928028712376430760642550831025348543482902656107648339846478871960077274866387822609379493206846292205345691607617454301355140770454817747339534426706276717/49174080575858787004977144080054440418910767452488464056441823502764739200756739508153776023396577918494296534500765402206843211534543665672697295325261162136349580682738249680724636936178072201193220208481192116224000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00046293229429258503068
