replicate,index,leftZone,rightZone,leftRole,rightRole,pairClass,c0,c1,c2,c3
0,-2,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
0,0,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
0,-2,0,1,inner-core,inner-transition,inner-core--inner-transition,0.0033246230277200212,-0.006649246055440044,0.0033246230277200195,0.0
0,0,0,1,inner-core,inner-transition,inner-core--inner-transition,0.0,0.0,0.0,0.0
0,-2,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
0,0,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
0,-2,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,1.551823730282569e-05,-1.4902691274794812e-05,6.776263578034403e-21
0,0,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0018828873628736744,0.00040119294120770366,3.469446951953614e-18
0,-2,1,1,inner-transition,inner-transition,inner-transition--inner-transition,-0.005137718796295028,0.010157267629157144,-0.0049013788694292,-0.00011816996343291808
0,0,1,1,inner-transition,inner-transition,inner-transition--inner-transition,0.0,0.0,0.0,0.0
0,-2,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,0.0024672794778064907,-0.0049345589556129815,0.0024672794778064907
0,0,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,-6.0011752456092584e-05,0.00012002350491218513,-6.001175245609255e-05
0,-2,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,-0.0001016017190534433,0.0006869233499110158,0.0018778204636325253
0,0,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,-0.0038475115381763,0.004226774827060284,0.018673569840067808
0,-2,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
0,0,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
0,-2,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,1.5543122344752192e-15,-2.6645352591003757e-15,1.0704751201058924
0,0,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,2.7755575615628914e-16,-4.440892098500626e-16,0.19151340847063647
0,-2,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,-3.885780586188048e-16,1.1102230246251565e-15,-0.2482846550911243
0,0,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,-4.996003610813204e-16,8.881784197001252e-16,-0.33937392649998177
1,-2,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
1,0,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
1,-2,0,1,inner-core,inner-transition,inner-core--inner-transition,0.0033215690202629215,-0.006643138040525846,0.0033215690202629197,-3.469446951953614e-18
1,0,0,1,inner-core,inner-transition,inner-core--inner-transition,0.0,0.0,0.0,0.0
1,-2,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
1,0,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
1,-2,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,1.5670964992816314e-05,-1.4991445512924667e-05,-6.776263578034403e-21
1,0,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0018825926480168518,0.00039915065548698503,3.469446951953614e-18
1,-2,1,1,inner-transition,inner-transition,inner-transition--inner-transition,-0.005565673713370854,0.011622821664986936,-0.006548622189861304,0.0004914742382452278
1,0,1,1,inner-transition,inner-transition,inner-transition--inner-transition,0.0,0.0,0.0,0.0
1,-2,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,0.001022345468966702,-0.0020446909379334055,0.0010223454689667036
1,0,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,-6.21549448748617e-05,0.0001243098897497234,-6.215494487486168e-05
1,-2,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,-0.00015884680131216357,0.0011516792749082534,0.0014796455715331384
1,0,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,-0.0034711336723244543,0.0036258753398724364,0.018918097436442724
1,-2,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
1,0,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
1,-2,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,1.1102230246251565e-15,-8.881784197001252e-16,1.0825576327665498
1,0,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,2.220446049250313e-16,-4.440892098500626e-16,0.19158174453939536
1,-2,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,3.3306690738754696e-16,0.0,0.36918783026869817
1,0,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,-3.3306690738754696e-16,4.440892098500626e-16,-0.3689852597807506
2,-2,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
2,0,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
