panel,row_role,series,x_exact,exact_value,numeric_value,context
A,normalized-eigenvalue,periodic shear,1,0,0,ascending normalized eigenvalue
A,normalized-eigenvalue,periodic shear,2,0,0,ascending normalized eigenvalue
A,normalized-eigenvalue,periodic shear,3,1,1,ascending normalized eigenvalue
A,normalized-eigenvalue,one-axis helical,1,0,0,ascending normalized eigenvalue
A,normalized-eigenvalue,one-axis helical,2,1/2,0.5,ascending normalized eigenvalue
A,normalized-eigenvalue,one-axis helical,3,1/2,0.5,ascending normalized eigenvalue
A,normalized-eigenvalue,balanced two-axis,1,1/4,0.25,ascending normalized eigenvalue
A,normalized-eigenvalue,balanced two-axis,2,1/4,0.25,ascending normalized eigenvalue
A,normalized-eigenvalue,balanced two-axis,3,1/2,0.5,ascending normalized eigenvalue
B,two-axis-frame-constant,theta=15deg,1/100,1/4 - sqrt(99*sqrt(3) + 9802)/400,0.00033180731782583991,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,1/50,1/4 - sqrt(49*sqrt(3) + 2402)/200,0.00065733971245138191,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,3/100,1/4 - sqrt(291*sqrt(3) + 9418)/400,0.00097657257545848402,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,1/25,1/4 - sqrt(24*sqrt(3) + 577)/100,0.0012894816495182778,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,1/20,1/4 - sqrt(19*sqrt(3) + 362)/80,0.0015960430368104936,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,3/50,1/4 - sqrt(141*sqrt(3) + 2218)/200,0.0018962332073930554,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,7/100,1/4 - sqrt(651*sqrt(3) + 8698)/400,0.0021900290075157823,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,2/25,1/4 - sqrt(46*sqrt(3) + 533)/100,0.0024774076678719908,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,9/100,1/4 - sqrt(819*sqrt(3) + 8362)/400,0.0027583468117817517,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,1/10,1/4 - sqrt(9*sqrt(3) + 82)/40,0.0030328244633005185,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,11/100,1/4 - sqrt(979*sqrt(3) + 8042)/400,0.0033008190552468253,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,3/25,1/4 - sqrt(66*sqrt(3) + 493)/100,0.0035623094371427322,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,13/100,1/4 - sqrt(1131*sqrt(3) + 7738)/400,0.0038172748830606891,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,7/50,1/4 - sqrt(301*sqrt(3) + 1898)/200,0.0040656950993704869,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,3/20,1/4 - sqrt(51*sqrt(3) + 298)/80,0.0043075502323799714,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,4/25,1/4 - sqrt(84*sqrt(3) + 457)/100,0.0045428208758632191,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,17/100,1/4 - sqrt(1411*sqrt(3) + 7178)/400,0.0047714880784698877,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,9/50,1/4 - sqrt(369*sqrt(3) + 1762)/200,0.0049935333510095024,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,19/100,1/4 - sqrt(1539*sqrt(3) + 6922)/400,0.005208938673604468,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,1/5,1/4 - sqrt(4*sqrt(3) + 17)/20,0.005417686502705652,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,21/100,1/4 - sqrt(1659*sqrt(3) + 6682)/400,0.0056197597779644613,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,11/50,1/4 - sqrt(429*sqrt(3) + 1642)/200,0.0058151419289553721,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,23/100,1/4 - sqrt(1771*sqrt(3) + 6458)/400,0.0060038168817429828,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,6/25,1/4 - sqrt(114*sqrt(3) + 397)/100,0.0061857690652877394,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,1/4,1/4 - sqrt(3*sqrt(3) + 10)/16,0.0063609834176845542,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,13/50,1/4 - sqrt(481*sqrt(3) + 1538)/200,0.006529445392228694,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,27/100,1/4 - sqrt(1971*sqrt(3) + 6058)/400,0.0066911409633033788,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,7/25,1/4 - sqrt(126*sqrt(3) + 373)/100,0.0068460566320836863,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,29/100,1/4 - sqrt(2059*sqrt(3) + 5882)/400,0.0069941794320514845,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,3/10,1/4 - sqrt(21*sqrt(3) + 58)/40,0.007135496934316244,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,31/100,1/4 - sqrt(2139*sqrt(3) + 5722)/400,0.0072699972527367433,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,8/25,1/4 - sqrt(136*sqrt(3) + 353)/100,0.007397669048838834,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,33/100,1/4 - sqrt(2211*sqrt(3) + 5578)/400,0.0075185015365245994,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,17/50,1/4 - sqrt(561*sqrt(3) + 1378)/200,0.0076324844865684064,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,7/20,1/4 - sqrt(91*sqrt(3) + 218)/80,0.0077396082308955443,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,9/25,1/4 - sqrt(144*sqrt(3) + 337)/100,0.0078398636666393157,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,37/100,1/4 - sqrt(2331*sqrt(3) + 5338)/400,0.0079332422599726702,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,19/50,1/4 - sqrt(589*sqrt(3) + 1322)/200,0.0080197360497106206,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,39/100,1/4 - sqrt(2379*sqrt(3) + 5242)/400,0.008099337650679956,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,2/5,1/4 - sqrt(6*sqrt(3) + 13)/20,0.0081720402568529315,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,41/100,1/4 - sqrt(2419*sqrt(3) + 5162)/400,0.0082378376442418487,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,21/50,1/4 - sqrt(609*sqrt(3) + 1282)/200,0.0082967241735516801,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,43/100,1/4 - sqrt(2451*sqrt(3) + 5098)/400,0.0083486947925880978,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=15deg,11/25,1/4 - sqrt(154*sqrt(3) + 317)/100,0.0083937450384185316,r=alpha/(alpha+beta)
