kind,index,tau,k,theta,stretch_norm,commutator_norm,combined_norm,q_profile,bulk_area,bottom_coefficient,normalized_bulk,trace_ratio,trace_ratio_over_k2,finite_box
decomposition,0,0,,,2,0,2,,,,,,,
decomposition,1,0.0062500000000000003,,,1.9506198240566652,-0.024535776931097653,1.9260840471255676,,,,,,,
decomposition,2,0.012500000000000001,,,1.902458849001428,-0.048160975055237198,1.8542978739461908,,,,,,,
decomposition,3,0.018749999999999999,,,1.8554869726571057,-0.070901862784537917,1.7845851098725678,,,,,,,
decomposition,4,0.025000000000000001,,,1.809674836071919,-0.092784012929508997,1.71689082314241,,,,,,,
decomposition,5,0.03125,,,1.7649938051691909,-0.11383232045776071,1.6511614847114302,,,,,,,
decomposition,6,0.037499999999999999,,,1.7214159528501156,-0.1340710198069901,1.5873449330431255,,,,,,,
decomposition,7,0.043749999999999997,,,1.6789140415384147,-0.15352370176334063,1.5253903397750741,,,,,,,
decomposition,8,0.050000000000000003,,,1.6374615061559636,-0.17221332991595539,1.4652481762400082,,,,,,,
decomposition,9,0.056250000000000001,,,1.5970324375187541,-0.19016225669827724,1.4068701808204769,,,,,,,
decomposition,10,0.0625,,,1.5576015661428098,-0.20739223902638115,1.3502093271164286,,,,,,,
decomposition,11,0.068750000000000006,,,1.519144246449937,-0.22392445354437873,1.2952197929055582,,,,,,,
decomposition,12,0.074999999999999997,,,1.4816364413634358,-0.23977951148667986,1.2418569298767559,,,,,,,
decomposition,13,0.081250000000000003,,,1.4450547072841444,-0.25497747316665187,1.1900772341174926,,,,,,,
decomposition,14,0.087499999999999994,,,1.4093761794374269,-0.26953786210098785,1.139838317336439,,,,,,,
decomposition,15,0.09375,,,1.3745785575819445,-0.28347967877885627,1.0910988788030882,,,,,,,
decomposition,16,0.10000000000000001,,,1.3406400920712787,-0.29682141408468499,1.0438186779865937,,,,,,,
decomposition,17,0.10625,,,1.3075395702596946,-0.30958106238321026,0.99795850787648432,,,,,,,
decomposition,18,0.1125,,,1.2752563032435467,-0.32177613427520746,0.9534801689683392,,,,,,,
decomposition,19,0.11874999999999999,,,1.2437701129300403,-0.33342366903211307,0.91034644389792718,,,,,,,
decomposition,20,0.125,,,1.2130613194252668,-0.34454024671754291,0.86852107270772394,,,,,,,
decomposition,21,0.13125000000000001,,,1.1831107287336302,-0.35514200000351082,0.8279687287301194,,,,,,,
decomposition,22,0.13750000000000001,,,1.1538996207609733,-0.36524462568896365,0.78865499507200965,,,,,,,
decomposition,23,0.14374999999999999,,,1.1254097376139114,-0.37486339592805229,0.7505463416858591,,,,,,,
decomposition,24,0.14999999999999999,,,1.0976232721880528,-0.38401316917538297,0.71361010301266981,,,,,,,
decomposition,25,0.15625,,,1.0705228570379806,-0.39270840085530301,0.67781445618267755,,,,,,,
decomposition,26,0.16250000000000001,,,1.0440915535220321,-0.40096315376211233,0.64312839975991976,,,,,,,
decomposition,27,0.16875000000000001,,,1.0183128412150984,-0.40879110819790654,0.60952173301719181,,,,,,,
decomposition,28,0.17499999999999999,,,0.99317060758281905,-0.41620557185460783,0.57696503572821123,,,,,,,
decomposition,29,0.18124999999999999,,,0.96864913791072493,-0.42321948944655907,0.54542964846416586,,,,,,,
decomposition,30,0.1875,,,0.94473310548202938,-0.42984545209991509,0.51488765338211429,,,,,,,
decomposition,31,0.19375000000000001,,,0.92140756199793161,-0.43609570650489715,0.48531185549303446,,,,,,,
decomposition,32,0.20000000000000001,,,0.89865792823444313,-0.44198216383683553,0.4566757643976076,,,,,,,
decomposition,33,0.20624999999999999,,,0.87646998492989847,-0.44751640845176954,0.42895357647812893,,,,,,,
decomposition,34,0.21249999999999999,,,0.85482986389745341,-0.45270970636224117,0.40212015753521224,,,,,,,
decomposition,35,0.21875,,,0.83372403935701678,-0.45757301349876733,0.37615102585824944,,,,,,,
decomposition,36,0.22500000000000001,,,0.81313931948119822,-0.46211698376234844,0.35102233571884978,,,,,,,
decomposition,37,0.23125000000000001,,,0.79306283814998568,-0.46635197687323438,0.32671086127675131,,,,,,,
decomposition,38,0.23749999999999999,,,0.77348204690900246,-0.47028806602103779,0.30319398088796468,,,,,,,
decomposition,39,0.24374999999999999,,,0.75438470712631389,-0.47393504532116171,0.28044966180515218,,,,,,,
decomposition,40,0.25,,,0.73575888234288467,-0.47730243708238218,0.25845644526050249,,,,,,,
decomposition,41,0.25624999999999998,,,0.71759293081190323,-0.48039949889030764,0.23719343192159559,,,,,,,
decomposition,42,0.26250000000000001,,,0.69987549822231065,-0.48323523051131956,0.2166402677109911,,,,,,,
decomposition,43,0.26874999999999999,,,0.68259551060198742,-0.48581838062148419,0.19677712998050323,,,,,,,
decomposition,44,0.27500000000000002,,,0.6657421673961591,-0.4881574533648142,0.1775847140313449,,,,,,,
decomposition,45,0.28125,,,0.64930493471669948,-0.49026071474514654,0.15904421997155294,,,,,,,
decomposition,46,0.28749999999999998,,,0.63327353875810655,-0.49213619885580484,0.14113733990230171,,,,,,,
decomposition,47,0.29375000000000001,,,0.61763795937603971,-0.493791713951103,0.12384624542493672,,,,,,,
decomposition,48,0.29999999999999999,,,0.60238842382440427,-0.49523484836364851,0.10715357546075577,,,,,,,
decomposition,49,0.30625000000000002,,,0.58751540064706553,-0.49647297627130871,0.091042424375756825,,,,,,,
decomposition,50,0.3125,,,0.57300959372038018,-0.49751326331760037,0.07549633040277981,,,,,,,
decomposition,51,0.31874999999999998,,,0.55886193644281468,-0.49836267208918006,0.060499264353634619,,,,,,,
decomposition,52,0.32500000000000001,,,0.54506358606802519,-0.4990279674540069,0.046035618614018281,,,,,,,
decomposition,53,0.33124999999999999,,,0.53160591817785319,-0.49951572176367498,0.032090196414178207,,,,,,,
decomposition,54,0.33750000000000002,,,0.51848052129178301,-0.49983231992331534,0.018648201368467676,,,,,,,
decomposition,55,0.34375,,,0.50567919160949293,-0.4999839643323889,0.0056952272771040313,,,,,,,
decomposition,56,0.34999999999999998,,,0.49319392788321298,-0.49997667969960607,-0.0067827518163930955,,,,,,,
decomposition,57,0.35625000000000001,,,0.48101692641668425,-0.49981631773512802,-0.01879939131844377,,,,,,,
decomposition,58,0.36249999999999999,,,0.4691405761875953,-0.49950856172312963,-0.030367985535534325,,,,,,,
decomposition,59,0.36875000000000002,,,0.45755745409044485,-0.4990589309777233,-0.041501476887278455,,,,,,,
decomposition,60,0.375,,,0.44626032029685964,-0.49847278518516974,-0.052212464888310106,,,,,,,
decomposition,61,0.38124999999999998,,,0.43524211373046578,-0.49775532863523092,-0.062513214904765135,,,,,,,
decomposition,62,0.38750000000000001,,,0.42449594765348608,-0.49691161434444553,-0.072415666690959446,,,,,,,
decomposition,63,0.39374999999999999,,,0.41401510536230529,-0.49594654807404176,-0.081931442711736469,,,,,,,
decomposition,64,0.40000000000000002,,,0.40379303598931077,-0.49486489224513236,-0.091071856255821593,,,,,,,
decomposition,65,0.40625,,,0.39382335040838812,-0.49367126975377162,-0.099847919345383507,,,,,,,
decomposition,66,0.41249999999999998,,,0.38409981724150827,-0.4923701676883902,-0.10827035044688194,,,,,,,
decomposition,67,0.41875000000000001,,,0.37461635896391404,-0.49096594095206042,-0.11634958198814638,,,,,,,
decomposition,68,0.42499999999999999,,,0.36536704810546933,-0.48946281579198408,-0.12409576768651476,,,,,,,
decomposition,69,0.43125000000000002,,,0.35634610354579682,-0.48786489323853416,-0.13151878969273734,,,,,,,
decomposition,70,0.4375,,,0.34754788690089028,-0.4861761524561265,-0.13862826555523622,,,,,,,
decomposition,71,0.44374999999999998,,,0.33896689899894022,-0.48440045400813675,-0.14543355500919652,,,,,,,
decomposition,72,0.45000000000000001,,,0.33059777644317306,-0.48254154303802516,-0.15194376659485209,,,,,,,
decomposition,73,0.45624999999999999,,,0.32243528825955353,-0.48060305236877982,-0.15816776410922628,,,,,,,
decomposition,74,0.46250000000000002,,,0.31447433262725522,-0.47858850552273047,-0.16411417289547525,,,,,,,
decomposition,75,0.46875,,,0.30670993368985694,-0.47650131966374104,-0.1697913859738841,,,,,,,
decomposition,76,0.47499999999999998,,,0.29913723844527013,-0.47434480846373234,-0.17520757001846221,,,,,,,
decomposition,77,0.48125000000000001,,,0.29175151371245472,-0.47212218489544305,-0.18037067118298833,,,,,,,
decomposition,78,0.48749999999999999,,,0.28454814317302718,-0.46983656395328671,-0.18528842078025953,,,,,,,
decomposition,79,0.49375000000000002,,,0.27752262448591047,-0.46749096530411538,-0.18996834081820491,,,,,,,
decomposition,80,0.5,,,0.2706705664732254,-0.46508831586965926,-0.19441774939643386,,,,,,,
decomposition,81,0.50624999999999998,,,0.26398768637566045,-0.46263145234236208,-0.19864376596670164,,,,,,,
decomposition,82,0.51249999999999996,,,0.25746980717560847,-0.46012312363629476,-0.20265331646068629,,,,,,,
decomposition,83,0.51875000000000004,,,0.25111285498639441,-0.45756599327478292,-0.20645313828838852,,,,,,,
decomposition,84,0.52500000000000002,,,0.24491285650596381,-0.45496264171634682,-0.21004978521038303,,,,,,,
decomposition,85,0.53125,,,0.23886593653343924,-0.45231556862050981,-0.21344963208707057,,,,,,,
decomposition,86,0.53749999999999998,,,0.23296831554699393,-0.44962719505499349,-0.21665887950799956,,,,,,,
decomposition,87,0.54374999999999996,,,0.22721630734152753,-0.4468998656457811,-0.21968355830425357,,,,,,,
decomposition,88,0.55000000000000004,,,0.22160631672466774,-0.44413585067149136,-0.22252953394682362,,,,,,,
decomposition,89,0.55625000000000002,,,0.21613483726965851,-0.4413373481034697,-0.22520251083381121,,,,,,,
decomposition,90,0.5625,,,0.21079844912372867,-0.43850648559297078,-0.22770803646924215,,,,,,,
decomposition,91,0.56874999999999998,,,0.20559381687057279,-0.43564532240676856,-0.23005150553619574,,,,,,,
decomposition,92,0.57499999999999996,,,0.2005176874456075,-0.43275585131249905,-0.23223816386689156,,,,,,,
decomposition,93,0.58125000000000004,,,0.19556688810270009,-0.42984000041500736,-0.23427311231230724,,,,,,,
decomposition,94,0.58750000000000002,,,0.19073832443109923,-0.42689963494494049,-0.23616131051384126,,,,,,,
decomposition,95,0.59375,,,0.18602897842132698,-0.42393655900079158,-0.23790758057946459,,,,,,,
decomposition,96,0.59999999999999998,,,0.18143590657882502,-0.42095251724557925,-0.23951661066675423,,,,,,,
decomposition,97,0.60624999999999996,,,0.17695623808417463,-0.41794919655930662,-0.24099295847513197,,,,,,,
decomposition,98,0.61250000000000004,,,0.17258717299874099,-0.41492822764832454,-0.24234105464958355,,,,,,,
decomposition,99,0.61875000000000002,,,0.16832598051462072,-0.41189118661268981,-0.24356520609806909,,,,,,,
decomposition,100,0.625,,,0.1641699972477976,-0.40883959647258261,-0.24466959922478498,,,,,,,
decomposition,101,0.63124999999999998,,,0.16011662557344108,-0.40577492865482467,-0.24565830308138359,,,,,,,
decomposition,102,0.63749999999999996,,,0.15616333200230634,-0.40269860444050831,-0.246535272438202,,,,,,,
decomposition,103,0.64375000000000004,,,0.15230764559722065,-0.39961199637472555,-0.2473043507775049,,,,,,,
decomposition,104,0.65000000000000002,,,0.14854715642866775,-0.3965164296393574,-0.24796927321068968,,,,,,,
decomposition,105,0.65625,,,0.14487951406850291,-0.39341318338986481,-0.24853366932136189,,,,,,,
decomposition,106,0.66249999999999998,,,0.14130242612085919,-0.39030349205699399,-0.2490010659361348,,,,,,,
decomposition,107,0.66874999999999996,,,0.13781365678932517,-0.38718854661428942,-0.24937488982496425,,,,,,,
decomposition,108,0.67500000000000004,,,0.13441102547949951,-0.3840694958122835,-0.24965847033278399,,,,,,,
decomposition,109,0.68125000000000002,,,0.13109240543604866,-0.38094744738021141,-0.24985504194416275,,,,,,,
decomposition,110,0.6875,,,0.12785572241341514,-0.37782346919607779,-0.24996774678266265,,,,,,,
decomposition,111,0.69374999999999998,,,0.12469895337934686,-0.37469859042588027,-0.24999963704653339,,,,,,,
decomposition,112,0.69999999999999996,,,0.12162012525043595,-0.37157380263277706,-0.24995367738234109,,,,,,,
decomposition,113,0.70625000000000004,,,0.11861731365887744,-0.36845006085696391,-0.24983274719808649,,,,,,,
decomposition,114,0.71250000000000002,,,0.11568864174967691,-0.36532828466700734,-0.24963964291733043,,,,,,,
decomposition,115,0.71875,,,0.1128322790075547,-0.36220935918336156,-0.24937708017580687,,,,,,,
decomposition,116,0.72499999999999998,,,0.11004644011281446,-0.35909413607478086,-0.24904769596196638,,,,,,,
decomposition,117,0.73124999999999996,,,0.10732938382546027,-0.35598343452831738,-0.24865405070285709,,,,,,,
decomposition,118,0.73750000000000004,,,0.10467941189686476,-0.3528780421935801,-0.24819863029671532,,,,,,,
decomposition,119,0.74375000000000002,,,0.10209486800830879,-0.34977871610191286,-0.24768384809360408,,,,,,,
decomposition,120,0.75,,,0.099574136735727889,-0.34668618356113173,-0.24711204682540386,,,,,,,
decomposition,121,0.75624999999999998,,,0.097115642540019947,-0.34360114302644773,-0.24648550048642781,,,,,,,
decomposition,122,0.76249999999999996,,,0.094717848782281858,-0.34052426494818394,-0.24580641616590207,,,,,,,
decomposition,123,0.76875000000000004,,,0.092379256763360201,-0.33745619259688087,-0.24507693583352069,,,,,,,
decomposition,124,0.77500000000000002,,,0.090098404787115602,-0.33439754286637047,-0.24429913807925488,,,,,,,
decomposition,125,0.78125,,,0.087873867246814841,-0.33134890705538078,-0.24347503980856594,,,,,,,
decomposition,126,0.78749999999999998,,,0.085704253734080374,-0.32831085162822493,-0.24260659789414454,,,,,,,
decomposition,127,0.79374999999999996,,,0.083588208169839834,-0.32528391895510822,-0.24169571078526836,,,,,,,
decomposition,128,0.80000000000000004,,,0.081524407956732423,-0.32226862803257833,-0.24074422007584592,,,,,,,
decomposition,129,0.80625000000000002,,,0.079511563152442608,-0.31926547518462767,-0.23975391203218507,,,,,,,
decomposition,130,0.8125,,,0.077548415663444017,-0.31627493474494411,-0.23872651908150008,,,,,,,
decomposition,131,0.81874999999999998,,,0.075633738458650165,-0.31329745972079692,-0.23766372126214677,,,,,,,
decomposition,132,0.82499999999999996,,,0.07376633480248003,-0.31033348243902825,-0.23656714763654821,,,,,,,
decomposition,133,0.83125000000000004,,,0.071945037506859308,-0.30738341517461115,-0.23543837766775186,,,,,,,
decomposition,134,0.83750000000000002,,,0.07016870820169005,-0.30444765076222402,-0.23427894256053394,,,,,,,
decomposition,135,0.84375,,,0.068436236623332064,-0.30152656319127646,-0.23309032656794443,,,,,,,
decomposition,136,0.84999999999999998,,,0.066746539920652159,-0.29862050818481717,-0.23187396826416501,,,,,,,
decomposition,137,0.85624999999999996,,,0.065098561978206862,-0.29572982376273471,-0.23063126178452784,,,,,,,
decomposition,138,0.86250000000000004,,,0.063491272756135878,-0.29285483078966096,-0.22936355803352507,,,,,,,
decomposition,139,0.86875000000000002,,,0.061923667646353764,-0.2899958335079692,-0.22807216586161544,,,,,,,
decomposition,140,0.875,,,0.060394766844637002,-0.28715312005625326,-0.22675835321161628,,,,,,,
decomposition,141,0.88124999999999998,,,0.05890361473821458,-0.28432696297366289,-0.22542334823544832,,,,,,,
decomposition,142,0.88749999999999996,,,0.057449279308478866,-0.28151761969046135,-0.22406834038198248,,,,,,,
decomposition,143,0.89375000000000004,,,0.056030851548443616,-0.27872533300516134,-0.22269448145671772,,,,,,,
decomposition,144,0.90000000000000002,,,0.054647444894585118,-0.27595033154858795,-0.22130288665400283,,,,,,,
decomposition,145,0.90625,,,0.05329819467271097,-0.27319283023520585,-0.21989463556249489,,,,,,,
decomposition,146,0.91249999999999998,,,0.051982257557510694,-0.27045303070204285,-0.21847077314453214,,,,,,,
decomposition,147,0.91874999999999996,,,0.05069881104544989,-0.26773112173553065,-0.21703231069008075,,,,,,,
decomposition,148,0.92500000000000004,,,0.049447052940678776,-0.26502727968657647,-0.21558022674589766,,,,,,,
decomposition,149,0.93125000000000002,,,0.04822620085363373,-0.26234166887417226,-0.21411546802053852,,,,,,,
decomposition,150,0.9375,,,0.047035491712018214,-0.25967444197783873,-0.21263895026582053,,,,,,,
decomposition,151,0.94374999999999998,,,0.045874181283857861,-0.25702574041919529,-0.2111515591353374,,,,,,,
decomposition,152,0.94999999999999996,,,0.044741543712331203,-0.25439569473293894,-0.20965415102060772,,,,,,,
decomposition,153,0.95625000000000004,,,0.043636871062085525,-0.25178442492750802,-0.2081475538654225,,,,,,,
decomposition,154,0.96250000000000002,,,0.042559472876754337,-0.2491920408357004,-0.20663256795894605,,,,,,,
decomposition,155,0.96875,,,0.041508675747399484,-0.24661864245550708,-0.20510996670810758,,,,,,,
decomposition,156,0.97499999999999998,,,0.040483822891608783,-0.24406432028141839,-0.2035804973898096,,,,,,,
decomposition,157,0.98124999999999996,,,0.039484273742985562,-0.24152915562645066,-0.20204488188346512,,,,,,,
decomposition,158,0.98750000000000004,,,0.038509403550773841,-0.23901322093513663,-0.20050381738436279,,,,,,,
decomposition,159,0.99375000000000002,,,0.037558602989368799,-0.23651658008771609,-0.19895797709834728,,,,,,,
