azimuthOverPi,mu,D,sign
1.725,-1,-0,0
1.73333333333,-1,-0,0
1.74166666667,-1,-0,0
1.75,-1,-0,0
1.75833333333,-1,-0,0
1.76666666667,-1,-0,0
1.775,-1,-0,0
1.78333333333,-1,-0,0
1.79166666667,-1,-0,0
1.8,-1,-0,0
1.80833333333,-1,-0,0
1.81666666667,-1,-0,0
1.825,-1,-0,0
1.83333333333,-1,-0,0
1.84166666667,-1,-0,0
1.85,-1,-0,0
1.85833333333,-1,-0,0
1.86666666667,-1,-0,0
1.875,-1,-0,0
1.88333333333,-1,-0,0
1.89166666667,-1,-0,0
1.9,-1,-0,0
1.90833333333,-1,-0,0
1.91666666667,-1,-0,0
1.925,-1,-0,0
1.93333333333,-1,-0,0
1.94166666667,-1,-0,0
1.95,-1,-0,0
1.95833333333,-1,-0,0
1.96666666667,-1,-0,0
1.975,-1,-0,0
1.98333333333,-1,-0,0
1.99166666667,-1,-0,0
2,-1,-0,0
0,-0.988888888889,0,0
0.00833333333333,-0.988888888889,0.0025662056776763463,1
0.0166666666667,-0.988888888889,0.0051306526061660473,1
0.025,-0.988888888889,0.0076915832416412991,1
0.0333333333333,-0.988888888889,0.010247242450165884,1
0.0416666666667,-0.988888888889,0.012795878710576308,1
0.05,-0.988888888889,0.015335745314886906,1
0.0583333333333,-0.988888888889,0.017865101565396252,1
0.0666666666667,-0.988888888889,0.020382213967674409,1
0.075,-0.988888888889,0.022885357418613427,1
0.0833333333333,-0.988888888889,0.025372816388726838,1
0.0916666666667,-0.988888888889,0.027842886097887876,1
0.1,-0.988888888889,0.030293873683700612,1
0.108333333333,-0.988888888889,0.032724099361703292,1
0.116666666667,-0.988888888889,0.0351318975766087,1
0.125,-0.988888888889,0.037515618143792548,1
0.133333333333,-0.988888888889,0.039873627380247571,1
0.141666666667,-0.988888888889,0.042204309224228298,1
0.15,-0.988888888889,0.044506066342819041,1
0.158333333333,-0.988888888889,0.046777321226666016,1
0.166666666667,-0.988888888889,0.049016517271123571,1
0.175,-0.988888888889,0.05122211984307317,1
0.183333333333,-0.988888888889,0.0533926173326843,1
0.191666666667,-0.988888888889,0.055526522189396361,1
0.2,-0.988888888889,0.057622371941411475,1
0.208333333333,-0.988888888889,0.059678730197999637,1
0.216666666667,-0.988888888889,0.061694187633929191,1
0.225,-0.988888888889,0.063667362955347889,1
0.233333333333,-0.988888888889,0.065596903846452725,1
0.241666666667,-0.988888888889,0.067481487896299666,1
0.25,-0.988888888889,0.069319823505118006,1
0.258333333333,-0.988888888889,0.071110650769508399,1
0.266666666667,-0.988888888889,0.072852742345917626,1
0.275,-0.988888888889,0.074544904291798636,1
0.283333333333,-0.988888888889,0.076185976883879097,1
0.291666666667,-0.988888888889,0.077774835412977819,1
0.3,-0.988888888889,0.079310390954824186,1
0.308333333333,-0.988888888889,0.080791591116352549,1
0.316666666667,-0.988888888889,0.082217420756959772,1
0.325,-0.988888888889,0.083586902684232009,1
0.333333333333,-0.988888888889,0.084899098323663408,1
0.341666666667,-0.988888888889,0.086153108361908343,1
0.35,-0.988888888889,0.087348073363125847,1
0.358333333333,-0.988888888889,0.088483174357993855,1
0.366666666667,-0.988888888889,0.089557633404990067,1
0.375,-0.988888888889,0.090570714123554122,1
0.383333333333,-0.988888888889,0.091521722198766003,1
0.391666666667,-0.988888888889,0.092410005857194874,1
0.4,-0.988888888889,0.093234956313592021,1
0.408333333333,-0.988888888889,0.093996008188121816,1
0.416666666667,-0.988888888889,0.09469263989384484,1
0.425,-0.988888888889,0.095324373994187542,1
0.433333333333,-0.988888888889,0.095890777530153334,1
0.441666666667,-0.988888888889,0.096391462317051188,1
0.45,-0.988888888889,0.096826085210537913,1
0.458333333333,-0.988888888889,0.097194348341792192,1
0.466666666667,-0.988888888889,0.097495999321659046,1
0.475,-0.988888888889,0.097730831413624666,1
0.483333333333,-0.988888888889,0.097898683675503334,1
0.491666666667,-0.988888888889,0.097999441069739193,1
0.5,-0.988888888889,0.098033034542247155,1
0.508333333333,-0.988888888889,0.097999441069739193,1
0.516666666667,-0.988888888889,0.097898683675503334,1
0.525,-0.988888888889,0.097730831413624666,1
0.533333333333,-0.988888888889,0.09749599932165906,1
0.541666666667,-0.988888888889,0.097194348341792206,1
0.55,-0.988888888889,0.096826085210537913,1
0.558333333333,-0.988888888889,0.096391462317051202,1
0.566666666667,-0.988888888889,0.095890777530153348,1
0.575,-0.988888888889,0.095324373994187556,1
0.583333333333,-0.988888888889,0.094692639893844854,1
0.591666666667,-0.988888888889,0.09399600818812183,1
0.6,-0.988888888889,0.093234956313592035,1
0.608333333333,-0.988888888889,0.092410005857194888,1
0.616666666667,-0.988888888889,0.091521722198766017,1
0.625,-0.988888888889,0.090570714123554122,1
0.633333333333,-0.988888888889,0.089557633404990095,1
0.641666666667,-0.988888888889,0.088483174357993868,1
0.65,-0.988888888889,0.087348073363125847,1
0.658333333333,-0.988888888889,0.086153108361908384,1
0.666666666667,-0.988888888889,0.084899098323663422,1
0.675,-0.988888888889,0.083586902684232023,1
0.683333333333,-0.988888888889,0.082217420756959814,1
0.691666666667,-0.988888888889,0.080791591116352562,1
0.7,-0.988888888889,0.079310390954824186,1
0.708333333333,-0.988888888889,0.077774835412977847,1
