eta,exactWeightedMean
0,0
0.01,0.0014151413174496874
0.02,0.0028302826348993748
0.03,0.0042454239523490624
0.04,0.0056605652697987495
0.05,0.0070757065872484376
0.06,0.0084908479046981247
0.07,0.0099059892221478128
0.08,0.011321130539597499
0.09,0.012736271857047185
0.1,0.014151413174496875
0.11,0.015566554491946561
0.12,0.016981695809396249
0.13,0.018396837126845936
0.14,0.019811978444295626
0.15,0.021227119761745312
0.16,0.022642261079194998
0.17,0.024057402396644688
0.18,0.025472543714094371
0.19,0.02688768503154406
0.2,0.02830282634899375
0.21,0.029717967666443433
0.22,0.031133108983893123
0.23,0.032548250301342813
0.24,0.033963391618792499
0.25,0.035378532936242185
0.26,0.036793674253691872
0.27,0.038208815571141565
0.28,0.039623956888591251
0.29,0.04103909820604093
0.3,0.042454239523490624
0.31,0.04386938084094031
0.32,0.045284522158389996
0.33,0.046699663475839689
0.34,0.048114804793289376
0.35,0.049529946110739062
0.36,0.050945087428188741
0.37,0.052360228745638435
0.38,0.053775370063088121
0.39,0.055190511380537814
0.4,0.0566056526979875
0.41,0.058020794015437187
0.42,0.059435935332886866
0.43,0.060851076650336559
0.44,0.062266217967786246
0.45,0.063681359285235939
0.46,0.065096500602685625
0.47,0.066511641920135312
0.48,0.067926783237584998
0.49,0.069341924555034684
0.5,0.07075706587248437
0.51,0.072172207189934057
0.52,0.073587348507383743
0.53,0.075002489824833443
0.54,0.076417631142283129
0.55,0.077832772459732816
0.56,0.079247913777182502
0.57,0.080663055094632188
0.58,0.082078196412081861
0.59,0.083493337729531547
0.6,0.084908479046981247
0.61,0.086323620364430934
0.62,0.08773876168188062
0.63,0.089153902999330306
0.64,0.090569044316779992
0.65,0.091984185634229679
0.66,0.093399326951679379
0.67,0.094814468269129065
0.68,0.096229609586578752
0.69,0.097644750904028438
0.7,0.099059892221478124
0.71,0.1004750335389278
0.72,0.10189017485637748
0.73,0.10330531617382718
0.74,0.10472045749127687
0.75,0.10613559880872656
0.76,0.10755074012617624
0.77,0.10896588144362593
0.78,0.11038102276107563
0.79,0.11179616407852531
0.8,0.113211305395975
0.81,0.11462644671342469
0.82,0.11604158803087437
0.83,0.11745672934832406
0.84,0.11887187066577373
0.85,0.12028701198322343
0.86,0.12170215330067312
0.87,0.12311729461812281
0.88,0.12453243593557249
0.89,0.12594757725302219
0.9,0.12736271857047188
0.91,0.12877785988792156
0.92,0.13019300120537125
0.93,0.13160814252282094
0.94,0.13302328384027062
0.95,0.13443842515772031
