component,bound,kind
simplex tail projection,8.7086726118371618830673280759509386729116E-8,error
finite spectral convergence,2.5597409349552049674206573981941778919496E-9,error
finite target parameter,2.5283438965007028185403896383198890399447E-21,error
total outward error,8.9646467053329352141990438860522105010704E-8,total
certified distance to zero,0.00002286527505484411449444650913,margin
