p,mu,c,norm,gain,N,dtMax,finiteDimensionalOnly
0.0,1e-08,1.0,raw_q,12880036.972468,10,0.0025,True
0.0,1e-08,1.0,xmu,1.0457765022651633,10,0.0025,True
0.0,1e-08,1.0,hminus1,1.0456828768751902,10,0.0025,True
0.0,1e-08,1.0,balanced_l2,1288.0041838479424,10,0.0025,True
0.0,1e-08,1.0,kinetic,1267.2880854251296,10,0.0025,True
0.0,1e-08,1.0,kinetic_under,12.722509851403016,10,0.0025,True
0.0,1e-08,1.0,kinetic_over,126728.75876222887,10,0.0025,True
0.0,1e-09,1.0,raw_q,128800371.72997412,10,0.0025,True
0.0,1e-09,1.0,xmu,1.045776510111991,10,0.0025,True
0.0,1e-09,1.0,hminus1,1.0456828847060444,10,0.0025,True
0.0,1e-09,1.0,balanced_l2,4073.0255353076345,10,0.0025,True
0.0,1e-09,1.0,kinetic,4007.5154657540293,10,0.0025,True
0.0,1e-09,1.0,kinetic_under,22.563883981768072,10,0.0025,True
0.0,1e-09,1.0,kinetic_over,712648.1958208606,10,0.0025,True
0.0,1e-10,1.0,raw_q,1288003719.3050337,10,0.0025,True
0.0,1e-10,1.0,xmu,1.0457765108966735,10,0.0025,True
0.0,1e-10,1.0,hminus1,1.0456828854891298,10,0.0025,True
0.0,1e-10,1.0,balanced_l2,12880.037241710468,10,0.0025,True
0.0,1e-10,1.0,kinetic,12672.876207721287,10,0.0025,True
0.0,1e-10,1.0,kinetic_under,40.0908918378717,10,0.0025,True
0.0,1e-10,1.0,kinetic_over,4007515.316432309,10,0.0025,True
0.0,1e-11,1.0,raw_q,12880037195.055662,10,0.0025,True
0.0,1e-11,1.0,xmu,1.0457765109751447,10,0.0025,True
0.0,1e-11,1.0,hminus1,1.0456828855674416,10,0.0025,True
0.0,1e-11,1.0,balanced_l2,40730.253899450014,10,0.0025,True
0.0,1e-11,1.0,kinetic,40075.1531881781,10,0.0025,True
0.0,1e-11,1.0,kinetic_under,71.27367209771332,10,0.0025,True
0.0,1e-11,1.0,kinetic_over,22535914.742193133,10,0.0025,True
0.0,1e-12,1.0,raw_q,128800371952.56174,10,0.0025,True
0.0,1e-12,1.0,xmu,1.0457765109829888,10,0.0025,True
0.0,1e-12,1.0,hminus1,1.0456828855752698,10,0.0025,True
0.0,1e-12,1.0,balanced_l2,128800.37195742778,10,0.0025,True
0.0,1e-12,1.0,kinetic,126728.76161255987,10,0.0025,True
0.0,1e-12,1.0,kinetic_under,126.73373998302314,10,0.0025,True
0.0,1e-12,1.0,kinetic_over,126728761.6075813,10,0.0025,True
0.0,1e-13,1.0,raw_q,1288003719527.6238,10,0.0025,True
0.0,1e-13,1.0,xmu,1.0457765109837736,10,0.0025,True
0.0,1e-13,1.0,hminus1,1.0456828855760527,10,0.0025,True
0.0,1e-13,1.0,balanced_l2,407302.538849137,10,0.0025,True
0.0,1e-13,1.0,kinetic,400751.5317348446,10,0.0025,True
0.0,1e-13,1.0,kinetic_under,225.36194703175656,10,0.0025,True
0.0,1e-13,1.0,kinetic_over,712648197.4228344,10,0.0025,True
0.0,1e-14,1.0,raw_q,12880037195278.234,10,0.0025,True
0.0,1e-14,1.0,xmu,1.0457765109838513,10,0.0025,True
0.0,1e-14,1.0,hminus1,1.0456828855761306,10,0.0025,True
0.0,1e-14,1.0,balanced_l2,1288003.71952831,10,0.0025,True
0.0,1e-14,1.0,kinetic,1267287.616079133,10,0.0025,True
0.0,1e-14,1.0,kinetic_under,400.7531060772433,10,0.0025,True
0.0,1e-14,1.0,kinetic_over,4007515317.333511,10,0.0025,True
0.25,1e-08,0.01,raw_q,128007.84400788382,10,0.0025,True
0.25,1e-08,0.01,xmu,1.0000047289795053,10,0.0025,True
0.25,1e-08,0.01,hminus1,1.000004707339166,10,0.0025,True
0.25,1e-08,0.01,balanced_l2,12.848056068041581,10,0.0025,True
0.25,1e-08,0.01,kinetic,12.643211141617057,10,0.0025,True
0.25,1e-08,0.01,kinetic_under,1.0100792357964874,10,0.0025,True
0.25,1e-08,0.01,kinetic_over,1259.490283925791,10,0.0025,True
