caseId,family,pathId,N,dimension,start,end,tau,mu,gammaAbs,c,Lambda,p,kappa,sign,norm,muWeightExponentA,laplacianWeightExponentB,gain,logGain,xmuLogBound,kineticLogBound,boundMargin,inputMeanFraction,inputK1Fraction,inputK2Fraction,inputTailFraction,outputMeanFraction,outputK1Fraction,outputK2Fraction,outputTailFraction,rk4Steps,finiteDimensionalOnly
R073B-W0002,power,p0-k1,10,21,0.0,0.1,0.1,1e-07,0.00031622776601683794,-1.0,-3162.277660168379,0.0,1.0,-1,balanced_l2,1.0,0.0,180.87788737107311,5.197822148175019,0.3313744854192512,140.3913488363842,135.19352668820918,0.9999826871620197,7.867701289904657e-06,9.44100397553722e-06,4.132714970640366e-09,3.06039976525889e-05,0.3129601677759058,0.6870092282263677,7.371481143206232e-14,40,True
R073B-W0002,power,p0-k1,10,21,0.0,0.1,0.1,1e-07,0.00031622776601683794,-1.0,-3162.277660168379,0.0,1.0,-1,kinetic,1.0,1.0,125.93467291804983,4.835763303595635,0.3313744854192512,140.3913488363842,135.55558553278857,0.9999564873538987,3.340066872655416e-05,1.0088732017988496e-05,2.3245356621976027e-08,6.313164805925016e-05,0.6456261827412965,0.354310685610268,3.763447642578641e-13,40,True
R073B-W0002,power,p0-k1,10,21,0.0,0.1,0.1,1e-07,0.00031622776601683794,-1.0,-3162.277660168379,0.0,1.0,-1,kinetic_under,0.5,1.0,2.570273502998545,0.9440123146449849,0.3313744854192512,140.3913488363842,139.4473365217392,0.9085092992895295,0.07216893067925081,0.019271726653459113,5.0043377760782455e-05,0.13774647114704933,0.5807491203627403,0.2815023923222183,2.016167992078082e-06,40,True
R073B-W0002,power,p0-k1,10,21,0.0,0.1,0.1,1e-07,0.00031622776601683794,-1.0,-3162.277660168379,0.0,1.0,-1,kinetic_over,1.5,1.0,7081.449567496661,8.865233906902997,0.3313744854192512,140.3913488363842,131.5261149294812,0.9999999862378401,1.0563834666687387e-08,3.1909732920792833e-09,7.35195219388908e-12,1.9966974640221066e-08,0.6456562453171533,0.3543437347158721,2.1290757172415264e-19,40,True
R073B-W0003,power,p0-k1,10,21,0.0,0.1,0.1,1e-06,0.001,-1.0,-1000.0,0.0,1.0,-1,raw_q,-2.0,0.0,57197.20971850306,10.954260395033,0.3313743954192512,44.39564251378266,33.44138211874966,0.9999999998268585,7.868194271321468e-11,9.441824309002475e-11,4.13297654444893e-14,3.060601878514015e-10,0.31296457285568896,0.6870354268382506,1.8043115918350662e-16,40,True
R073B-W0003,power,p0-k1,10,21,0.0,0.1,0.1,1e-06,0.001,-1.0,-1000.0,0.0,1.0,-1,xmu,0.0,0.0,1.0124488391406992,0.012371989478158,0.3313743954192512,44.39564251378266,44.3832705243045,0.9139166981028276,0.08260199762515401,0.0034586920172414892,2.2612254776812785e-05,0.910335231461647,0.08258619379422716,0.007033853237853559,4.472150627220803e-05,40,True
R073B-W0003,power,p0-k1,10,21,0.0,0.1,0.1,1e-06,0.001,-1.0,-1000.0,0.0,1.0,-1,hminus1,0.0,1.0,1.0111419047984571,0.011080291018009253,0.3313743954192512,44.39564251378266,44.38456222276465,0.913109110762078,0.08522430461466962,0.0016324132583047954,3.4171364947549735e-05,0.9122723693998787,0.08535905882806336,0.0023532319645816063,1.533980747644273e-05,40,True
R073B-W0003,power,p0-k1,10,21,0.0,0.1,0.1,1e-06,0.001,-1.0,-1000.0,0.0,1.0,-1,balanced_l2,1.0,0.0,57.210911134309555,4.046744634290824,0.3313743954192512,44.39564251378266,40.34889787949184,0.999826988575559,7.863263001055883e-05,9.433749068739149e-05,4.1303743006327784e-08,0.0003058608743276254,0.3129176522890352,0.6867764868292707,7.366430959278965e-12,40,True
R073B-W0003,power,p0-k1,10,21,0.0,0.1,0.1,1e-06,0.001,-1.0,-1000.0,0.0,1.0,-1,kinetic,1.0,1.0,39.84309996993323,3.68494924017961,0.3313743954192512,44.39564251378266,40.71069327360305,0.9995655130943527,0.0003335478780444588,0.00010070689336891749,2.3213423406598747e-07,0.0006304666367521219,0.6453554890033515,0.3540140443223438,3.755262785867496e-11,40,True
R073B-W0003,power,p0-k1,10,21,0.0,0.1,0.1,1e-06,0.001,-1.0,-1000.0,0.0,1.0,-1,kinetic_under,0.5,1.0,1.7495038365186977,0.5593322257461493,0.3313743954192512,44.39564251378266,43.836310288036515,0.8295720091064643,0.13928232180046451,0.031050536972203092,9.513212086809727e-05,0.2716274725014363,0.5187815819086488,0.20958227201618557,8.673573729114784e-06,40,True
R073B-W0003,power,p0-k1,10,21,0.0,0.1,0.1,1e-06,0.001,-1.0,-1000.0,0.0,1.0,-1,kinetic_over,1.5,1.0,1259.2788843372484,7.138294522093287,0.3313743954192512,44.39564251378266,37.25734799168937,0.9999995648022286,3.340577105703337e-07,1.0090757154168285e-07,2.324892134470606e-10,6.314115117755602e-07,0.6456554909043287,0.35434387768415954,1.7801626708548804e-19,40,True
R073B-W0004,power,p0-k1,10,21,0.0,0.1,0.1,1e-05,0.0031622776601683794,-1.0,-316.2277660168379,0.0,1.0,-1,raw_q,-2.0,0.0,5719.690986103121,8.651670059505982,0.3313734954192512,14.039133884638423,5.387463825132441,0.9999999826857321,7.868189091311902e-09,9.441945765138942e-09,4.132988121465874e-12,3.060628345008732e-08,0.31296166669209907,0.6870383027015995,1.7907505743619247e-14,40,True
