M,dimension,carrierMin,carrierMax,zeta,zetaScaled,algebraicRootResidual,evolvedRootResidual,rootHNormalized,mixedRow,criticalAction,profileMoment,reciprocalMoment,mixedRowNormalized,criticalActionNormalized,profileMomentNormalized,reciprocalMomentNormalized,momentResolvedRatio,actionOnlyScaledRatio,solverNfev,elapsedSeconds,maxRssMb
4,73,9,15,-0.021048967489532507,0.3367834798325201,0.0,7.712777085836647e-16,0.03769915611056869,15.94153885518446,5.699108126252241,5.728063291072376,63.18742142022173,0.9963461784490287,1.6314663192428098,0.31264869354792996,0.8622226986599996,0.7168150350169528,0.6107059439090653,2744,0.04910466598812491,71.703125
8,145,17,31,-0.009095106141118813,0.582086793031604,0.0,1.1388188569244617e-16,0.19029927684350803,63.941901741950005,10.229331924038446,24.352139862980383,535.6476014365531,0.9990922147179688,1.2298172032014525,0.39561602546780394,1.0877420645784492,0.6981546659611921,0.8123908269595991,2546,0.060483707988169044,72.078125
16,289,33,63,-0.0033344001485310494,0.8536064380239486,0.0,1.3864235280658388e-17,0.48157601685885515,255.94205637009583,18.354717562778657,106.19847244232871,4658.463627028736,0.9997736576956868,1.042594905833098,0.45644707608437063,1.2513963552755978,0.6900035487414631,0.9589282012622207,2546,0.09375674999319017,72.796875
32,577,65,127,-0.0010533824779635896,1.0786636574347157,0.0,8.809142651444724e-19,0.8076120251909895,1023.9421136470111,32.60504538731115,471.86866416265764,41298.11277095199,0.9999434703584092,0.9333747001877278,0.5030370660147647,1.3758119484575886,0.6852555428489052,1.0713205212839956,2642,0.17107620800379664,75.4375
64,1153,129,255,-0.0003000179408349375,1.228873485659904,0.0,2.541098841762901e-20,1.062634865999901,4095.9421343897343,57.33154718791262,2126.9495113777166,371564.64721407316,0.9999858726537437,0.8615826959843037,0.5399007777117247,1.4737071282130356,0.6820427487446891,1.1606382966075284,2492,0.33480900002177805,80.3125
