M,dimension,carrierMin,carrierMax,zetaReal,zetaImag,zetaScaled,rootColumnAbs,rootColumnBAbs,algebraicRootResidual,evolvedRootResidual,rootH,rootHNormalized,mixedRow,criticalAction,profileMoment,reciprocalMoment,mixedRowNormalized,criticalActionNormalized,profileMomentNormalized,reciprocalMomentNormalized,momentResolvedRatio,actionOnlyScaledRatio,phiMaximizerMin,phiMaximizerMax,solverNfev,elapsedSeconds,maxRssMb
4,65,9,15,-0.021048967489251377,0.0,0.33678347982802204,0.9843861982176811,0.020720313083151733,0.0,5.795574125659294e-17,0.15079662443567277,0.03769915610891819,15.941538855187824,5.699089268162446,5.728063638715984,63.1874214114673,0.996346178449239,1.631460920794901,0.31264871252298565,0.8622226985405411,0.7168138708138145,0.610707964714096,0.0010225536260865056,0.002962492831845687,2246,0.05452979198889807,72.671875
8,129,17,31,-0.00909510614103402,0.0,0.5820867930261773,0.9980402374344657,0.00907728189248926,0.0,9.161508357502512e-18,1.522394214692217,0.19029927683652711,63.94190174227802,10.229302419194555,24.35214186890223,535.6476013563273,0.9990922147230941,1.229813655993789,0.39561605805528216,1.0877420644155342,0.6981536878540785,0.8123931701797108,0.00022888507614950737,0.0007891250431731892,2243,0.07391141599509865,76.203125
16,257,33,63,-0.003334400148507215,0.0,0.8536064380178471,0.9997554155607062,0.0033335846061165117,0.0,3.686287386450715e-18,7.705216269578238,0.4815760168486399,255.94205637331015,18.35467128064341,106.19848048318975,4658.463626292246,0.9997736577082428,1.042592276889434,0.4564471106444489,1.2513963550777556,0.6900027049187551,0.9589306192551704,5.362042060760269e-05,0.00020132191981339016,2144,0.1098247499903664,81.359375
32,513,65,127,-0.00105338247795749,0.0,1.0786636574284698,0.9999694622713647,0.0010533503100492291,0.0,2.6020852139652106e-18,25.84358480583468,0.8076120251823338,1023.9421136874212,32.604972011944575,471.86869430687665,41298.112765498256,0.9999434703978722,0.9333725996934649,0.5030370981501038,1.375811948275902,0.685254793649616,1.0713229322633542,1.2861647290112021e-05,5.03075386823317e-05,2147,0.2080007079639472,95.765625
