panel,route,series,kind,x,y,phi,theta,radius,distance,source,pointer,status,note
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.065086400474662215,-0.043287922787620635,-2.9234264970905017,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.064958004319015675,-0.044990210868773042,-2.91469985083053,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.064824661359845104,-0.046689072771181103,-2.9059732045705586,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.064686381751733094,-0.048384379119933547,-2.897246558310587,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.064543176025207177,-0.050076000810888352,-2.888519912050615,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.064395055085937875,-0.051763809020504203,-2.8797932657906435,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.064242030213908202,-0.0534476752156514,-2.871066619530672,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.064084113062554598,-0.055127471163399847,-2.8623399732707004,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.063921315657879535,-0.056803068940784518,-2.853613327010729,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.063753650397535694,-0.058474340944547412,-2.844886680750757,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.063581130049881793,-0.060141159900854668,-2.8361600344907854,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.063403767753010237,-0.0618033988749895,-2.827433388230814,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.063221577013746616,-0.063460931281018429,-2.8187067419708423,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.06303457170662112,-0.065113630891431323,-2.8099800957108707,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.06284276607281189,-0.066761371846754236,-2.8012534494508987,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.06264617471906056,-0.068404028665133773,-2.792526803190927,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
