jet_order_n,jet_label,transport_coefficient_2_pow_minus_n_plus_2,reciprocal_dual_dilation,unmatched_defect_if_dual_held_fixed
0,constant,0.25,4,0.75
1,linear,0.125,8,0.875
2,quadratic,0.0625,16,0.9375
