schemaVersion,evidenceClass,diagnosticOnly,smokeMode,gridKind,windowId,endpoint,endpointRole,N,Lambda,epsilon,integrator,fastStep,stepCount,logSelectedGain,LambdaInverseLogGain,finiteAction,finiteAverageRate,finiteWkbCorrection,residualLogGainMinusLambdaAction,residualMinusWkb,topClusterDimension,topEigenvalueReal,topEigenvalueImag,topRealGap,topComplexSeparation,topEigenCondition,topEigenResidualRelative,wallTimeSeconds
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,primary,explicit-pilot,0.0001,explicit finite pilot; not a theorem endpoint,48,10000,0.0001,kinetic-cf4-exponential,0.25,4,0.17024073970624015,1.7024073970624014e-05,1.7039125194755544e-05,0.17039125194755542,-0.00017970645480646475,-0.00015051224131529262,2.9194213491172134e-05,1,0.17026100524771026,1.0479753916231471e-16,0.13004323778482255,0.18095455296040333,1.6756794461662456,6.1176900951532826e-16,0.011307624983601272
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,primary,explicit-pilot,0.0001,explicit finite pilot; not a theorem endpoint,48,50000,2.0000000000000002e-05,kinetic-cf4-exponential,0.25,20,0.85179476338652005,1.7035895267730401e-05,1.7039125194755544e-05,0.17039125194755542,-0.00017970645480646475,-0.00016149635125717321,1.8210103549291541e-05,1,0.17037857283208849,-5.8236386265728887e-18,0.12990351468892031,0.174475317020651,1.6818622707707067,4.6705375795288374e-16,0.022350958082824945
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,primary,explicit-pilot,0.0001,explicit finite pilot; not a theorem endpoint,48,100000,1.0000000000000001e-05,kinetic-cf4-exponential,0.25,40,1.7037426970548628,1.7037426970548628e-05,1.7039125194755544e-05,0.17039125194755542,-0.00017970645480646475,-0.00016982242069163433,9.8840341148304155e-06,1,0.17039327426669829,-4.0597083316988457e-16,0.12988606960137636,0.17310049981528386,1.6826778772119244,6.1467683609663956e-16,0.037571209017187357
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,primary,explicit-pilot,0.0001,explicit finite pilot; not a theorem endpoint,48,500000,1.9999999999999999e-06,kinetic-cf4-exponential,0.25,200,8.5193846201811692,1.7038769240362338e-05,1.7039125194755544e-05,0.17039125194755542,-0.00017970645480646475,-0.00017797719660350708,1.7292582029576685e-06,1,0.17040503629215817,-1.0923548962842324e-16,0.1298721803089512,0.17142605427069799,1.6833380604255681,5.402651841036836e-16,0.15982470801100135
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,primary,explicit-pilot,0.0001,explicit finite pilot; not a theorem endpoint,48,1000000,9.9999999999999995e-07,kinetic-cf4-exponential,0.25,400,17.038946352535355,1.7038946352535356e-05,1.7039125194755544e-05,0.17039125194755542,-0.00017970645480646475,-0.00017884222019048934,8.6423461597540758e-07,1,0.17040650660020096,1.3107597275218847e-16,0.12987045643375056,0.17105190567139916,1.6834210770437357,4.7228375719952847e-16,0.31235329189803451
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,primary,analytic-upper-bound,0.00082880904292593235,finite route diagnostic at a strict analytic upper bound for d0; not d0,48,10000,0.0001,kinetic-cf4-exponential,0.25,34,1.4098207971966223,0.00014098207971966224,0.00014112087459740226,0.17026946774036794,-0.001488647131189417,-0.0013879487774002275,0.00010069835378918954,1,0.17026100524771026,1.0479753916231471e-16,0.13004323778482255,0.18095455296040333,1.6756794461662456,6.1176900951532826e-16,0.033707124995999038
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,primary,analytic-upper-bound,0.00082880904292593235,finite route diagnostic at a strict analytic upper bound for d0; not d0,48,50000,2.0000000000000002e-05,kinetic-cf4-exponential,0.25,166,7.0545724558870218,0.00014109144911774043,0.00014112087459740226,0.17026946774036794,-0.001488647131189417,-0.0014712739830917698,1.7373148097647208e-05,1,0.17037857283208849,-5.8236386265728887e-18,0.12990351468892031,0.174475317020651,1.6818622707707067,4.6705375795288374e-16,0.13319183292333037
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,primary,analytic-upper-bound,0.00082880904292593235,finite route diagnostic at a strict analytic upper bound for d0; not d0,48,100000,1.0000000000000001e-05,kinetic-cf4-exponential,0.25,332,14.11060745929103,0.0001411060745929103,0.00014112087459740226,0.17026946774036794,-0.001488647131189417,-0.0014800004491970498,8.646681992367268e-06,1,0.17039327426669829,-4.0597083316988457e-16,0.12988606960137636,0.17310049981528386,1.6826778772119244,6.1467683609663956e-16,0.25982608296908438
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,primary,analytic-upper-bound,0.00082880904292593235,finite route diagnostic at a strict analytic upper bound for d0; not d0,48,500000,1.9999999999999999e-06,kinetic-cf4-exponential,0.25,1658,70.558950381131808,0.00014111790076226362,0.00014112087459740226,0.17026946774036794,-0.001488647131189417,-0.0014869175693235093,1.7295618659077597e-06,1,0.17040503629215817,-1.0923548962842324e-16,0.1298721803089512,0.17142605427069799,1.6833380604255681,5.402651841036836e-16,1.2644602919463068
r073i-finite-diagnostic-v1,finite-binary64-galerkin-diagnostic-only,true,false,primary,analytic-upper-bound,0.00082880904292593235,finite route diagnostic at a strict analytic upper bound for d0; not d0,48,1000000,9.9999999999999995e-07,kinetic-cf4-exponential,0.25,3316,141.11938681506788,0.00014111938681506789,0.00014112087459740226,0.17026946774036794,-0.001488647131189417,-0.0014877823343795171,8.6479680989990509e-07,1,0.17040650660020096,1.3107597275218847e-16,0.12987045643375056,0.17105190567139916,1.6834210770437357,4.7228375719952847e-16,2.5288247499847785
