equal_phase_delta,base_C0,mixed_C1
-0.71999999999999997,0.86007791635180197,2.941885969630893
-0.71879999999999999,0.85655062923246561,2.9369227963215652
-0.71760000000000002,0.85302930906271413,2.9319410678104614
-0.71639999999999993,0.84951397805779161,2.9269408691280621
-0.71519999999999995,0.8460046583307812,2.9219222855161044
-0.71399999999999997,0.8425013718923472,2.9168854024264417
-0.71279999999999999,0.83900414065048712,2.9118303055199095
-0.71160000000000001,0.83551298641028149,2.9067570806651899
-0.71039999999999992,0.83202793087364246,2.901665813937659
-0.70919999999999994,0.82854899563907058,2.8965565916182552
-0.70799999999999996,0.82507620220140399,2.8914295001923218
-0.70679999999999998,0.8216095719515788,2.8862846263484609
-0.7056,0.81814912617638169,2.8811220569773792
-0.70440000000000003,0.81469488605821017,2.875941879170735
-0.70319999999999994,0.81124687267483175,2.8707441802199791
-0.70199999999999996,0.80780510699914609,2.8655290476151953
-0.70079999999999998,0.80436960989894468,2.8602965690439346
-0.6996,0.80094040213667639,2.8550468323900544
-0.69840000000000002,0.79751750436921287,2.8497799257325491
-0.69719999999999993,0.79410093714761298,2.8444959373443743
-0.69599999999999995,0.79069072091689452,2.8391949556912843
-0.69479999999999997,0.78728687601579961,2.8338770694306459
-0.69359999999999999,0.78388942267656758,2.8285423674102703
-0.69240000000000002,0.78049838102470681,2.823190938667226
-0.69119999999999993,0.77711377107876767,2.8178228724266594
-0.68999999999999995,0.77373561275011915,2.8124382581006095
-0.68879999999999997,0.77036392584272395,2.8070371852868199
-0.68759999999999999,0.76699873005291563,2.801619743767549
-0.68640000000000001,0.76364004496918014,2.7961860235083784
-0.68520000000000003,0.76028789007193476,2.7907361146570193
-0.68399999999999994,0.75694228473331093,2.7852701075421136
-0.68279999999999996,0.75360324821693814,2.7797880926720393
-0.68159999999999998,0.75027079967772781,2.7742901607337016
-0.6804,0.74694495816166118,2.7687764025913362
-0.67920000000000003,0.74362574260557646,2.7632469092853018
-0.67799999999999994,0.74031317183695799,2.7577017720308681
-0.67679999999999996,0.73700726457372812,2.7521410822170145
-0.67559999999999998,0.73370803942403873,2.7465649314052043
-0.6744,0.73041551488606415,2.7409734113281852
-0.67320000000000002,0.72712970934779841,2.7353666138887576
-0.67199999999999993,0.72385064108684938,2.7297446311585669
-0.67079999999999995,0.72057832827024026,2.724107555376877
-0.66959999999999997,0.71731278895420569,2.7184554789493474
-0.66839999999999999,0.7140540410839944,2.7127884944468104
-0.66720000000000002,0.71080210249367182,2.7071066946040379
-0.66599999999999993,0.70755699090592372,2.70141017231852
-0.66479999999999995,0.70431872393186301,2.6956990206492244
-0.66359999999999997,0.70108731907083366,2.6899733328153692
-0.66239999999999999,0.69786279371022253,2.6842332021951854
