kappa_q_rj,exact_alpha,quadratic_asymptotic
0,0,0
0.00062,4.6123304975331791e-07,4.6127999999999991e-07
0.00124,1.8451319192536175e-06,1.8451199999999996e-06
0.0018600000000000001,4.1515413613524288e-06,4.1515200000000005e-06
0.00248,7.3804785643005744e-06,7.3804799999999985e-06
0.0030999999999999999,1.1531924428709317e-05,1.1532000000000001e-05
0.0037200000000000002,1.6605911696387921e-05,1.6606080000000002e-05
0.0043400000000000001,2.2602410354011226e-05,2.2602720000000001e-05
0.00496,2.952140266643255e-05,2.9521919999999994e-05
0.0055799999999999999,3.7362849752753391e-05,3.7363679999999995e-05
0.0061999999999999998,4.612673455994809e-05,4.6128000000000003e-05
0.0068199999999999997,5.5813026392570464e-05,5.5814879999999998e-05
0.0074400000000000004,6.6421691826690221e-05,6.6424320000000008e-05
0.0080599999999999995,7.7952703236405796e-05,7.7956319999999992e-05
0.0086800000000000002,9.0406013555366371e-05,9.0410880000000004e-05
0.0092999999999999992,0.00010378158731327858,0.00010378799999999998
0.00992,0.00011807938017227571,0.00011808767999999998
0.010540000000000001,0.00013329934233752283,0.00013330992000000003
0.01116,0.00014944142367312452,0.00014945471999999998
0.011780000000000001,0.00016650557540742739,0.00016652208000000004
0.0124,0.00018449173597900881,0.00018451200000000001
0.01302,0.00020339985013606565,0.00020342448000000004
0.013639999999999999,0.00022322985239497939,0.00022325951999999999
0.01426,0.00024398167948902483,0.00024401712000000003
0.014880000000000001,0.00026565526150079677,0.00026569728000000003
0.0155,0.00028825052902448078,0.00028829999999999996
0.016119999999999999,0.00031176740694149885,0.00031182527999999997
0.016740000000000001,0.00033620581646687242,0.00033627312000000006
0.01736,0.0003615656780482368,0.00036164352000000002
0.017979999999999999,0.00038784690863735705,0.00038793648
0.018599999999999998,0.0004150494210080069,0.0004151519999999999
0.019220000000000001,0.00044317312503494577,0.00044329008000000005
0.01984,0.00047221792974028176,0.0004723507199999999
0.020459999999999999,0.0005021837378365035,0.00050233392
0.021080000000000002,0.00053307045041606216,0.00053323968000000012
0.021700000000000001,0.00056487796695137149,0.00056506799999999995
0.02232,0.00059760618252369113,0.00059781887999999991
0.022939999999999999,0.00063125498837734995,0.0006314923199999999
0.023560000000000001,0.00066582427426453705,0.00066608832000000014
0.02418,0.00070131392588734798,0.00070160687999999997
0.024799999999999999,0.00073772382707204542,0.00073804800000000005
0.025420000000000002,0.00077505385708320773,0.00077541168000000004
0.026040000000000001,0.00081330389352274324,0.00081369792000000017
0.02666,0.00085247380985720156,0.00085290672000000001
0.027279999999999999,0.00089256347729360641,0.00089303807999999998
0.027900000000000001,0.00093357276405470202,0.00093409200000000008
0.02852,0.00097550153431313902,0.00097606848000000011
0.029139999999999999,0.0010183496506641632,0.0010189675200000001
0.029760000000000002,0.0010621169714397638,0.0010627891200000001
0.030380000000000001,0.0011068033526697718,0.0011075332800000001
0.031,0.0011524086470586781,0.0011531999999999998
0.031620000000000002,0.0011989327046251219,0.0011997892800000003
0.032239999999999998,0.0012463753716573933,0.0012473011199999999
0.03286,0.001294736492312154,0.0012957355200000002
0.033480000000000003,0.0013440159067812374,0.0013450924800000002
0.034099999999999998,0.0013942134530395833,0.0013953719999999998
0.034720000000000001,0.0014453289656515267,0.0014465740800000001
0.035340000000000003,0.0014973622762610717,0.0014986987200000003
0.035959999999999999,0.0015503132134639941,0.00155174592
0.036580000000000001,0.0016041816028717903,0.0016057156800000001
0.037199999999999997,0.0016589672666214028,0.0016606079999999996
0.037819999999999999,0.0017146700247820945,0.00171642288
