side,radiusExact,radiusDecimal,polynomialValueExact,polynomialValueDecimal,sturmVariations,zeroSturmValues
lower,191309321194340389/500000000000000000,0.382618642388680778,-20086735202189029774765968669023358239365731649627868148480835896686884048466735022199677473021492767098519076189024652939064285118556256391481793528486962799546294349740553434904735947672895361858839265549173951333827611376090912010061752848416392784514500918115241079710005469316639863521574729077903377435591467520049049529435123053734099609055766604121956120009598075707538358207760406004362091856820748588050869980600732960212297326326274577819793972069969432023918552253611540220193899875768360925708955394723913975361746511801222038200074682570838247513117533847267212770471049480117130566707518835820218146338495292368991910034135881513246797092944451377879857042549206853937077909879663639528301047382059827874543700161400165651747762497724981619605909987302134248446878448192984124742867677477782723464844744758390905543446141265431454781015358437338278542783509639875442555158547674619744583987753673342199768257779146057531597627929771825681263975604482534349973205226886378028896426143161716514061138928215203555286766709168682622956364934176082625793157579474783651099797557879405242309577733556414945612140537117504075129696856204671393257746788059200315421992000563392341345360705049708322561917101223253613691261490210303326744648165362261845226111665516514258820559399066768183381450126296065289626979714087750274932144722143993323735646456078668926551531528991640572685239828875335622543500071775531218273049112138421092042989962111670191972823190559020568099379840315821981721803602058322344003750904114544933527051963032080801561616039211081493464787452428620080303198235503930647013368883522736297016446048558182899965524849726947292772444034419793871765592730509842990520422627921356476258556765262504944369632565076479742295103784679121299054160652888113646069234746654924826759086489/29204717732415373043999683166693940360599321288852230834750256169775092248743160361886236207019188742466367645699575567337860043550136375660666706212926924059141218919304319081192559604272859905021086873765648075647876224790948435987487607699734256805207451473299588151766932103487515213501272300847082614483348869799780990802192999315443968305156702276228724090584817008124348183817353685753914760425686836242675781250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-6.8779076676005793044e-19,40,0
upper,382618642388680779/1000000000000000000,0.382618642388680779,705952405033129566769569711872150685312397606092259594665314601365479194750479038582147578658124473700851249487558694755775767512565502523782500013825135739386387240203846481192939619508257187940166591744417358805969919129030560819817438715429466719515167581875497304402470620669860975925958228759874230615423226194470162150675429244569316711653662744403420654206947623655568923047966642258113586458916164983802916074758724727769181292500480990508262587861245031438441465897993205804140770994703887133220878165436559998825238000449879148193090411337031664271929800310814635412294740821193351782286961183289115717120140436517246100947708751788056726092792207820460840337897809959154386683273509353896828101550286372589064927085775030741104875712873727851023217607731880415846587788338784097009122521060490750557180020472116238828728599129453105267064307063914584186277323559461385475940546259167004499936542339790445216814313894179526471351020667465213095289561358164636692972313144428294442979736166412519023987030417355874168727799610112236212293953635402697353246402291505233001008738863973204199455279902443681838580306744771744250471572536438479714489468049805997557651528226343340867296098863145537083305622543648864412784631384889738423319825482774421239069336062589357079216511287809693625377532112073799883650309623095666302617838278247133701714520090426999688187392541821589562520846254063690034411200712484076241689252919705491865833647800439651472910313947537589027283911178426609051722566059549074989871954728870772411944908586097934224353811205012065059129986271192592444813256105550777469948558020938317645194026252412371352848366864839000193333156785159584320877325240533755995521873388578916484001550240458523305782786309602548394670387736668995792816627578582481831929548972053936724026572973/172082930545158225344740984430034114109887659847844353393008086799698243238484206538687253702662164937067595840423428942335298410850556192531369504673760689678217205954839705084189464482598622681413343389907041005723223101029472174144265553880030026120100669701817848005811898447275088782455068430431166515148788676015101373195648193359375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4.1023964596411415889e-18,39,0
