order,label,ratioExact,ratioDecimal,percentChangeExact,percentChangeDecimal,definition,referenceRadiusExact,classification
0,Z polyradius,478272500000000000/376932499290527341,1.268854505515490386,10134000070947265900/376932499290527341,26.885450551549038598,"rho_Z / r_(48,U)",376932499290527341/1000000000000000000,exact normalized geometry comparison; the old and new polydiscs are not nested
1,W polyradius,244875520000000000/376932499290527341,0.64965350682393107762,-13205697929052734100/376932499290527341,-35.034649317606892238,"rho_W / r_(48,U)",376932499290527341/1000000000000000000,exact normalized geometry comparison; the old and new polydiscs are not nested
2,R=Z^2W disk,56013949016933032000000000000000000000000000000000000/53553856727909601176490572592535276041475485116912821,1.0459367903514846826,246009228902343082350942740746472395852451488308717900/53553856727909601176490572592535276041475485116912821,4.5936790351484682624,"r_(49,L)^3 / r_(48,U)^3",376932499290527341/1000000000000000000,exact normalized geometry comparison; the old and new polydiscs are not nested
