coordinate,upper,upperTimes1e6,isGlobalMaximum
1,1.160459006365986698790176376935824824472e-06,1.16045900636598676e+00,False
2,1.658244055606669023887286106007182742573e-06,1.65824405560666910e+00,False
3,2.143575110887320612617794035018986107529e-06,2.14357511088732045e+00,False
4,2.566326636735080655209837298880261917219e-06,2.56632663673508077e+00,True
5,2.81307073065690544793583705319367574332e-07,2.81307073065690527e-01,False
6,9.611621682354354065888165892830655940225e-08,9.61162168235435432e-02,False
