component,value,valueTimes1e8,evidence
heat signal,1.49238243184776039e-08,1.49238243184776032e+00,binary64 moment and heat pairing
defect correction,1.20506130214400952e-08,1.20506130214400953e+00,strict derivative times binary64 resolvent
remaining gap,2.87321129703750873e-09,2.87321129703750899e-01,binary64 diagnostic difference
