sampleIndex,deltaExact,deltaDecimal,nearSaturationMeasureSquaredExact,nearSaturationMeasureDecimal,classification
369,369/400,0.92249999999999999,159039/160000,0.99699235202683478,exact squared-measure presentation row
370,37/40,0.92500000000000004,1591/1600,0.99718353375895652,exact squared-measure presentation row
371,371/400,0.92749999999999999,159159/160000,0.99736841237328144,exact squared-measure presentation row
372,93/100,0.93000000000000005,9951/10000,0.99754699137434122,exact squared-measure presentation row
373,373/400,0.9325,159271/160000,0.99771927414478667,exact squared-measure presentation row
374,187/200,0.93500000000000005,39831/40000,0.99788526394571031,exact squared-measure presentation row
375,15/16,0.9375,255/256,0.99804496391695696,exact squared-measure presentation row
376,47/50,0.93999999999999995,2491/2500,0.99819837707742243,exact squared-measure presentation row
377,377/400,0.9425,159471/160000,0.99834550632534025,exact squared-measure presentation row
378,189/200,0.94499999999999995,39879/40000,0.99848635443855716,exact squared-measure presentation row
379,379/400,0.94750000000000001,159559/160000,0.9986209240747963,exact squared-measure presentation row
380,19/20,0.94999999999999996,399/400,0.99874921777190895,exact squared-measure presentation row
381,381/400,0.95250000000000001,159639/160000,0.99887123794811516,exact squared-measure presentation row
382,191/200,0.95499999999999996,39919/40000,0.99898698690223187,exact squared-measure presentation row
383,383/400,0.95750000000000002,159711/160000,0.99909646681389075,exact squared-measure presentation row
384,24/25,0.95999999999999996,624/625,0.99919967974374369,exact squared-measure presentation row
385,77/80,0.96250000000000002,6391/6400,0.99929662763365712,exact squared-measure presentation row
386,193/200,0.96499999999999997,39951/40000,0.99938731230689537,exact squared-measure presentation row
387,387/400,0.96750000000000003,159831/160000,0.99947173546829227,exact squared-measure presentation row
388,97/100,0.96999999999999997,9991/10000,0.9995498987044118,exact squared-measure presentation row
389,389/400,0.97250000000000003,159879/160000,0.99962180348369756,exact squared-measure presentation row
390,39/40,0.97499999999999998,1599/1600,0.99968745115661028,exact squared-measure presentation row
391,391/400,0.97750000000000004,159919/160000,0.99974684295575544,exact squared-measure presentation row
392,49/50,0.97999999999999998,2499/2500,0.99979997999599901,exact squared-measure presentation row
393,393/400,0.98250000000000004,159951/160000,0.99984686327457173,exact squared-measure presentation row
394,197/200,0.98499999999999999,39991/40000,0.99988749367116292,exact squared-measure presentation row
395,79/80,0.98750000000000004,6399/6400,0.99992187194800375,exact squared-measure presentation row
396,99/100,0.98999999999999999,9999/10000,0.99994999874993751,exact squared-measure presentation row
397,397/400,0.99250000000000005,159991/160000,0.99997187460448111,exact squared-measure presentation row
398,199/200,0.995,39999/40000,0.99998749992187397,exact squared-measure presentation row
399,399/400,0.99750000000000005,159999/160000,0.99999687499511714,exact squared-measure presentation row
400,1/1,1,1/1,1,exact squared-measure presentation row
