sampleIndex,deltaExact,deltaDecimal,nearSaturationMeasureSquaredExact,nearSaturationMeasureDecimal,classification
220,11/20,0.55000000000000004,319/400,0.89302855497458755,exact squared-measure presentation row
221,221/400,0.55249999999999999,127959/160000,0.89428393142223006,exact squared-measure presentation row
222,111/200,0.55500000000000005,32079/40000,0.89553056899248284,exact squared-measure presentation row
223,223/400,0.5575,128671/160000,0.89676850413024656,exact squared-measure presentation row
224,14/25,0.56000000000000005,504/625,0.89799777282574589,exact squared-measure presentation row
225,9/16,0.5625,207/256,0.89921841062113494,exact squared-measure presentation row
226,113/200,0.56499999999999995,32431/40000,0.90043045261696919,exact squared-measure presentation row
227,227/400,0.5675,130071/160000,0.9016339334785487,exact squared-measure presentation row
228,57/100,0.56999999999999995,8151/10000,0.90282888744213319,exact squared-measure presentation row
229,229/400,0.57250000000000001,130759/160000,0.90401534832103381,exact squared-measure presentation row
230,23/40,0.57499999999999996,1311/1600,0.90519334951158359,exact squared-measure presentation row
231,231/400,0.57750000000000001,131439/160000,0.90636292399899065,exact squared-measure presentation row
232,29/50,0.57999999999999996,2059/2500,0.90752410436307418,exact squared-measure presentation row
233,233/400,0.58250000000000002,132111/160000,0.90867692278389023,exact squared-measure presentation row
234,117/200,0.58499999999999996,33111/40000,0.90982141104724501,exact squared-measure presentation row
235,47/80,0.58750000000000002,5311/6400,0.91095760055010244,exact squared-measure presentation row
236,59/100,0.58999999999999997,8319/10000,0.91208552230588547,exact squared-measure presentation row
237,237/400,0.59250000000000003,133431/160000,0.91320520694967566,exact squared-measure presentation row
238,119/200,0.59499999999999997,33439/40000,0.91431668474331151,exact squared-measure presentation row
239,239/400,0.59750000000000003,134079/160000,0.91541998558038917,exact squared-measure presentation row
240,3/5,0.59999999999999998,21/25,0.91651513899116799,exact squared-measure presentation row
241,241/400,0.60250000000000004,134719/160000,0.91760217414738066,exact squared-measure presentation row
242,121/200,0.60499999999999998,33759/40000,0.91868111986695367,exact squared-measure presentation row
243,243/400,0.60750000000000004,135351/160000,0.91975200461863627,exact squared-measure presentation row
244,61/100,0.60999999999999999,8479/10000,0.92081485652654405,exact squared-measure presentation row
245,49/80,0.61250000000000004,5439/6400,0.9218697033746146,exact squared-measure presentation row
246,123/200,0.61499999999999999,34071/40000,0.92291657261098092,exact squared-measure presentation row
247,247/400,0.61750000000000005,136591/160000,0.92395549135226207,exact squared-measure presentation row
248,31/50,0.62,2139/2500,0.92498648638777425,exact squared-measure presentation row
249,249/400,0.62250000000000005,137199/160000,0.92600958418366275,exact squared-measure presentation row
250,5/8,0.625,55/64,0.92702481088695787,exact squared-measure presentation row
251,251/400,0.62749999999999995,137799/160000,0.92803219232955492,exact squared-measure presentation row
252,63/100,0.63,8631/10000,0.92903175403212135,exact squared-measure presentation row
253,253/400,0.63249999999999995,138391/160000,0.93002352120793164,exact squared-measure presentation row
254,127/200,0.63500000000000001,34671/40000,0.93100751876663168,exact squared-measure presentation row
255,51/80,0.63749999999999996,5559/6400,0.93198377131793453,exact squared-measure presentation row
256,16/25,0.64000000000000001,544/625,0.93295230317524802,exact squared-measure presentation row
257,257/400,0.64249999999999996,139551/160000,0.93391313835923739,exact squared-measure presentation row
258,129/200,0.64500000000000002,34959/40000,0.93486630060132125,exact squared-measure presentation row
259,259/400,0.64749999999999996,140119/160000,0.93581181334710672,exact squared-measure presentation row
260,13/20,0.65000000000000002,351/400,0.93674969975975975,exact squared-measure presentation row
261,261/400,0.65249999999999997,140679/160000,0.93767998272331698,exact squared-measure presentation row
262,131/200,0.65500000000000003,35239/40000,0.93860268484593623,exact squared-measure presentation row
263,263/400,0.65749999999999997,141231/160000,0.93951782846308995,exact squared-measure presentation row
264,33/50,0.66000000000000003,2211/2500,0.9404254356406998,exact squared-measure presentation row
265,53/80,0.66249999999999998,5671/6400,0.94132552817821746,exact squared-measure presentation row
266,133/200,0.66500000000000004,35511/40000,0.94221812761164814,exact squared-measure presentation row
267,267/400,0.66749999999999998,142311/160000,0.94310325521652183,exact squared-measure presentation row
268,67/100,0.67000000000000004,8911/10000,0.94398093201081135,exact squared-measure presentation row
269,269/400,0.67249999999999999,142839/160000,0.94485117875779778,exact squared-measure presentation row
270,27/40,0.67500000000000004,1431/1600,0.94571401596888693,exact squared-measure presentation row
271,271/400,0.67749999999999999,143359/160000,0.94656946390637386,exact squared-measure presentation row
272,17/25,0.68000000000000005,561/625,0.94741754258616084,exact squared-measure presentation row
273,273/400,0.6825,143871/160000,0.94825827178042588,exact squared-measure presentation row
274,137/200,0.68500000000000005,36031/40000,0.9490916710202445,exact squared-measure presentation row
275,11/16,0.6875,231/256,0.94991775959816649,exact squared-measure presentation row
276,69/100,0.68999999999999995,9039/10000,0.95073655657074641,exact squared-measure presentation row
277,277/400,0.6925,144871/160000,0.95154808076103015,exact squared-measure presentation row
278,139/200,0.69499999999999995,36279/40000,0.95235235076099856,exact squared-measure presentation row
279,279/400,0.69750000000000001,145359/160000,0.95314938493396717,exact squared-measure presentation row
280,7/10,0.69999999999999996,91/100,0.95393920141694566,exact squared-measure presentation row
281,281/400,0.70250000000000001,145839/160000,0.95472181812295465,exact squared-measure presentation row
282,141/200,0.70499999999999996,36519/40000,0.95549725274330333,exact squared-measure presentation row
283,283/400,0.70750000000000002,146311/160000,0.95626552274982701,exact squared-measure presentation row
284,71/100,0.70999999999999996,9159/10000,0.95702664539708615,exact squared-measure presentation row
285,57/80,0.71250000000000002,5871/6400,0.95778063772452615,exact squared-measure presentation row
286,143/200,0.71499999999999997,36751/40000,0.95852751655860147,exact squared-measure presentation row
287,287/400,0.71750000000000003,147231/160000,0.95926729851486126,exact squared-measure presentation row
288,18/25,0.71999999999999997,576/625,0.95999999999999996,exact squared-measure presentation row
289,289/400,0.72250000000000003,147679/160000,0.96072563721387172,exact squared-measure presentation row
290,29/40,0.72499999999999998,1479/1600,0.96144422615147052,exact squared-measure presentation row
291,291/400,0.72750000000000004,148119/160000,0.96215578260487522,exact squared-measure presentation row
292,73/100,0.72999999999999998,9271/10000,0.96286032216516226,exact squared-measure presentation row
