name,exact_or_text,classification
finite_low_block_dimension,62,finite exact
tail_low_projection_terms,0,finite grading regression
tail_defect_factor_after_low_preconditioner,1,all-order grading identity
finite_tail_columns,55,finite exact
candidate_gap_factor_lower,1314612959006287000000000/2882113450743013145249,finite R0.32 diagnostic comparison
jacobian_sha256,73f6f1fee1e6f04096f9dc30b25cb9c7028986b5a3f09218b12a1635ab92dbd6,finite exact
inverse_sha256,72eb0205b268b357b475ea918cb7757e8caa1b93311a4eaca7e77513727756d7,finite exact
