metric,exact,decimal,classification
exact_residual_norm,316053305872339131892523331356714685064220219772714921555223699927170487626135737757902737736184215628843090957425889341614247748092174291764323964644884738617143466858791691824385527446524232894180701762831604684079496791486318584649103492488370011846971218065037215661234210637982394793688787697400052623743728690235891419411540098010790759620837169092736222294322879883435532895272098065919994084087990999831893214602446764096087033129675988284812516314129246828610140025742941252999366203600152087413529201163961478245513030781232155940840729584610824919165719956507497724334145367090464659402306082057346652039865939921940524846744260598266542627310783922811521880816922067832436665178343600067967472250357955725676292977983921627898002314298671079250659496372955383572513035581658012733501219048997053824855369883702295845015574215587899333799575300453951793004109566459537456862183318459810190034798042454475930947/423476474549690263955173654023409870073761553462573648998902464423828026980206239696800791410793599855474222758348842688407312503913709789771480192132960997283283933412851542937504244854940762925492743840200646177474745523211092196102415514156542587077442575503339667126287496271083931071418436390248165411569333627206323582876815849476071770252244332262046132596021057465344511026767959705242512011202695795958308002954786865002565174398110261067202290761795743235269960050175959941076708759055691189132630825042724609375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.4633025649988919148e-70,finite degree-80 complete residual
residual_allowance,1459251222058505515216364666829863157036943755681077002961132260272892655590226977203163112862212027013464688902301439498277923893039759292203738275079583880162541805259343615912765876847767395803258125109532136479686954386630998804277556945552573537126419957874069769397821520620990908851478552041707430487555871545032487236229205438674874091169790170798586558926486643263282577006173962205532239847612039235653652054214138921838663776985943180458271045265731754068130680341439304815657969792912944246256572099841135428634361849043199445538507104161960250261352392624359193859978236314487480502937542839008372464803057849669433488871543373538347079584178527429390296101603998882142714701887603860328633253631004900125010091847249566208195223124548880634838184339813140130793458819001466474557198215698762900470889775998410870597926976831696915390444339561/414633341498275827431436266629614263715705348284075355636188663078723056187625201737955434143461619555760085274823355554910271491745065227886667032380135648645539402909371140254131494691937243127641212529475871922051949273352553455041289271631799629027518973374301710460801135022035671778061601845904443401477995988211791242162335872173079145032973044237043858464830670129686041036620736122131347656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3.519377425813147082e-06,all-order contraction allowance
