quantity,version,exact,decimal,normalized_to_r031
bivariate_radius,R0.31,4/81,0.049382716049382713308,1
bivariate_radius,R0.37,16/243,0.065843621399176960329,4/3
bivariate_radius,R0.38,59/500,0.11799999999999999378,4779/2000
fixed_charge_radius,R0.31,64/531441,0.00012042729108217093065,1
fixed_charge_radius,R0.37,4096/14348907,0.00028545728256514589765,64/27
fixed_charge_radius,R0.38,205379/125000000,0.0016430319999999999994,109146821139/8000000000
