radiusPower,radius,totalMean,totalScrambleSe,exactCoreProduction,absoluteError,relativeError,coreCancellationRatio,innerAnnulusMean,outerAnnulusMean,nonprincipalSignedMean,nearMean,nearScrambleSe,farMean,farScrambleSe
0,1,3.414975608393352,0.004962552295565899,3.4201328804316375,-0.005157272038285754,-0.0015079156917537312,0.9959200564387795,1.498350335847674,0.2697545017531417,1.6468707707925356,0.0,0.0,0.0,0.0
1,2,3.4201350294318553,9.162000054476192e-05,3.4201328804316375,2.149000217777086e-06,6.283382233692253e-07,0.9998334458652298,3.1312502911027384,0.1992943185902445,0.08959041973887205,0.0,0.0,0.0,0.0
2,4,3.4201410199820907,1.93153185046118e-05,3.4201328804316375,8.139550453201139e-06,2.3798930444403924e-06,0.9999995744984411,3.2986585820466847,0.12048710372396004,0.000995334211445855,0.0,0.0,0.0,0.0
3,8,3.4201329924757338,7.3934496028719005e-06,3.4201328804316375,1.1204409622322942e-07,3.276015878338882e-08,0.9999999999984578,3.3264468090775314,0.09368480151366967,1.3818845328567896e-06,0.0,0.0,0.0,0.0
4,16,3.4201317276184,3.409658714939435e-06,3.4201328804316375,-1.152813237759176e-06,-3.370667977127501e-07,1.0,3.3337968607254576,0.08633486688990592,3.036400405578724e-12,0.0,0.0,0.0,0.0
5,32,3.4201319122468368,1.6800619558904306e-06,3.4201328804316375,-9.68184800775873e-07,-2.830839720630046e-07,1.0,3.335686222665534,0.08444568958130302,0.0,0.0,0.0,0.0,0.0
6,64,3.4201322121361635,8.598056704213007e-07,3.4201328804316375,-6.682954740711011e-07,-1.9540044127956775e-07,1.0,3.336162372184349,0.08396983995181467,0.0,0.0,0.0,0.0,0.0
