amplitude,exactSignedTotal,sampledSignedSum,sampledTotalResidual,annularL1,exactTotalOverAnnularL1OfMeans,minimumAnnulus,negativeAnnulusCount
0.0,0.03057642115463928,0.030018033169720838,-0.0005583879849184424,0.032742117666849105,0.9338559425433084,-0.0013620422485641364,1
0.00025,0.030542544476556105,0.029984770068335116,-0.0005577744082209887,0.0327065405516498,0.9338359839165399,-0.0013608844856958678,2
0.0005,0.030508690396717015,0.029951529137561096,-0.0005571612591559194,0.032670986591060235,0.933816011698438,-0.001359727216294257,2
0.00075,0.03047485909160564,0.029918310560186286,-0.0005565485314193534,0.03263545581953715,0.9337960303089111,-0.001358570367982807,2
0.001,0.03044105073770562,0.029885114518998206,-0.0005559362187074132,0.03259994827153731,0.9337760441872663,-0.001357413868385021,2
0.00125,0.030407265511500588,0.02985194119678437,-0.0005553243147162178,0.03256446398151747,0.9337560577922842,-0.0013562576451244027,2
0.0015,0.03037350358947418,0.0298187907763323,-0.0005547128131418826,0.032529002983934394,0.933736075602293,-0.0013551016258244557,2
0.00175,0.030339765148110043,0.02978566344042951,-0.0005541017076805335,0.03249356531324484,0.9337161021152431,-0.0013539457381086825,2
0.002,0.0303060503638918,0.029752559371863507,-0.0005534909920282931,0.03245815100390557,0.933696141848782,-0.0013527899096005872,2
0.0022500000000000003,0.030272359413303095,0.029719478753421825,-0.0005528806598812698,0.03242276009037334,0.9336761993403293,-0.0013516340679236732,2
0.0025,0.030238692472827563,0.029686421767891977,-0.0005522707049355861,0.03238739260710491,0.9336562791471524,-0.0013504781407014431,2
0.00275,0.030205049718948843,0.02965338859806147,-0.0005516611208873715,0.03235204858855703,0.9336363858464412,-0.001349322055557401,2
0.003,0.030171431328150568,0.029620379426717837,-0.0005510519014327309,0.03231672806918647,0.933616524035383,-0.0013481657401150497,2
0.0032500000000000003,0.03013783747691637,0.02958739443664858,-0.0005504430402677903,0.032281431083449996,0.9335966983312397,-0.0013470091219978933,2
0.0035,0.030104268341729894,0.029554433810641233,-0.0005498345310886617,0.032246157665804354,0.9335769133714235,-0.0013458521288294343,2
0.00375,0.030070724099074776,0.0295214977314833,-0.0005492263675914745,0.0322109078507063,0.9335571738135721,-0.0013446946882331766,2
0.004,0.03003720492543465,0.0294885863819623,-0.0005486185434723512,0.032175681672612595,0.9335374843356254,-0.0013435367278326234,2
0.00425,0.03000371099729315,0.02945569994486575,-0.0005480110524274003,0.032140479165980014,0.9335178496359013,-0.001342378175251278,2
0.0045000000000000005,0.029970242491133916,0.02942283860298117,-0.0005474038881527442,0.03210530036526529,0.9334982744331746,-0.0013412189581126438,2
0.00475,0.029936799583440584,0.02939000253909608,-0.0005467970443445054,0.03207014530492521,0.93347876346675,-0.0013400590040402243,2
0.005,0.029903382450696785,0.029357191935997992,-0.0005461905146987925,0.03203501401941651,0.9334593214965432,-0.0013388982406575228,2
0.00525,0.029869991269386165,0.02932440697647442,-0.0005455842929117452,0.03199990654319596,0.9334399533031551,-0.0013377365955880424,2
0.0055,0.029836626215992354,0.029291647843312892,-0.0005449783726794617,0.03196482291072032,0.9334206636879501,-0.0013365739964552867,2
0.00575,0.029803287466998996,0.029258914719300914,-0.0005443727476980818,0.03192976315644635,0.933401457473134,-0.001335410370882759,2
0.006,0.029769975198889718,0.02922620778722601,-0.0005437674116637072,0.03189472731483079,0.933382339501831,-0.0013342456464939627,2
0.00625,0.02973668958814816,0.029193527229875702,-0.0005431623582724567,0.031859715420330434,0.9333633146381615,-0.001333079750912401,2
0.006500000000000001,0.029703430811257956,0.029160873230037493,-0.0005425575812204632,0.031837894482908725,0.9329583910520026,-0.0013319126117615774,3
0.00675,0.029670199044702743,0.02912824597049891,-0.0005419530742038318,0.03182413448497551,0.9323175484539993,-0.0013307441566649955,3
0.007,0.02963699446496617,0.029095645634047467,-0.0005413488309187024,0.031810371680339226,0.9316770883027331,-0.001329574313246158,3
0.00725,0.029603817248531856,0.029063072403470686,-0.0005407448450611696,0.03179660589324172,0.9310370216219859,-0.0013284030091285685,3
0.0075,0.02957066757188345,0.02903052646155608,-0.0005401411103273697,0.03178283694792489,0.930397359440694,-0.0013272301719357308,3
0.00775,0.029537545611504578,0.02899800799109117,-0.0005395376204134078,0.031769064668630595,0.9297581127929944,-0.001326055729291148,3
0.008,0.029504451543878887,0.028965517174863467,-0.0005389343690154202,0.0317552888796007,0.9291192927182682,-0.001324879608818323,3
0.00825,0.029471385545490007,0.028933054195660488,-0.000538331349829519,0.03174150940507706,0.9284809102611878,-0.0013237017381407597,3
0.0085,0.029438347792821572,0.028900619236269756,-0.0005377285565518163,0.03172772606930157,0.9278429764717647,-0.0013225220448819612,3
0.00875,0.029405338462357225,0.028868212479478784,-0.0005371259828784412,0.03171393869651608,0.9272055024053993,-0.0013213404566654314,3
0.009000000000000001,0.0293723577305806,0.0288358341080751,-0.0005365236225055026,0.031700147110962466,0.9265684991229307,-0.001320156901114673,3
0.00925,0.029339405773975338,0.028803484304846208,-0.0005359214691291296,0.0316863511368826,0.9259319776906897,-0.0013189713058531895,3
0.0095,0.029306482769025068,0.02877116325257962,-0.0005353195164454483,0.031672550598518326,0.9252959491805518,-0.0013177835985044844,3
0.00975,0.029273588892213424,0.02873887113406287,-0.0005347177581505533,0.03165874532011155,0.9246604246699907,-0.0013165937066920608,3
0.01,0.02924072432002406,0.02870660813208347,-0.0005341161879405878,0.0316449351259041,0.9240254152421382,-0.0013154015580394223,3
0.01025,0.029207889228940586,0.02867437442942893,-0.0005335147995116571,0.03163111984013787,0.9233909319858363,-0.001314207080170072,3
0.0105,0.02917508379544666,0.028642170208886774,-0.0005329135865598869,0.031617299287054736,0.9227569859957012,-0.0013130102007075138,3
0.010750000000000001,0.02914230819602591,0.02860999565324452,-0.0005323125427813893,0.03160347329089656,0.9221235883721809,-0.0013118108472752507,3
0.011,0.02910956260716198,0.028577850945289678,-0.0005317116618723007,0.031589641675905195,0.9214907502216183,-0.0013106089474967855,3
0.01125,0.029076847205338496,0.028545736267809773,-0.0005311109375287226,0.03157580426632252,0.9208584826563132,-0.0013094044289956228,3
0.0115,0.029044162167039096,0.028513651803592322,-0.0005305103634467741,0.0315619608863904,0.9202267967945875,-0.0013081972193952649,3
0.01175,0.02901150766874742,0.028481597735424843,-0.0005299099333225775,0.03154811136035072,0.9195957037608511,-0.0013069872463192154,3
0.012,0.028978883886947106,0.028449574246094834,-0.0005293096408522727,0.031534255512445326,0.9189652146856705,-0.0013057744373909778,3
0.01225,0.02894629099812179,0.02841758151838984,-0.0005287094797319508,0.0315203931669161,0.9183353407058357,-0.001304558720234056,3
0.0125,0.028913729178755104,0.02838561973509736,-0.0005281094436577448,0.031506524148004894,0.9177060929644321,-0.001303340022471952,3
0.012750000000000001,0.028881198605330692,0.028353689079004925,-0.0005275095263257666,0.03149264942132182,0.9170774493738507,-0.0013021182717281705,2
0.013000000000000001,0.02884869945433218,0.02832178973290004,-0.0005269097214321422,0.03147876972779899,0.9164493944264859,-0.001300893395626214,2
0.01325,0.028816231902243215,0.02828992187957022,-0.000526310022672994,0.03146488301902108,0.9158219938343102,-0.0012996653217895865,2
0.0135,0.02878379612554743,0.028258085701803,-0.0005257104237444306,0.03145098912280774,0.9151952586659315,-0.0012984339778417905,2
0.01375,0.028751392300728457,0.02822628138238588,-0.0005251109183425778,0.031437087866978596,0.9145691999966962,-0.00129719929140633,2
0.014,0.028719020604269934,0.028194509104106383,-0.0005245115001635513,0.03142317907935328,0.9139438289087648,-0.0012959611901067086,2
0.01425,0.028686681212655506,0.02816276904975203,-0.0005239121629034768,0.03140926258775144,0.9133191564911922,-0.0012947196015664288,2
0.0145,0.0286543743023688,0.028131061402110323,-0.0005233129002584769,0.031395338219992686,0.9126951938400069,-0.0012934744534089946,2
0.014750000000000001,0.02862210004989345,0.02809938634396881,-0.0005227137059246427,0.03138140580389666,0.9120719520582924,-0.001292225673257909,2
0.015,0.028589858631713105,0.028067744058114977,-0.0005221145735981279,0.03136746516728301,0.9114494422562709,-0.001290973188736676,2
0.01525,0.028557650224311396,0.02803613472733635,-0.0005215154969750446,0.03135351613797135,0.9108276755513887,-0.0012897169274687982,2
0.0155,0.028525475004171953,0.028004558534420455,-0.0005209164697514979,0.03133955854378132,0.9102066630683997,-0.001288456817077779,2
0.01575,0.028493333147778417,0.027973015662154804,-0.0005203174856236135,0.03132559221253256,0.9095864159394558,-0.0012871927851871225,2
0.016,0.028461224831614427,0.027941506293326916,-0.0005197185382875107,0.031311616972044695,0.9089669453041941,-0.0012859247594203312,2
0.01625,0.028429150232163622,0.0279100306107243,-0.0005191196214393221,0.03129763265013736,0.9083482623098285,-0.001284652667400909,2
0.0165,0.02839710952590963,0.027878588797134483,-0.0005185207287751459,0.03128363907463019,0.90773037811124,-0.0012833764367523588,2
0.01675,0.028365102889336087,0.027847181035344976,-0.0005179218539911115,0.031269636073342814,0.907113303871073,-0.0012820959950981846,2
0.017,0.028333130498926638,0.027815807508143303,-0.0005173229907833345,0.03125562347409488,0.9064970507598274,-0.001280811270061889,2
0.01725,0.028301192531164917,0.02778446839831698,-0.0005167241328479372,0.031241601104706005,0.9058816299559574,-0.0012795221892669757,2
0.0175,0.028269289162534558,0.027753163888653516,-0.0005161252738810421,0.031227568792995833,0.9052670526459684,-0.0012782286803369486,2
0.017750000000000002,0.0282374205695192,0.027721894161940434,-0.0005155264075787647,0.031213526366783987,0.9046533300245171,-0.0012769306708953101,2
0.018000000000000002,0.028205586928602474,0.027690659400965253,-0.0005149275276372205,0.031199473653890107,0.9040404732945121,-0.0012756280885655642,2
0.01825,0.028173788416268025,0.027659459788515486,-0.0005143286277525388,0.031185410482133823,0.9034284936672179,-0.0012743208609712138,2
0.0185,0.028142025208999482,0.027628295507378647,-0.0005137297016208353,0.031171336679334773,0.9028174023623571,-0.0012730089157357628,2
0.01875,0.028110297483280484,0.027597166740342266,-0.0005131307429382184,0.03115725207331259,0.9022072106082185,-0.001271692180482714,2
0.019,0.02807860541559467,0.02756607367019385,-0.000512531745400821,0.031143156491886904,0.9015979296417632,-0.001270370582835571,2
0.01925,0.028046949182425673,0.027535016479720918,-0.0005119327027047552,0.03112904976287735,0.9009895707087338,-0.0012690440504178376,2
0.0195,0.028015328960257137,0.027503995351710987,-0.0005113336085461502,0.03111493171410357,0.9003821450637648,-0.0012677125108530166,2
0.01975,0.027983744925572686,0.02747301046895157,-0.0005107344566211147,0.03110080217338517,0.8997756639704959,-0.001266375891764611,2
0.02,0.02795219725485596,0.0274420620142302,-0.0005101352406257607,0.031086660968541815,0.8991701387016837,-0.0012650341207761252,2
0.02025,0.027920686124590605,0.027411150170334377,-0.000509535954256228,0.03107250792739313,0.8985655805393191,-0.001263687125511062,2
0.0205,0.027889211711260253,0.027380275120051627,-0.0005089365912086252,0.03105834287775874,0.8979620007747439,-0.0012623348335929242,2
0.02075,0.027857774191348536,0.027349437046169465,-0.0005083371451790712,0.031044165647458277,0.8973594107087679,-0.0012609771726452158,2
0.021,0.02782637374133909,0.02731863613147541,-0.0005077376098636781,0.031029976064311387,0.8967578216517909,-0.0012596140702914402,2
0.02125,0.027795010537715555,0.027287872558756976,-0.0005071379789585787,0.031015773956137693,0.8961572449239241,-0.001258245454155101,2
0.021500000000000002,0.02776368475696157,0.02725714651080168,-0.0005065382461598884,0.031001559150756836,0.8955576918551137,-0.0012568712518597007,2
0.021750000000000002,0.02773239657556077,0.027226458170397042,-0.0005059384051637264,0.03098733147598844,0.8949591737852656,-0.0012554913910287433,2
0.022,0.027701146169996783,0.027195807720330572,-0.0005053384496662115,0.030973090759652145,0.8943617020643726,-0.001254105799285732,2
