replicate,index,xZone,yZone,xRole,yRole,pairClass,c0,c1,c2,c3
0,-8,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
0,-8,0,1,inner-core,inner-transition,inner-core--inner-transition,-4.442730959407836e-11,8.885461918805348e-11,-4.4427309593824366e-11,-1.5080536542607386e-22
0,-8,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
0,-8,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0,0.0,0.0
0,-8,1,1,inner-transition,inner-transition,inner-transition--inner-transition,-5.119931507673655e-07,-2.474490700352294e-06,6.484960853006688e-06,-3.498477001887026e-06
0,-8,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,2.119600725289223e-08,-4.239201450578444e-08,2.1196007252892214e-08
0,-8,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,0.0,0.0,0.0
0,-8,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
0,-8,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,0.0,0.0,0.0
0,-8,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,4.54009659728305e-19,-2.0057740190981832e-18,1.3805535515153171e-05
0,-7,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
0,-7,0,1,inner-core,inner-transition,inner-core--inner-transition,1.7545804918198625e-07,-3.509160983639899e-07,1.7545804918202995e-07,-2.6046263128069735e-20
0,-7,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
0,-7,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0,0.0,0.0
0,-7,1,1,inner-transition,inner-transition,inner-transition--inner-transition,2.479317466269381e-05,-4.8580050407422105e-06,-6.466351390659687e-05,4.472834428464532e-05
0,-7,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,-3.066305089928841e-08,6.13261017985749e-08,-3.06630508992865e-08
0,-7,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,0.0,0.0,0.0
0,-7,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
0,-7,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,-3.999345196503216e-29,1.7997006439722076e-28,-1.1771277276969118e-19
0,-7,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,6.776263578034403e-19,-2.6020852139652106e-18,0.00013385327640797623
0,-6,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
0,-6,0,1,inner-core,inner-transition,inner-core--inner-transition,3.857940116423848e-05,-7.71588023284772e-05,3.8579401164239155e-05,-4.0657581468206416e-19
0,-6,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
0,-6,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0,0.0,0.0
