index,mean,standardError,ci95Lower,ci95Upper
-8,1.7927261089310445e-06,7.300001745347948e-07,3.6192576684284665e-07,3.223526451019242e-06
-7,1.7461968898715336e-05,2.1397687232885985e-06,1.3268022201069683e-05,2.165591559636099e-05
-6,0.00020144835514843018,1.6715124519672092e-05,0.0001686867110898729,0.00023420999920698748
-5,0.0015057267428498083,5.0550328370251104e-05,0.001406648099244116,0.0016048053864555006
-4,0.0072798044105609255,0.0001990592570440044,0.006889648266754677,0.007669960554367174
-3,0.010078012380757355,0.0005339812661624402,0.009031409099078973,0.011124615662435737
-2,0.00239424626069771,0.0006690773342297966,0.0010828546856073086,0.0037056378357881114
-1,1.1522768445997782e-05,0.00026600961246678746,-0.0005098560719889057,0.0005329016088809011
0,-0.0003912755428554655,0.0003281530046732428,-0.0010344554320150213,0.0002519043463040903
1,7.687925737025484e-05,2.512633210889452e-05,2.763164643682158e-05,0.0001261268683036881
