kind,index,z,k,theta,phi_plus,phi_minus,omega_sq,beta_plus_norm,beta_minus_norm,parent_norm,fine_defect_norm,critical_rate,critical_rate_over_k2,box_cost,cauchy_ratio
geometry,0,0,,,0.75,0.25,1,,,,,,,,
geometry,1,0.026179938779914941,,,0.74965738368864343,0.25034261631135657,0.99931476737728686,,,,,,,,
geometry,2,0.052359877559829883,,,0.74863047384206838,0.25136952615793168,0.99726094768413653,,,,,,,,
geometry,3,0.078539816339744828,,,0.74692208514878444,0.25307791485121556,0.99384417029756889,,,,,,,,
geometry,4,0.10471975511965977,,,0.74453690018345142,0.25546309981654858,0.98907380036690273,,,,,,,,
geometry,5,0.1308996938995747,,,0.74148145657226705,0.25851854342773295,0.9829629131445341,,,,,,,,
geometry,6,0.15707963267948966,,,0.73776412907378841,0.26223587092621159,0.97552825814757682,,,,,,,,
geometry,7,0.18325957145940461,,,0.73339510662430041,0.26660489337569959,0.96679021324860093,,,,,,,,
geometry,8,0.20943951023931953,,,0.72838636441065019,0.27161363558934981,0.9567727288213006,,,,,,,,
geometry,9,0.23561944901923448,,,0.72275163104709195,0.27724836895290805,0.94550326209418389,,,,,,,,
geometry,10,0.26179938779914941,,,0.7165063509461097,0.2834936490538903,0.93301270189221941,,,,,,,,
geometry,11,0.28797932657906433,,,0.70966764198635601,0.29033235801364399,0.91933528397271203,,,,,,,,
geometry,12,0.31415926535897931,,,0.70225424859373686,0.29774575140626314,0.90450849718747361,,,,,,,,
geometry,13,0.34033920413889429,,,0.69428649036424273,0.30571350963575727,0.88857298072848545,,,,,,,,
geometry,14,0.36651914291880922,,,0.68578620636934851,0.31421379363065144,0.87157241273869712,,,,,,,,
geometry,15,0.39269908169872408,,,0.67677669529663698,0.32322330470336308,0.85355339059327373,,,,,,,,
geometry,16,0.41887902047863906,,,0.66728265158971456,0.33271734841028544,0.83456530317942901,,,,,,,,
geometry,17,0.44505895925855404,,,0.65733009776245932,0.34266990223754068,0.81466019552491875,,,,,,,,
geometry,18,0.47123889803846897,,,0.64694631307311834,0.35305368692688172,0.79389262614623668,,,,,,,,
geometry,19,0.49741883681838389,,,0.63615975875375674,0.36384024124624326,0.7723195175075136,,,,,,,,
geometry,20,0.52359877559829882,,,0.625,0.375,0.75000000000000011,,,,,,,,
geometry,21,0.5497787143782138,,,0.61349762493488669,0.38650237506511331,0.72699524986977349,,,,,,,,
geometry,22,0.57595865315812866,,,0.60168416076895004,0.39831583923104991,0.70336832153790019,,,,,,,,
geometry,23,0.60213859193804364,,,0.58959198738632512,0.41040801261367488,0.67918397477265025,,,,,,,,
geometry,24,0.62831853071795862,,,0.57725424859373686,0.42274575140626314,0.65450849718747373,,,,,,,,
geometry,25,0.6544984694978736,,,0.56470476127563018,0.43529523872436982,0.62940952255126037,,,,,,,,
geometry,26,0.68067840827778858,,,0.55197792270443979,0.44802207729556021,0.60395584540887948,,,,,,,,
geometry,27,0.70685834705770345,,,0.53910861626005768,0.46089138373994226,0.57821723252011548,,,,,,,,
geometry,28,0.73303828583761843,,,0.52613211581691333,0.47386788418308662,0.55226423163382676,,,,,,,,
geometry,29,0.75921822461753341,,,0.51308398906073593,0.48691601093926407,0.52616797812147187,,,,,,,,
geometry,30,0.78539816339744817,,,0.50000000000000011,0.49999999999999994,0.50000000000000022,,,,,,,,
geometry,31,0.81157810217736315,,,0.48691601093926412,0.51308398906073593,0.47383202187852813,,,,,,,,
geometry,32,0.83775804095727813,,,0.47386788418308667,0.52613211581691333,0.44773576836617329,,,,,,,,
geometry,33,0.86393797973719311,,,0.46089138373994232,0.53910861626005768,0.42178276747988458,,,,,,,,
geometry,34,0.89011791851710809,,,0.44802207729556015,0.55197792270443979,0.39604415459112025,,,,,,,,
geometry,35,0.91629785729702296,,,0.43529523872436982,0.56470476127563018,0.37059047744873963,,,,,,,,
geometry,36,0.94247779607693793,,,0.42274575140626314,0.57725424859373686,0.34549150281252627,,,,,,,,
