radiusLabel,radiusExact,sampleIndex,inverseDegreeExact,inverseDegreeDecimal,columnExact,columnDecimal,isLatticeEndpoint,classification
target 0.371,371/1000,0,0,0,7910789372113111192058050001079865330108651604744780569018215416215262045553385860679411193098520096009985011492469257800218478389771359050091000166188877706007785403751574125882750263269339814916092858148626782921868038629901163328220247162572660770859760151107685653688828841145210898510774741517405790137000804728575862260738907454462506823449561731763533526738487681130379258792148484787810349841360309862442866640889382074050378847092569615397387927507777537488557723163759863357605963177/8054049230361834136703117110001210879692661969181787003245489606894404297723391705866109055480180022167873252565659381357198247343166262147070220431590978674009283476820368094407925188198616429945633638244430947834141017292931072000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.98221269151066670222,false,presentation sample; not used in proof
target 0.371,371/1000,1,1/8200,0.00012195121951219512185,49719281932320789245164631950435624469114144075750720964383188199661580689984708244658188641160595524151003979595074085563685452775894520075780544170503492973641397196499279807533930536331964728166714297559500460269289691413866949141655236245119255145623702203014880146831133267033198764634214859180170637391566152906373563246960527851396582839454052953109848367918568087619688035586639166154033435280887625045252849562949146250566130484651220267127854927080928983919403202511458246934746347764264575071389678501821659571872447266377438346922365317846132621587130049015731425788325858025968878653952103091522399660814535209838982129513984422742165640289/50611920648651861016977258703070078607212272441001653904955362082842390226455351224137860687782614437361201106694847949659985873027743927090126089273849499989727596102893457359452118583558237897801041217451654523372123798576910696010280851297344099523226942263481918752326841415894014194479475757903994525255906477702851283573381285810721956007955738209261313774673455929664796456787116032000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.98236307366148434284,false,presentation sample; not used in proof
target 0.371,371/1000,2,1/4100,0.00024390243902439024369,359237164071639550953090067873655104856926441390019767404094303421611675254194646120996577252442228167532329329428438883128462896368150232526556243088477813106688376315339466638132941406541026428283967306467970775616720353236892945185710424864616320035413422444757140784653201017573190841808077709744209035004523408724820303165006770883129209452795697626512282696340939419007748315432711155923390918127283279088238673767377561130322083325004265784669564576899667181951466308248415259998542026281834492456598319470151215359667494501589362773498741895647293002330312454145115405721082224740218779193535740664672828612910847310047513931065449/365630784741625049078570688860053260020298218315490415251266773447208053111783735800332308250997595971060607536367249881587741040052120633392938545987447342175381120854653747448030399167935586688631577612915786127939180870338863607067706914863052012499253216436142282960600542147337660349319344480955442459114753059281823234954613643372055202112596179565328798251323685339136000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.98251345089964570167,false,presentation sample; not used in proof
target 0.371,371/1000,3,3/8200,0.00036585365853658536554,171297275867281828709621823334131876131681690959756898935571119984285093540128407812090104841134780456307614670054317379865968753002250984576339792869243090479825837657983006037556894329067995951829404745231792120970270886516311911800709664881656234928227029095556099590181025323710037767299509320387635404405673841431982440996222612073481417498992000596359844507619895558592988873278803227547109089299119194286541284040333146876717185489460266996895218208645873463555823744685170266415658315364772932451776941204950504273433895369995428581670016252216497443953792490141445978003579964352467577525102000425305947676798489484178556961583927127662937392326290387022971801791565159/174319306172749230531698651538248360527856683331294253039252756248817026638428377488540396635140737737475868114592742724817262801024359311008924989049882857661273995569192135392288243031729062820927032918035250605231957076912548549049563564548979301888476461774553201853547544688537138923662600942488542530152206183278440706827034404408174419956632337107389973936113259358158071432495979411580552906644799486951424000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.98266382323440071289,false,presentation sample; not used in proof
target 0.371,371/1000,4,1/2050,0.00048780487804878048738,5475979614817730400668280132452227209743138608184053972265076420882753870641083088361969947069215370385873958104832674874572771427358785678239313172419870787965695729501297529344416795531583332257090692642514335780519137394502895978132273428344571330596064131712755013992651779990908168853200984900068278320427962887066890818541424769919922406558272682714156051034770869442691109200715703234784007057803403370858330495972789330108183120302509772457684670532590380916075459458026391758388822475633074931100604711995907439134314745581375090778109307350634792060788692069322452533066751565340867435054176624961269/5571734379472968313137346671453183844766278885205176788577489049120149719663265778361617367927292734799287012031870329224213064579800100295950006713698354288867712704561315657182295139520285287648694139859656649230668220632171796126189695332772997196681506261029212006915360628220216883773311473055087003209792599106905734883544105039322811465728000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.98281419067498776432,false,presentation sample; not used in proof
target 0.371,371/1000,5,1/1640,0.00060975609756097560923,24696229933312153146519144786605404076509301050890943887106922871178945076670861003936738988386327657038249380158572731063199049575672610261532953439888212844173034629744226788296989614575183639269908089953230355305926919985149101710822957442657665064957603309193089126732704714204003981298404626979579780505681091240195427814711567794947069379245724647118670298819118049142018008468538838571342876958063380206463287192004844998406811421926822378071346236712981458777400710345014935000709599269948036779035923364920226336891063091517239947519708592611828371962693136302059242177987560751359232239/25124232457971108783232265350107221415000275465396772668631526809098942244726866288394927704542770442175023597711966817333764160658293489892107929151000965945066746594003665459760826557526567636085859300634081902462402344270741924209894764496118650314169491753532438818499649360623610320246716057306312513837253450845689652151163289600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.98296455323063358644,false,presentation sample; not used in proof
target 0.371,371/1000,6,3/4100,0.00073170731707317073107,253232270357212995190053064341587155462673362981393664752652443205140287446433688467984100240275885460958326236596858341761582287038695046552835506853994483091445141266781286256866226260609896472983200072953987765181279766133651439351418476255653810302066263528972544789578232286490875270584871052947383485637875758202371974200116640624167680764947225175021426434025070073178835106983627758085045780774843532561490709294241348078891633013423785406069053477553091481456154738198145412447900359328589863476492712211986859872706273420782017129426359332666648021302343523615170461865935825012459443601507464244664279363068194239688790651629045590611736649551311/257581557910327322950272382441862108505321170187463616771355503262668247141689209508794692160683884208946765836890942548551557379188353127889330942854773856175613504043105909830917725275240672419396499339090785319513423746668098381484681132054655511129717644257690693887059163185003291617123748752645430451682532558849979723394199000086305861234873384446105718134253224265266644239223019798528000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.98311491091055336344,false,presentation sample; not used in proof
target 0.371,371/1000,7,7/8200,0.00085365853658536585292,1324910453686660564998715274350550602303126242152677717054484369169645317615348197760836763388023033459627960985604358955379019649321885053728165855765909204246701156978554938920351025244342222068218883997082859081724155427262784251314321497232268212007034662521164596466772596952359977020121212566687526989136800305999861288526521732738316785439353717007497704040165715825664195067531215001395748319029667967213899447698384256767796567008901727477599702585962310011590785022397212832013662409619203230942959359173515970781974280318595193950297950399757033551698846292042486339483082468801533693568223239355202274744479006115364421017507503261623232983422649/1347459838730380979420490219892206953738274324221727235481139016858818802901264278794747020212484543556552417048329522033236533341354308030310880905389780370133748756323273979429349049108825115317184146180468301831718861247004728666840619051203946959122805807107932303172619219304642659613881793460396249808061270872638997776191712945895899602632160964046020298301013742477937738525016007376896000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.98326526372395106623,false,presentation sample; not used in proof
target 0.371,371/1000,8,1/1025,0.00097560975609756097476,68810576442039028672586628992990970585415463158663021399178915091991791756734629898202641598181690912299339455789078424137868566539291496811221431858926289164572217713391245926534133899346538624889771144119487982905727827448415209014295368281476726398591698496503777809884237076838232645813686053521445803738542226447474404476654738664779324531844007950477625743485878759164589410437815300809463332814035896262997790718342860671542588962441599722361856659848710198450170340429858065401556346474687604776790085726327524694355486067941557614297454457562326450528321169264758339034203191/69971002722324526064655417428136329739388396197825732878487638229848539873861359941869913605972281753387929995305809622786890415724627274737850319547476673997577857803043610535983065704399315545940543049079787599624688083943783328828942081372599760663179954511248253233610014382239612936805914542414790057272602857046016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.98341561168001867532,false,presentation sample; not used in proof
target 0.371,371/1000,9,9/8200,0.001097560975609756205,284933958232852108778584448153001103537144240160480430714850107646145865447404116149538754920249899109901393241071303910372307549820754458392020079927014152294915933826797945775249561196309771793546821211847696427541818491378284991189241019210284183002595903653540323570367464143439084710744680320867841264759954556622971038879105892597609465502524459180175462350817995586209901929702004581315933648865061045829978502069529966101938926833143337611588808997590314394079715902590859058958181708339930736123230519699399424985853135368037632639225082995172325565015419903253434516713202551760529868170583781004954484946438636565373200704518605135258837528441680597295467870207739/289694815935638569941180256572361765782374314813407417833956373249582131076975150645990244686425971382350151650098994215869256030703799302010908561270849117024155658654819964677054272478607392802001227668919808826327080748297396792808194094711433536097484280218841327570975601466922214027171692271561565478116363425803698563040836049962296912272140814035123845222243599757058534703276831270469367076234889003008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.98356595478793729104,false,presentation sample; not used in proof
target 0.371,371/1000,10,1/820,0.0012195121951219512185,467759074283676278200537029895011307764093801344394332626957628712242270282358670692182924842292778316954785955477948995591957311066517876945138734425894587719017516301954350925106004261469146921702395554532238961701547942407423550278446344361024999186903290617960879723672380925610395546042912714819762186412459579003415329536587017132582122317719002927844545892904370708030111952395269290727225214465636094659552195215112578225236672282661795018343742320353631334399890784525677063410529900569967186506583343198469013136630729251612365276653032567905758443863976606230795254561/475502009659843575055900032520041339933515610369089187270863950835918381695911453152589999545853497864281512469236880075794694034914675572431140438628631720554917964138366490382762607865826651736553518875496799245594634476357070344778136273116448127158900743353961611411312631116024374082319370400648965383957302476800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.98371629305687624534,false,presentation sample; not used in proof
