control,radiusExact,radiusDecimal,series,boundExact,boundDecimal,passes
entry,37/100,0.37,exact s=-1,5762517934049516056223385293773369098377644014897566032925689022025988942879006805750126100698381614451746030971587627860929438265149853408470725143969500745190105414156265426484907118765374916939297258661407288586531012275100014920126977207200709007778481353540943863002221628165210763851860988858546070504597565680756374985374504999571630275996470325976050021542285429579447166451226543658295979635539367908346576048344356311706757/5800774647689784492723790624849993155350128791710477712622101277410510240230782756735056769792243337308791818860221439721594186489278077668434569396912326261553311146819213236721713901879477460937120322053109133877698134326309703211953396843865859686400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99340489573138224255,true
entry,37/100,0.37,common large sector,3680374552847396281190575416753124196482980686746712698878356454932820727554536524288654584337571867952113013960642360929443275102009853872048567022650403820349236622436111510504654489891003251163882577833800618604940180090623330096237661666629029212299492959913184592877102925307925456209412645304981766425254619752783119250249191907740684422693693491478039569415277393414222230697886166157075114846545683/3809071634224353949867089928801982933198861072053229192481075036946788990461699252495191935149210344493452685551684733236440496570039822644314817315512450240941473522984821531176030334134143866403583541931376123211415552000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.96621300575693569446,true
entry,37/100,0.37,canonical stretch,1346422343134075015378618175150160961252403110028745282131452585559867124917931947310788891216519369941461161012974824984800327961261378556119968119546564216908249088870487219289653455754812966921944989615136131245086382799608559979540017556643136763369482537011099600047961479560843367932731423996898535767566005716633427848992070773079168850287097159182636460935373210653600900285224462779322730885732215051423786496165307125470150647958609/1409588239388617631731881121838548336750081296385646084167170610410753988376080209886618795059515130966036411983033809852347387316894572873429600363449695281557454608677068816523376478156713023007720238258905519532280646641293257880504675433059403903795200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.955188405741850044,true
target,371/1000,0.371,exact s=-1,227544732499859826870715509514357682829058087354982269829356284789141989996818256892404923361046829075701142950816801728566578000023340283014627130030901045293497294902368422434737840571840254459631187186079514863277209182729002582294313067038794165894860132547834281581433761766847419019592393108750872229329189661378529030605746163428081244914187496084298233557654013838265129650609578136869170660479422112981123071369902001631681525006232077026755478987201816218813276173014954712766139121702777/228177230374896895549160672400225107595251402550489599852731095280864364019442110054325201635554198187168209199898466352770069686663557756735880798510134293170606180671782109994449504278875272797322908512638973049330646693137702977536000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99722804122918895509,true
target,371/1000,0.371,common large sector,3981908003895378713574455946965248588877202340990037438712626111775701593494222502899864346715778126104878534525606788849896967850043130366203823579975058147804056121059099194175068694711350506201979856944385264291958993159329064249954001646382831776514691534949378751437330551456026979809969032372073475000359240822712397460654218418442401084151425413666495532388549923112007777668006872303447731744420528643011077583082688394954697110714211434902958327340810576647491/4099137422363711287312352514260957471092261538594071302255961407388388293294004036656169196531106756001770693081626961681016476387636426167170756605674998679623257110575076319116603230206250753007707750400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.97140144220860646929,true
target,371/1000,0.371,canonical stretch,53247237551842574457187115148348260597335097167069134486954059810613194399269587945190461935505348501784820172583592303057586249560651608067044942434485933388840522452720508600353904864885793750677164428107304083869694327841730360281525634513523285630351508923896022037549854783455735602000941426964389703995329750682223449167273108851050447392327043029047553334538381630955304554967094591049376551651876424179347820122516520873834154787193379614620403996233473858476728569408242846114664355401993246447349/55447066981099945618446043393254701145646090819768972764213656153250040456724432743201023997439670159481874835575327323723126933859244534886819034037962633240457301903243052728651229539766691289749466768571270450987347146432461823541248000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.96032559431850161857,true
probe,93/250,0.372,exact s=-1,272809778195707272477463137148257513778249797628965610383831970837998092966684181000637684531673473522454078266155057454639052501394036179679917965572487091352979808504638122358698258586650576905126736644542429159563337152765818113799545285446319256455153979003205146975060539165090197230286297573896966343273418429734511703361332074014978404905547663003463774896282311705443074726290522658404301193127744805705638735172533671535810804516117431/272520456405278561822415257213184705153302978867369528358223086450031616157346657410881191486158809756561447069675345428426876340387550325795253674773843770358140008076920745094586560758712851398086731807502673524635366664230095719933677942432029501010348759848511690506711602210998535156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0010616516434951428,false
probe,93/250,0.372,common large sector,152281957161151959539587915485090982250900714473124898088750083754154792121573461452265312373678169554839493396865792719597659557055494041979003986224398288445548154112163375779464662172884271828253572311183592997558149919631472725715403133029800862950162936540664399758511103675481115466941339867430125331308147748261151192825325750527093042052675089074352394133913779767691709098980478605360032060620549211815103557/155928522160029680025482586256177650537527441902162739399155373543486394079887410788915008939307455989357234836621486514557154014731037408580390889627561610492472694191263881975480786321563834117178846561940029345861105126991308367223609820939600467681884765625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.97661386801873717456,true
probe,93/250,0.372,canonical stretch,22051179114151331653815046779368446783450448391229348389293097763169853801338510649517712394997482366008946611486723526597767427485719756969364910243847266093416203366096525122401902650181425443853535524607715859989241537066588319716559548127706128422606721536307922628630125640689556215918336737071977984138231002840337752842630899361041085117954064973840231700596416665320043132723/22839446699560722904140387148020804344827675414121546142436736085858472999028837919946679715046349652211149665278435421672901396054981600440598111689707328009117356710341270543989539142397306864529227254934085067361593246459960937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.96548657260490677867,true
target,371/1000,0.371,R0.44 inherited s=-1,228372662442228005677118971577897979733842421847075120845120632452024951358932148350630250458660361305473963660579845015000124494555086157803449095582099272995042033765271702827931102983162863064313925884030479175070510042678248157555216986602200308795793902678645938506254021582325974501758588988866316135443398137854442720641071798552161638159887655495103840578599949642446214483472392574935956055291014048435095264078780163864569763888679037481724298577621606809301556609105799853695879921702777/228177230374896895549160672400225107595251402550489599852731095280864364019442110054325201635554198187168209199898466352770069686663557756735880798510134293170606180671782109994449504278875272797322908512638973049330646693137702977536000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0008564924160487608,false
