sector,boundExact,boundDecimal,passes,isMaximum,classification
s=0,747759124814161963023713139832640471455295245623637990350718911308735315380918812598113557410087119038947444655651101967200515424030700914797069644240067656924590019188258718273725101619223808377992871016667419995860914944481953608474315464064793678583974883852105845267909175466407496585313759476338461220687000872395793371158584551275941800468752724350171981574399923564698091499616329516073318184722973161593686141493782064111673186310534170621604589122007096847371069838558883958480873542429635884405365316591739536967798191348983088969228932709874017224095523979871198268932791984565040016769460794011188892376446203226010875217653/971639107641662110051613692134798352159922112069740255210798663918354048118212245077670745816789786480525136477623079003719879914911771414758084921535524755977703527092464561218820061998986836144056623842946152080912725068628787994384765625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.76958524922808424495,true,false,formal all-order sector
s=-1,606659552755339408987663718161914372863837537669806604869310534906688926478756191199717994167905098508851264481745975843304192033291689210567184121105529511538168023564610813848351163907712311835529144395990964479778632990986032721188418878966397277293553089552792616363928864749187417506930115971756262204124979293057582583958760720086910672626761349143378717921949011146355404879577432759259666268837378394172699143727926296720937797182734925774139221563177356118414706347474640452868474941322400503359660946159856726661219490034453728433198089594117329351560960283713883006451411027339412048290851975903329438537127491580201976403339781909740125909744071556207523468801823782873612930771/616452858876051714306663056197318293938619511751734863967657952351062771253468294752992614384710019551779428742536206853206523338601093706363783855107797559700614310609014724324518666013987160021861311807359921618648508433439018286737632633486936490111677416914304217243625316768884658813476562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.98411345493868263024,true,false,formal all-order sector
s=1,2540832840885423141795385091274543742988718359842581768104609580225188604076832303241121133132641929417497725467825222655194292894323404615820270110589072690558250964742219518600364503094115159794277185605732761685771216683982172890000279448481203439423372431132450327245434836439929541572083936157823221554446485521497158907192910874020510219105219893712262855377621546363289080576530176900140714304463015792866216935215943205166340761737156939903324192831225147865360714592461040752663757401494762214914144849225352436593360405354230969981394658383137732229849774490871658243104181717856122000522598192591752983143584498030912972286589557233423630657190290958514675943032807974597279767639/12479411533344461533525130162043272779733029140339998465686734157350782930253138649877655364373397956779925020885489065564912545635095311616632697554621267671988045800133712711935377872966081532149875336588017925450689317067180126292493538677906275287626640391192012202736805193126201629638671875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.20360197546947025882,true,false,formal all-order sector
s=162,47270470896096045285954163884292245708663341927149282511904946855056770886964251549437935985946756498030528496219002972505394953593683070440217843602265492613039270552680808356500831778581890133110515475999615829088666483291740771067350166389073197504808086436435732604672051832843900476953552537233055519140483782526165205852025392361640451152502109196619038991174065142370665694672920697527301621640222181893684050409310167538110921833015636916573725613685599858082591719011396034519577573243526381217655388462550131213309157177826019135742492307513022299987907532971472596639518056747642666129348215210606601545546104688831577082246960761623524826850563531401069137789423744532408330208348380135832460742667139727598483/47270596206541107975163533603808597290415392051849076577934653280770992652963559315689461079642999536502657482756816126603753687081701096184339560857022356122221169417191849430874607905433169698008860019662027619684573277139509989705509758974731885538466284051107431807448641145161672555419229979634110350161790847778320312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99999734908261961319,true,true,formal all-order sector
s>=241,452825257813261021045620530068323379046135654780196204659729429724888832921832115279379428032861606483271063494764880908635518204871971495591576358584819327288944681011900091070456166290483457800236427310811689335169015051868807576976453554701038768351613156290875973187770018742849733174796093474243470461152978340824737573702448928729263809287855608277702147326460774080575603971560089313296734837542352439995176184783681286865989533407340610094342026115720056669145134247233680125879880621324478468588109777401736332779682105216583588652745246771970625480427202384000463720950478808052249029274506926746242871747326374819935269278965296761477653870359413744543421128806152454609074834569552040512041476267368865862866242694693796763545687/454125380354089304481141829730062702646165924718864630971903209852516545091490461180497809488016580482130815509277786078380522872850607131808961160383979477900408123959801343718704205493631019572570556747062016487922542077123707665360402331301130052140732961375654196149921346039849390139207823299287371428267778838971935329027473926544189453125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99713708460906858022,true,false,formal all-order sector
