branch,expectedDerivativeSign,interval,bernsteinDegree,bernsteinCoefficientCount,minimumSignedBernsteinCoefficientExact,minimumSignedBernsteinCoefficientDecimal,allPositive,subdivisionCount
even,+,0<=y<=1/242,318,319,6836149547514391229960936409185941332731854544600142062913232516574033539901745907655036782109231015548123395375251727012355718852450623557667523467869270538181324700854499414462335687106559605788690837470667683251333676362337097967053897070518713221400208131187714422791079600223179995988746796528749956037639743893419230678991513934093172275606714120392997889647213249221144756187070536553198656638635289868568014832170165387082215632164777074365654991081141767127703665309810260155977540451653252667926800984837099485232174584363372613502488634111033661050255423564278564673454392461215228427474196302698989826818170535136361/4803290089849261610639174188361667215196146449513601203417963265101053122557728344231116680532122348264088539115197396617345842715644863765064722774585887417990946721676186651715668842589067072824243753714767990459222346544265747070312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.4232222954764169712,true,1
odd,-,0<=y<=1/241,318,319,4767711922086214286512790170071084841748061626471929998820755963386323206581197564267878378927872794819546282984968964708670305913736643143858982218322230750072819247525695043344637969202644758687441546218270803745194379079045507375901067164485421617804292985310835053380789951656314244179853600530118485066158291394075898838852368097529101430936499091510527770552382248572387889066424326273689904865331930288229998517988314727151084983047546291127781436011523931223323773848527112916861004831181697613292677513415613043694055659252425862093493993117874656309997842609260882651844940906899286709524844577526159844678608685359599/4803290089849261610639174188361667215196146449513601203417963265101053122557728344231116680532122348264088539115197396617345842715644863765064722774585887417990946721676186651715668842589067072824243753714767990459222346544265747070312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.99259295876419492923,true,1
