panel,row_role,series,index,x_exact,x_numeric,y_exact,y_numeric,context
B,asymptotic-reference,total limit,1,2,2,1/4,0.25,lim_(N->infinity) total common work=1/4
B,asymptotic-reference,shell l2 asymptotic,1,2,2,1/(4*sqrt(N)),0.17677669529663687,shell-work l2 is asymptotic to 1/(4*sqrt(N))
B,exact-curve,total common work,2,4,4,"sum_(j=1)^N U_(8^j)/(4*N), U_M=sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2)",0.24945231789869435,N=4; M_j=8^j
B,exact-curve,shell-work l2,2,4,4,"sqrt(sum_(j=1)^N U_(8^j)^2)/(4*N), U_M=sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2)",0.12472701961764518,N=4; M_j=8^j
B,asymptotic-reference,total limit,2,4,4,1/4,0.25,lim_(N->infinity) total common work=1/4
B,asymptotic-reference,shell l2 asymptotic,2,4,4,1/(4*sqrt(N)),0.125,shell-work l2 is asymptotic to 1/(4*sqrt(N))
B,exact-curve,total common work,3,8,8,"sum_(j=1)^N U_(8^j)/(4*N), U_M=sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2)",0.24972615893086911,N=8; M_j=8^j
B,exact-curve,shell-work l2,3,8,8,"sqrt(sum_(j=1)^N U_(8^j)^2)/(4*N), U_M=sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2)",0.088291887252001988,N=8; M_j=8^j
B,asymptotic-reference,total limit,3,8,8,1/4,0.25,lim_(N->infinity) total common work=1/4
B,asymptotic-reference,shell l2 asymptotic,3,8,8,1/(4*sqrt(N)),0.088388347648318433,shell-work l2 is asymptotic to 1/(4*sqrt(N))
B,exact-curve,total common work,4,16,16,"sum_(j=1)^N U_(8^j)/(4*N), U_M=sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2)",0.24986307946543457,N=16; M_j=8^j
B,exact-curve,shell-work l2,4,16,16,"sqrt(sum_(j=1)^N U_(8^j)^2)/(4*N), U_M=sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2)",0.062465905409511663,N=16; M_j=8^j
B,asymptotic-reference,total limit,4,16,16,1/4,0.25,lim_(N->infinity) total common work=1/4
B,asymptotic-reference,shell l2 asymptotic,4,16,16,1/(4*sqrt(N)),0.0625,shell-work l2 is asymptotic to 1/(4*sqrt(N))
B,exact-curve,total common work,5,32,32,"sum_(j=1)^N U_(8^j)/(4*N), U_M=sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2)",0.24993153973271728,N=32; M_j=8^j
B,exact-curve,shell-work l2,5,32,32,"sqrt(sum_(j=1)^N U_(8^j)^2)/(4*N), U_M=sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2)",0.044182121210479638,N=32; M_j=8^j
B,asymptotic-reference,total limit,5,32,32,1/4,0.25,lim_(N->infinity) total common work=1/4
B,asymptotic-reference,shell l2 asymptotic,5,32,32,1/(4*sqrt(N)),0.044194173824159216,shell-work l2 is asymptotic to 1/(4*sqrt(N))
B,exact-curve,total common work,6,64,64,"sum_(j=1)^N U_(8^j)/(4*N), U_M=sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2)",0.24996576986635863,N=64; M_j=8^j
B,exact-curve,shell-work l2,6,64,64,"sqrt(sum_(j=1)^N U_(8^j)^2)/(4*N), U_M=sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2)",0.031245739048138686,N=64; M_j=8^j
B,asymptotic-reference,total limit,6,64,64,1/4,0.25,lim_(N->infinity) total common work=1/4
B,asymptotic-reference,shell l2 asymptotic,6,64,64,1/(4*sqrt(N)),0.03125,shell-work l2 is asymptotic to 1/(4*sqrt(N))
C,exact-curve,normalized polarized operator ratio,0,1,1,sum_(j=1)^N 16^j/sqrt(1+16^(2*j))/(4*sqrt(N)),0.24951314462072213,N=1; M_j=16^j; equal high radii
C,exact-curve,root tent norm,0,1,1,sqrt(N/2),0.70710678118654757,exact root-tent square mass N/2
C,exact-reference,frame shell supremum upper bound,0,1,1,1,1,strict support separation gives shell supremum <=1
C,exact-curve,normalized polarized operator ratio,1,2,2,sum_(j=1)^N 16^j/sqrt(1+16^(2*j))/(4*sqrt(N)),0.35320778316941132,N=2; M_j=16^j; equal high radii
C,exact-curve,root tent norm,1,2,2,sqrt(N/2),1,exact root-tent square mass N/2
C,exact-reference,frame shell supremum upper bound,1,2,2,1,1,strict support separation gives shell supremum <=1
C,exact-curve,normalized polarized operator ratio,2,4,4,sum_(j=1)^N 16^j/sqrt(1+16^(2*j))/(4*sqrt(N)),0.4997556149071164,N=4; M_j=16^j; equal high radii
C,exact-curve,root tent norm,2,4,4,sqrt(N/2),1.4142135623730951,exact root-tent square mass N/2
C,exact-reference,frame shell supremum upper bound,2,4,4,1,1,strict support separation gives shell supremum <=1
C,exact-curve,normalized polarized operator ratio,3,8,8,sum_(j=1)^N 16^j/sqrt(1+16^(2*j))/(4*sqrt(N)),0.70693397483010834,N=8; M_j=16^j; equal high radii
C,exact-curve,root tent norm,3,8,8,sqrt(N/2),2,exact root-tent square mass N/2
C,exact-reference,frame shell supremum upper bound,3,8,8,1,1,strict support separation gives shell supremum <=1
C,exact-curve,normalized polarized operator ratio,4,16,16,sum_(j=1)^N 16^j/sqrt(1+16^(2*j))/(4*sqrt(N)),0.99987780745352972,N=16; M_j=16^j; equal high radii
C,exact-curve,root tent norm,4,16,16,sqrt(N/2),2.8284271247461903,exact root-tent square mass N/2
C,exact-reference,frame shell supremum upper bound,4,16,16,1,1,strict support separation gives shell supremum <=1
C,exact-curve,normalized polarized operator ratio,5,32,32,sum_(j=1)^N 16^j/sqrt(1+16^(2*j))/(4*sqrt(N)),1.4141271591948754,N=32; M_j=16^j; equal high radii
C,exact-curve,root tent norm,5,32,32,sqrt(N/2),4,exact root-tent square mass N/2
C,exact-reference,frame shell supremum upper bound,5,32,32,1,1,strict support separation gives shell supremum <=1
C,exact-curve,normalized polarized operator ratio,6,64,64,sum_(j=1)^N 16^j/sqrt(1+16^(2*j))/(4*sqrt(N)),1.9999389037267647,N=64; M_j=16^j; equal high radii
C,exact-curve,root tent norm,6,64,64,sqrt(N/2),5.6568542494923806,exact root-tent square mass N/2
C,exact-reference,frame shell supremum upper bound,6,64,64,1,1,strict support separation gives shell supremum <=1
D,signed-bar,signed output work,0,0,0,3*sqrt(2)/40,0.10606601717798213,"positive field; sole output k=(1,0,1)"
D,annotation,positive-output square,0,0,0,9/800,0.01125,positive field; T_+^2
D,annotation,normalized positive coefficient,0,0,0,3/39940400,7.5111916755966388e-08,positive field; a_+=T_+^2/||omega||_2^2
D,signed-bar,signed output work,1,1,1,-3*sqrt(2)/40,-0.10606601717798213,"negative field; sole output k=(1,0,1)"
D,annotation,positive-output square,1,1,1,0,0,negative field; T_+^2
D,annotation,normalized positive coefficient,1,1,1,0,0,negative field; a_+=T_+^2/||omega||_2^2
