input_degree,input_charge,exact,decimal,all_order_bound_exact,all_order_bound_decimal,infinite_core_exact,infinite_core_decimal,classification
81,162,13140228544483888765303192366828554043024443909622305709225432667249469864066623518363307003106451257497278942502509279151744627561950143596439223048379547201582407718550661800230292038783162125993469899061210585925423058526560220090209218234012150537107936679203683634947128524227845486705456367689937974713368257552470222568392268706680112083488354920482904320606291611466114985071891917467136625625994260200512049/22427631799152207908321455498555027114052691133106509517680254320462750382547319585063083352695628436307226119412096258426095628347282837959889795313001834601126427698309649408251641674703357216460016384372311987326670906958388954316742666351768253565529360266626403007081608989488691640424504731706240591572696078240096911200111001602097227003578980760396607742654167368546578962539610112000000000000000000000000000,0.58589460814050842163,17897651310577691939807215783472227082768338703946985362592267922510856338201207772149909874141447331059148942638557302274766169976795472995564329676939205344340762419095058861352316131842632085722414996418551494481562407554773848601365724194184336855427663699700063547227180953065437244789253040137406000320020387298462947188004426665071159104770478125849748503919611904413387055980560049758846705222098705749/30544484721418927990513162521117927550315876516144773273173059034132906188230734936517907532345672072591045650906155665662454274518067975159698504160018331044694740623735991013468889329254769571488648530479048769323107680799669831009390926652342073893314192754389889900401965169091344028960787728934656407380916790238853439693497876835629316802614742115920658061149572089793316755865600000000000000000000000000,0.58595361728355477293,622186658993037698372790896419069002260531234801092003427763468030465380709098180024024983019581866584690612100256240257166581723718207754069109095898281026063252490449777525624246858107511208774408514959563027826365119074735867797198733110060042180987234526521798365948207812044306943891936333742614392104341154165633422770503378912020340701948099621054242305716903658519065981449514203303192225346464219509/1667490310440102316832815180775375663787641509035816844430462710741785574746473728925945315509984663760354867970495083758724339982464177649155839841052810845228409271250695698710244248133154137773070936798767164714622079827791277451769014694343256038988824670470993729291064872750592003697350958999285370669552406195245705815399259777957498162109862205112361450000458542720177982668800000000000000000000000000,0.37312760086073504251,finite exact regression only
84,162,5312748702882228219846888501521037476182517787420252451499253523000538996395759469742175164922066719872181914401360663921550946715431969854751841513317613440153209204241246675685911618588440139183525701514330513129811491431106443678732931330982529236993654349936238787172757518541144392021366130313361875958186730185747643144274127529143399798277899566014436505364427623524948349270260007042591759352318955088651254331/9298562336591801507737027092885545393475992079853539195103462705903343785471567190320096384488891547207458105852010318055333074531131017362657343533735894137986082748245373572445842492135565713936107483981339426560878131880055402927121402633562558910961287696946871382717132376512987475605743970199511343378896866231630651891810882702949516505416321264002261129536991596701714639924888181145600000000000000000000000000,0.57135162518354509764,17897651310577691939807215783472227082768338703946985362592267922510856338201207772149909874141447331059148942638557302274766169976795472995564329676939205344340762419095058861352316131842632085722414996418551494481562407554773848601365724194184336855427663699700063547227180953065437244789253040137406000320020387298462947188004426665071159104770478125849748503919611904413387055980560049758846705222098705749/30544484721418927990513162521117927550315876516144773273173059034132906188230734936517907532345672072591045650906155665662454274518067975159698504160018331044694740623735991013468889329254769571488648530479048769323107680799669831009390926652342073893314192754389889900401965169091344028960787728934656407380916790238853439693497876835629316802614742115920658061149572089793316755865600000000000000000000000000,0.58595361728355477293,622186658993037698372790896419069002260531234801092003427763468030465380709098180024024983019581866584690612100256240257166581723718207754069109095898281026063252490449777525624246858107511208774408514959563027826365119074735867797198733110060042180987234526521798365948207812044306943891936333742614392104341154165633422770503378912020340701948099621054242305716903658519065981449514203303192225346464219509/1667490310440102316832815180775375663787641509035816844430462710741785574746473728925945315509984663760354867970495083758724339982464177649155839841052810845228409271250695698710244248133154137773070936798767164714622079827791277451769014694343256038988824670470993729291064872750592003697350958999285370669552406195245705815399259777957498162109862205112361450000458542720177982668800000000000000000000000000,0.37312760086073504251,finite exact regression only
87,162,6782565165816565768581776656339260659023994575301794659031679268042861977226634723817161247868059760517936550817291680665316523392797383812273337877629810793841242633263575388131972505303479918006929886836158435609304385148255615961561966002854261614395578620220836149701297631593144153632755620176246023625404481088930133286731935457774317828323286797081608988415618990545132286390099566393473588499405911471977959419/12159005891276520931271362570238829068950098145384549696465319992552565916760951026126602158314379448959730513909638496803999278332620575736275581046800730787779594462606820146120866711287957706244458030967613218190107110924852930240705932493781542221924109305609371090099091378323442587794846133820504028899118148737742959230462980103915590574436938731708069366581032839847704940257956436377600000000000000000000000000,0.55782234390417706482,17897651310577691939807215783472227082768338703946985362592267922510856338201207772149909874141447331059148942638557302274766169976795472995564329676939205344340762419095058861352316131842632085722414996418551494481562407554773848601365724194184336855427663699700063547227180953065437244789253040137406000320020387298462947188004426665071159104770478125849748503919611904413387055980560049758846705222098705749/30544484721418927990513162521117927550315876516144773273173059034132906188230734936517907532345672072591045650906155665662454274518067975159698504160018331044694740623735991013468889329254769571488648530479048769323107680799669831009390926652342073893314192754389889900401965169091344028960787728934656407380916790238853439693497876835629316802614742115920658061149572089793316755865600000000000000000000000000,0.58595361728355477293,622186658993037698372790896419069002260531234801092003427763468030465380709098180024024983019581866584690612100256240257166581723718207754069109095898281026063252490449777525624246858107511208774408514959563027826365119074735867797198733110060042180987234526521798365948207812044306943891936333742614392104341154165633422770503378912020340701948099621054242305716903658519065981449514203303192225346464219509/1667490310440102316832815180775375663787641509035816844430462710741785574746473728925945315509984663760354867970495083758724339982464177649155839841052810845228409271250695698710244248133154137773070936798767164714622079827791277451769014694343256038988824670470993729291064872750592003697350958999285370669552406195245705815399259777957498162109862205112361450000458542720177982668800000000000000000000000000,0.37312760086073504251,finite exact regression only
90,162,72141508599364206202518687114508310321979828149154912042863944281601501320976405241773574387584027782631384149899617064729874562899936481393127144098972480802710365495851096282140332301042584823268520056964646556590209683253188462127579054019444725336286133925562284552763902638762463712038129598738258584522528618344886415935946109730737659655863440396486543725641124786385712545586085741897782038408662013796695263/132320121548169099453355236107308505180557269020025209280287930135533301669962795251432456671714363656941235979489564139285114044864304679059406744150207017442553347961142368792240899151549444843997249817299170881424882192616594555993720089446495554965111079578214239087599413997234419197330734550054710730831589329724105329418255809390434816109482474095727462845130502446460351891397568102400000000000000000000000000,0.54520437069808924679,17897651310577691939807215783472227082768338703946985362592267922510856338201207772149909874141447331059148942638557302274766169976795472995564329676939205344340762419095058861352316131842632085722414996418551494481562407554773848601365724194184336855427663699700063547227180953065437244789253040137406000320020387298462947188004426665071159104770478125849748503919611904413387055980560049758846705222098705749/30544484721418927990513162521117927550315876516144773273173059034132906188230734936517907532345672072591045650906155665662454274518067975159698504160018331044694740623735991013468889329254769571488648530479048769323107680799669831009390926652342073893314192754389889900401965169091344028960787728934656407380916790238853439693497876835629316802614742115920658061149572089793316755865600000000000000000000000000,0.58595361728355477293,622186658993037698372790896419069002260531234801092003427763468030465380709098180024024983019581866584690612100256240257166581723718207754069109095898281026063252490449777525624246858107511208774408514959563027826365119074735867797198733110060042180987234526521798365948207812044306943891936333742614392104341154165633422770503378912020340701948099621054242305716903658519065981449514203303192225346464219509/1667490310440102316832815180775375663787641509035816844430462710741785574746473728925945315509984663760354867970495083758724339982464177649155839841052810845228409271250695698710244248133154137773070936798767164714622079827791277451769014694343256038988824670470993729291064872750592003697350958999285370669552406195245705815399259777957498162109862205112361450000458542720177982668800000000000000000000000000,0.37312760086073504251,finite exact regression only
99,162,2947873253338676614392670658990002569865572716155075625223134968088213323090165483228938967535573066214263032653164440917770381064911441633131919680639287470804695684407182386480834242787005763799552904248833511119978248262614155358676573535590794971082013968035661548014577281432366919707996450935383072411443631147394453983458347271085730852736636472133171249716987853745389409152047021021356942810197162786962805295681/5757765076706482611776039925978225344415786910462664546264451572473348540252618348085011945524575318713043866051975509743090336523126249503220515800570673013131420657827648736498295986927028807034386530368724461069379677735954052366244547528816186476341923656135387143074141036429214895682990747038810329580515452398358855050550630500164620138366194543588055073877420046605099721144587249180999680000000000000000000000000,0.51198220387013404498,17897651310577691939807215783472227082768338703946985362592267922510856338201207772149909874141447331059148942638557302274766169976795472995564329676939205344340762419095058861352316131842632085722414996418551494481562407554773848601365724194184336855427663699700063547227180953065437244789253040137406000320020387298462947188004426665071159104770478125849748503919611904413387055980560049758846705222098705749/30544484721418927990513162521117927550315876516144773273173059034132906188230734936517907532345672072591045650906155665662454274518067975159698504160018331044694740623735991013468889329254769571488648530479048769323107680799669831009390926652342073893314192754389889900401965169091344028960787728934656407380916790238853439693497876835629316802614742115920658061149572089793316755865600000000000000000000000000,0.58595361728355477293,622186658993037698372790896419069002260531234801092003427763468030465380709098180024024983019581866584690612100256240257166581723718207754069109095898281026063252490449777525624246858107511208774408514959563027826365119074735867797198733110060042180987234526521798365948207812044306943891936333742614392104341154165633422770503378912020340701948099621054242305716903658519065981449514203303192225346464219509/1667490310440102316832815180775375663787641509035816844430462710741785574746473728925945315509984663760354867970495083758724339982464177649155839841052810845228409271250695698710244248133154137773070936798767164714622079827791277451769014694343256038988824670470993729291064872750592003697350958999285370669552406195245705815399259777957498162109862205112361450000458542720177982668800000000000000000000000000,0.37312760086073504251,finite exact regression only
120,162,1301673141825373036410587529621897302550276324992731044117747475530713912732808434478937997512403486995689464665495481653597790594106435743337549479077136444089168151413243542802352827700543737969362674757744180730595922903256916657108114717787103352890498904595995380282886643369734486201746038882944725207107273965564643105710353249835027567904330241058599514169725149723950028989010689310361205051281788251374400725368467/2867143439095606571005846576233850885829787575459177369604337833455839148082736016618947599867325037234896074231919235384913342087616301899852505826278956278354402161994361798341855008189961984816629056948298273872415333005201008534069496051745859206670300689036945302821304505866312234972167500606162512360667960525868314384263746546343952651180955735380467299355505181913484960228987136553076654080000000000000000000000000,0.45399651934957413468,17897651310577691939807215783472227082768338703946985362592267922510856338201207772149909874141447331059148942638557302274766169976795472995564329676939205344340762419095058861352316131842632085722414996418551494481562407554773848601365724194184336855427663699700063547227180953065437244789253040137406000320020387298462947188004426665071159104770478125849748503919611904413387055980560049758846705222098705749/30544484721418927990513162521117927550315876516144773273173059034132906188230734936517907532345672072591045650906155665662454274518067975159698504160018331044694740623735991013468889329254769571488648530479048769323107680799669831009390926652342073893314192754389889900401965169091344028960787728934656407380916790238853439693497876835629316802614742115920658061149572089793316755865600000000000000000000000000,0.58595361728355477293,622186658993037698372790896419069002260531234801092003427763468030465380709098180024024983019581866584690612100256240257166581723718207754069109095898281026063252490449777525624246858107511208774408514959563027826365119074735867797198733110060042180987234526521798365948207812044306943891936333742614392104341154165633422770503378912020340701948099621054242305716903658519065981449514203303192225346464219509/1667490310440102316832815180775375663787641509035816844430462710741785574746473728925945315509984663760354867970495083758724339982464177649155839841052810845228409271250695698710244248133154137773070936798767164714622079827791277451769014694343256038988824670470993729291064872750592003697350958999285370669552406195245705815399259777957498162109862205112361450000458542720177982668800000000000000000000000000,0.37312760086073504251,finite exact regression only
162,162,6516888046712208051417010458435135231645395496205654784497282073972839291394257178207328276732783500375259772860022446285629572013573687959145940210496298364352358773412846369193715585159931538958886305148034104148152455113991945100893795207652491969991157650203326300333148294572240936221016385541429673013075487872978099324510232644142090836655644337178065751876312792951898690098125207400603533190773492036996800774031927325894277049278943/16991961342641177873204844149777523424839454532533522398327485966289705729175901443674933076686603193585538812335076862820545211904540176149674277736380147098122676570701887845722455284143761428070858386360636492967183347816419222003331662478434102399727145925808820620348961631255703230554592530718116064248306091171616846581633164898810395204571951474541393898150907676373501220700905727426182131589097546226388172800000000000000000000000000,0.38352771144541947246,17897651310577691939807215783472227082768338703946985362592267922510856338201207772149909874141447331059148942638557302274766169976795472995564329676939205344340762419095058861352316131842632085722414996418551494481562407554773848601365724194184336855427663699700063547227180953065437244789253040137406000320020387298462947188004426665071159104770478125849748503919611904413387055980560049758846705222098705749/30544484721418927990513162521117927550315876516144773273173059034132906188230734936517907532345672072591045650906155665662454274518067975159698504160018331044694740623735991013468889329254769571488648530479048769323107680799669831009390926652342073893314192754389889900401965169091344028960787728934656407380916790238853439693497876835629316802614742115920658061149572089793316755865600000000000000000000000000,0.58595361728355477293,622186658993037698372790896419069002260531234801092003427763468030465380709098180024024983019581866584690612100256240257166581723718207754069109095898281026063252490449777525624246858107511208774408514959563027826365119074735867797198733110060042180987234526521798365948207812044306943891936333742614392104341154165633422770503378912020340701948099621054242305716903658519065981449514203303192225346464219509/1667490310440102316832815180775375663787641509035816844430462710741785574746473728925945315509984663760354867970495083758724339982464177649155839841052810845228409271250695698710244248133154137773070936798767164714622079827791277451769014694343256038988824670470993729291064872750592003697350958999285370669552406195245705815399259777957498162109862205112361450000458542720177982668800000000000000000000000000,0.37312760086073504251,finite exact regression only
243,162,19470413372597842493630692617561863076856178455103590456464882574116730611338164384464970006133398834509009313614710860823466169724731455939296607229322711898412625942446266006597145871562263641782745292230345669438784361075935668146826219480464145292502189177518916753902276587309348132635129860989098503586790921508414454678995154189059311774969899786658794576905755399856435574950952984974266361534141989025919340715447/60083935932283785755070110678769378893734850249705893359190852225038867678152687666918758612287481506625546175146433241205486159440627978420815031618574558559303992890714826124479834728621967690601866659210142565915275992550199045321708961083032793895261869166814823098823240974604596954467822550325243529927438680787202272446106104828003140162966751481248784130630153357377247303930009631902924800000000000000000000000000,0.32405356058134276998,17897651310577691939807215783472227082768338703946985362592267922510856338201207772149909874141447331059148942638557302274766169976795472995564329676939205344340762419095058861352316131842632085722414996418551494481562407554773848601365724194184336855427663699700063547227180953065437244789253040137406000320020387298462947188004426665071159104770478125849748503919611904413387055980560049758846705222098705749/30544484721418927990513162521117927550315876516144773273173059034132906188230734936517907532345672072591045650906155665662454274518067975159698504160018331044694740623735991013468889329254769571488648530479048769323107680799669831009390926652342073893314192754389889900401965169091344028960787728934656407380916790238853439693497876835629316802614742115920658061149572089793316755865600000000000000000000000000,0.58595361728355477293,622186658993037698372790896419069002260531234801092003427763468030465380709098180024024983019581866584690612100256240257166581723718207754069109095898281026063252490449777525624246858107511208774408514959563027826365119074735867797198733110060042180987234526521798365948207812044306943891936333742614392104341154165633422770503378912020340701948099621054242305716903658519065981449514203303192225346464219509/1667490310440102316832815180775375663787641509035816844430462710741785574746473728925945315509984663760354867970495083758724339982464177649155839841052810845228409271250695698710244248133154137773070936798767164714622079827791277451769014694343256038988824670470993729291064872750592003697350958999285370669552406195245705815399259777957498162109862205112361450000458542720177982668800000000000000000000000000,0.37312760086073504251,finite exact regression only
324,162,6640525605358047133456326172268851260223996445378080388454135139684805749005369474192146758610609848249254558943318075291713628589369673971042441350003479506909607713759182432881931923808182466215367782796062633222804299645261561968440361429238260035042562636145431298226057524294287731786541843438937640903808303053720382418935346882586371586424028362596375279529239203816549506478009226168527608985394756302113121212115280895258890538661384288246179/22548939660709152877072619648950277471851456383723699332837683080827363328095096168294974707031278760983059471733510828634816967962405089747422938552760220502465009024033929640359023413307295274845228467060383399177006621180463199774672092742995240126934962995491289806113413110804931913844974763039393332967646343190639397722672526322383722591739537586358897976600017057515472288394524434946991520585082220050643519873115750400000000000000000000000000,0.29449391879516900739,17897651310577691939807215783472227082768338703946985362592267922510856338201207772149909874141447331059148942638557302274766169976795472995564329676939205344340762419095058861352316131842632085722414996418551494481562407554773848601365724194184336855427663699700063547227180953065437244789253040137406000320020387298462947188004426665071159104770478125849748503919611904413387055980560049758846705222098705749/30544484721418927990513162521117927550315876516144773273173059034132906188230734936517907532345672072591045650906155665662454274518067975159698504160018331044694740623735991013468889329254769571488648530479048769323107680799669831009390926652342073893314192754389889900401965169091344028960787728934656407380916790238853439693497876835629316802614742115920658061149572089793316755865600000000000000000000000000,0.58595361728355477293,622186658993037698372790896419069002260531234801092003427763468030465380709098180024024983019581866584690612100256240257166581723718207754069109095898281026063252490449777525624246858107511208774408514959563027826365119074735867797198733110060042180987234526521798365948207812044306943891936333742614392104341154165633422770503378912020340701948099621054242305716903658519065981449514203303192225346464219509/1667490310440102316832815180775375663787641509035816844430462710741785574746473728925945315509984663760354867970495083758724339982464177649155839841052810845228409271250695698710244248133154137773070936798767164714622079827791277451769014694343256038988824670470993729291064872750592003697350958999285370669552406195245705815399259777957498162109862205112361450000458542720177982668800000000000000000000000000,0.37312760086073504251,finite exact regression only
486,162,343536261602000857514673122410372702121006321689989523380047943148293552303031769944062993443440095443785900351738927712830014556344315287083579364223449193628402835198173828925345538502422841162825732780652791255943295921270332555615746277852906755797386599362632371519180855310190616371953223990998661557488557927988998196895851986373183231871711132373509779038520677621638401098107920802097546599779891180337296520683909599771892103002015668107895847003657519/1073195625724278228865640054479449002147345447240490440158131279998838648446717076593275072947158289953274932913034320707779292788155486487366257926177523649942015357769328688127329198762576701722923759827772908756606586957132869940795600641077822869861597483332816653955323970961548718484924848527115503893062164011532464033806093333276818597886670261041257987542131647235937776802530934688000753624165991516987658098673012117908488192000000000000000000000000000,0.32010590927460697008,17897651310577691939807215783472227082768338703946985362592267922510856338201207772149909874141447331059148942638557302274766169976795472995564329676939205344340762419095058861352316131842632085722414996418551494481562407554773848601365724194184336855427663699700063547227180953065437244789253040137406000320020387298462947188004426665071159104770478125849748503919611904413387055980560049758846705222098705749/30544484721418927990513162521117927550315876516144773273173059034132906188230734936517907532345672072591045650906155665662454274518067975159698504160018331044694740623735991013468889329254769571488648530479048769323107680799669831009390926652342073893314192754389889900401965169091344028960787728934656407380916790238853439693497876835629316802614742115920658061149572089793316755865600000000000000000000000000,0.58595361728355477293,622186658993037698372790896419069002260531234801092003427763468030465380709098180024024983019581866584690612100256240257166581723718207754069109095898281026063252490449777525624246858107511208774408514959563027826365119074735867797198733110060042180987234526521798365948207812044306943891936333742614392104341154165633422770503378912020340701948099621054242305716903658519065981449514203303192225346464219509/1667490310440102316832815180775375663787641509035816844430462710741785574746473728925945315509984663760354867970495083758724339982464177649155839841052810845228409271250695698710244248133154137773070936798767164714622079827791277451769014694343256038988824670470993729291064872750592003697350958999285370669552406195245705815399259777957498162109862205112361450000458542720177982668800000000000000000000000000,0.37312760086073504251,finite exact regression only
