degree,cumulativeChannels,neumannTerms,relativeLinearResidual
0,1,0,0.00000000000000000e+00
1,7,15,4.20673070883558854e-16
2,28,8,2.57156319996845635e-16
3,84,6,1.76260216545052407e-16
4,210,5,3.12978264796004935e-16
5,462,4,2.39752192148092553e-16
6,924,4,1.34700870164559161e-16
7,1716,3,1.48860446819590691e-16
8,3003,3,1.62485258645826351e-16
