degree,value,scaledValueTimes1e8,increment,absoluteIncrement
0,-1.39323128788412402e-08,-1.39323128788412398e+00,,
1,-1.55459643041183495e-08,-1.55459643041183493e+00,-1.61365142527710938e-09,1.61365142527710938e-09
2,-1.49756441073953175e-08,-1.49756441073953184e+00,5.70320196723031993e-10,5.70320196723031993e-10
3,-1.49234174041121445e-08,-1.49234174041121448e+00,5.22267032831730302e-11,5.22267032831730302e-11
4,-1.49236467695586236e-08,-1.49236467695586228e+00,-2.29365446479082357e-13,2.29365446479082357e-13
5,-1.49238129174406699e-08,-1.49238129174406708e+00,-1.66147882046252057e-13,1.66147882046252057e-13
6,-1.49238241043302875e-08,-1.49238241043302877e+00,-1.11868896176864689e-14,1.11868896176864689e-14
7,-1.49238243631330916e-08,-1.49238243631330914e+00,-2.58802804046103549e-16,2.58802804046103549e-16
8,-1.49238243203961733e-08,-1.49238243203961729e+00,4.27369183135401653e-17,4.27369183135401653e-17
