M,delta,dimension,carrierMin,carrierMax,carrierSquareSum,carrierFormula,carrierFormulaRelativeError,Kf,Kv,E0,rhoSquared,BSquared,profileMoment,zeta,zetaScaledByGMminus2,launchNormalization,algebraicRootResidual,evolvedRootResidual,rootH,rootHNormalized,mixedRow,criticalAction,reciprocalQf,deltaAbsHbIntegral,maxEvenNorm,maxOddNorm,mixedRowNormalized,criticalActionNormalized,profileMomentNormalized,reciprocalQfNormalized,evenNormParityRatio,cubicParityRatio,P2,S2,physicalE,DProxy,theta,physicalCriticalAction,lambdaStarProxy,candidateScale,liftedFirst,liftedLambda,liftedMixed,liftedGenericB,liftedMeasuredCubic,liftedRootAtom,liftedM2CompleteScale,liftedFirstRatio,liftedLambdaRatio,liftedMixedRatio,liftedGenericBRatio,liftedMeasuredCubicRatio,liftedRootAtomRatio,liftedM2CompleteRatio,genericBRouteScaled,physicalActionScaled,thetaScaled,DScaled,solverNfev,elapsedSeconds,maxRssMb
4,4.0,73,9,15,596.0,596.0,0.0,594.9449682461523,596.0,3.999999999999999,8.0,1200.0,5.728062987783683,-0.08422176980082947,0.3368870792033179,0.9991145142042248,0.0,1.4217239649558407e-14,0.15048144969590593,0.03762036242397648,15.92642081404042,5.692396835559394,63.137385981119934,0.013694708810321091,0.08414719261997579,1.998229028407059,0.9954013008775262,1.6295450985041486,0.3126486769938507,0.8615399410737375,0.08414719261997579,0.003423677202580273,16.0,48.08511967810061,38144.0,38144.0,0.02016993275088113,0.11481526136456152,1.1148152613645614,37.52709816641804,0.645437848028196,0.22963052272912304,2.7641853995821632,31.818538586835285,0.0005524427114941515,0.00045674140455718537,0.3227189240140981,0.017199247465549586,0.006119058865431088,0.0736583837983976,0.8478816679545133,1.4721167862334666e-05,1.2170975824768421e-05,0.008599623732774795,0.3058086694046598,0.13147126020542657,0.08067973100352452,37.25,2804,0.0545820000115782,72.234375
8,8.0,145,17,31,4776.0,4776.0,0.0,4772.840310889042,4776.0,8.000000000000004,16.0,9568.0,24.352140244184774,-0.07277441419434488,0.5821953135547591,0.9996691570479617,0.0,6.931955010003321e-15,1.5221741923633116,0.19027177404541396,63.91885004742514,10.224841999433739,535.4704304417672,0.021148311783851147,0.07275033729231997,2.827491359564649,0.9987320319910178,1.2292774038713543,0.3956160316607121,1.087382282618939,0.07275033729231997,0.0026435389729813933,64.0,192.1271067686719,1222656.0,1222656.0,0.010056904667539357,0.10283026122895762,1.1028302612289576,117.92614515534365,1.2872837974450384,0.20566052245791525,5.386261617984901,160.93537083172464,0.0004253731109791804,0.023301991645795238,0.6436418987225189,0.010916016933728347,0.0017439773189143039,0.045674872276114845,1.3647132331827272,3.607114524254465e-06,0.00019759817990403752,0.005458008466864171,0.23203296707705712,0.09890180528555588,0.08045523734031486,37.3125,2816,0.07070491701597348,72.578125
16,16.0,289,33,63,38224.0,38224.0,0.0,38217.20096455076,38224.0,15.999999999999998,32.0,76480.0,106.1984744626998,-0.0533524301706147,0.8536388827298352,0.9999110593106669,0.0,2.2530805346421268e-15,7.704548857194112,0.481534303574632,255.9062015105932,18.35219475405267,4657.72327018713,0.03411953458814876,0.05334768496869773,3.999644237239889,0.9996335996507547,1.0424516038445435,0.4564470847680406,1.2511974742866354,0.05334768496869773,0.0021324709117592974,256.0,768.1366311266454,39141376.0,39141376.0,0.0050239158063431705,0.09219988130597344,1.0921998813059735,370.8350892621423,2.572244892847703,0.18439976261194688,10.646006665669201,815.9325896985227,0.00034282733824494613,0.2982200094770615,1.2861224464238517,0.006936357878014586,0.0004972554322700439,0.028708196645715934,2.200257239200313,9.244738380261595e-07,0.0008041849817136658,0.0034681789390072935,0.19839376297964584,0.08379502543843827,0.08038265290149073,37.328125,2810,0.11683925002580509,73.34375
32,32.0,577,65,127,305824.0,305824.0,0.0,305813.14113743894,305824.0,32.00000000000001,64.0,611712.0,471.86865836938216,-0.03370847348064315,1.078671151380581,0.999982246391791,0.0,4.982993184743378e-16,25.843153907714008,0.8075985596160627,1023.8750279972123,32.603588523297326,41294.23758561634,0.06604527540634449,0.0643651824681303,5.6567538199144085,0.9998779570285277,0.9333329949854818,0.5030370598388253,1.3756828499121696,0.0643651824681303,0.002063914856448265,1024.0,3072.1090810737023,1252655104.0,1252655104.0,0.0025113374694871087,0.08187861349829645,1.0818786134982965,1166.2429726761063,5.1432191375095995,0.1637572269965929,21.14484858294908,4098.490699879606,0.0003317239496210967,1.6772434496625737,2.5716095687547993,0.004410075137008345,0.00014041433117562905,0.01813074040174432,3.5142682922024817,2.84438112291395e-07,0.0014381595336123705,0.002205037568504172,0.1792521855400042,0.07500525189810124,0.08036279902358748,37.33203125,2798,0.20551933301612735,75.515625
64,64.0,1153,129,255,2446656.0,2446656.0,0.0,2446641.905627364,2446656.0,64.00000000000001,128.0,4893440.0,2126.949547733864,-0.019201168409839178,1.2288747782297074,0.9999971196619112,0.0,1.1254018550399536e-16,68.00844164037157,1.0626319006308058,4095.7772685990744,57.330231441283466,371542.3066949122,0.16464089647057176,0.07769110402510634,7.99997695728973,0.9999456222165709,0.8615629228474605,0.5399007869402994,1.4736185207995416,0.07769110402510634,0.0025725140073526837,4096.0,12288.070787494711,40086011904.0,40086011904.0,0.0012555985381163832,0.07198375478754943,1.0719837547875495,3668.7587494938743,10.285863224249413,0.14396750957509885,42.091313264447976,20382.225394806846,0.00041344573784524136,5.80732923606387,5.1429316121247055,0.002803635759824329,3.924147631537778e-05,0.011472903000300771,5.555618885438757,1.1269362911973388e-07,0.0015829139042912057,0.0014018178799121643,0.16698049614774094,0.06923373737104316,0.08035830643944852,37.3330078125,2720,0.39714545803144574,80.59375
