M,delta,dimension,carrierMin,carrierMax,zetaReal,zetaImag,zetaTimesM,rootColumnAbs,rootColumnBAbs,algebraicRootResidual,evolvedRootResidual,rootH,rootHOverAM,mixedRow,criticalQ,deltaIntegralAbsHB,integralH2,maxAbsH,maxAbsQF,maxActionDensity,maxAbsB,maxEvenNorm,maxOddNorm,maxEvenNormOverDeltaAOverM,maxOddNormOverSqrtM,launchEnergyE0,K_s,K_v,K_f,rhoSquared,B_squared,B,profileMoment,phiMaximizerMin,phiMaximizerMax,theta,referenceData,dataOneThird,physicalCriticalAction,referencePayment,exactRootPhysicalAtom,exactRootRatio,exactRootRatioRescaled,measuredBvUpper,measuredBvLiftedRatio,genericBToMeasuredHB,rawTermFirstRoot,rawTermTargetDiagonal,rawTermMixedMoment,rawTermGenericB,liftedTermFirstRoot,liftedTermTargetDiagonal,liftedTermMixedMoment,liftedTermGenericB,ratioFirstRoot,ratioTargetDiagonal,ratioMixedMoment,ratioGenericB,solverNfev,elapsedSeconds,maxRssMb
4,4.0,65,9,15,-0.08422176968347811,0.0,0.33688707873391244,0.9827338526854917,0.0827675842010346,0.0,4.568556904310794e-16,0.15048144915276468,0.03762036228819117,15.926420798792819,5.692387943547132,0.013696165107401374,0.057393239848125825,5.651845185419625,1684.2498652550482,32.88951098780158,0.6731775400234872,0.0841471925029359,1.9982290284133786,0.0841471925029359,0.9991145142066893,4.000000000000001,596.0,596.0,594.9449682490873,8.0,1200.0,34.64101615137755,5.728063638715984,0.0010225536260865056,0.002962492831845687,0.020169932750781626,38144.0,33.66216759580771,0.11481508201270577,37.52709212904582,0.0004567414012578467,1.217097769492059e-05,0.021669697410318305,63.995020407496696,0.034395824050674345,57589.87312025378,32.00000000000001,11.384775887094264,137.0447503139504,1577.5208215385842,0.6454378480250121,0.22963016402541153,2.7641833976800387,31.818488883391026,0.01719925023248593,0.006119050291340818,0.07365834230306835,0.8478804798937151,3053,0.09105883300071582,74.703125
8,8.0,129,17,31,-0.07277441418069196,0.0,0.5821953134455357,0.9975020801082818,0.07259262952390187,0.0,1.5742615544489524e-16,1.5221741911497346,0.19027177389371683,63.9188500351707,10.224828042661775,0.021149192110626925,0.057712359261394744,11.309965438267854,13504.098733291821,129.78502569881437,1.1640053964588897,0.07275033727868058,2.8274913595669644,0.07275033727868058,0.9996691570480856,8.0,4776.0,4776.0,4772.840310890227,16.0,9568.0,97.81615408509987,24.35214186890223,0.00022888507614950737,0.0007891250431731892,0.010056904667536861,1222656.0,106.93045820481082,0.10283012086700699,117.92613014637595,0.023301991608633704,0.00019759820473808543,0.021832036646108464,255.99542317308547,0.021831646327932996,378323.0489687038,128.0,20.44965608532355,535.5781226564375,16002.453685034468,1.2872837974447182,0.20566024173401398,5.386258121574156,160.93515115706558,0.010916018323054234,0.0017439751603714796,0.04567484844019266,1.3647115440598672,3059,0.12979062501108274,80.625
16,16.0,257,33,63,-0.05335243016815362,0.0,0.853638882690458,0.9996346489432933,0.05333293780141382,0.0,9.80118763926896e-17,7.704548855556962,0.48153430347231013,255.906201475812,18.352172846032634,0.034114063742457956,0.05779423984601616,22.625404499904096,108104.18270054169,513.2434613655778,1.707125918919594,0.05334768496623731,3.9996442372427,0.05334768496623731,0.999911059310675,16.0,38224.0,38224.0,38217.20096455139,32.0,76480.0,276.5501762790977,106.19848048318975,5.362042060760269e-05,0.00020132191981339016,0.005023915806343087,39141376.0,339.53042442993547,0.09219977124192374,370.8350518920488,0.2982200093503182,0.0008041850624118752,0.022021565803951194,1023.9962195588009,0.01387266593820963,2380389.119978405,512.0,36.70434569206527,2119.0642963464684,162409.49234159343,2.5722448928476607,0.1843995424838475,10.646000613072314,815.9316156750879,0.006936358577010808,0.0004972548887787629,0.028708183217187884,2.20025483435856,2972,0.20007770898519084,90.953125
32,32.0,513,65,127,-0.033708473480566735,0.0,1.0786711513781355,0.9999483720813724,0.03370673318224082,0.0,2.0816681711721685e-17,25.843153907447963,0.8075985596077488,1023.8750279625508,32.60355378219014,0.06604957299582818,0.05781653697648581,45.2540305593467,864985.5401113532,2050.681455215996,2.1573040021462577,0.06436530650806886,5.65675381991834,0.06436530650806886,0.999982246391791,32.0,305824.0,305824.0,305813.14113743906,64.0,611712.0,782.1201953664155,471.86869430687665,1.2861647290112021e-05,5.03075386823317e-05,0.002511337469487108,1252655104.0,1077.9795053948005,0.0818785262516522,1166.2428786260116,1.67724344962804,0.0014381596495612087,0.022225387779275792,4095.9977881450463,0.008820146222392158,12354307.443774866,2048.0,65.20710756438028,8419.751777485353,1631993.462641023,5.143219137509597,0.1637570525033044,21.144838122579646,4098.48633268841,0.004410075492652945,0.00014041419287912985,0.018130732894584584,3.514264830938963,2852,0.38486854202346876,113.53125
64,64.0,1025,129,255,-0.019201168409834348,0.0,1.2288747782293983,0.9999930283103532,0.01920103454524734,0.0,2.0816681711721685e-17,68.00844164033914,1.062631900630299,4095.7772685812247,57.3301763453738,0.16462186309153087,0.0578224843957075,90.50940729343395,6920168.262841372,8194.914161937515,3.039859017133029,0.07769231718651992,7.999976957295287,0.07769231718651992,0.9999971196619108,63.99999999999997,2446656.0,2446656.0,2446641.9056273624,128.0,4893440.0,2212.112112891207,2126.949653475423,3.1253701108097177e-06,1.2459597289595535e-05,0.0012555985381163838,40086011904.0,3422.401443220532,0.07198368560920583,3668.758512737811,5.807329236058335,0.0015829140064399102,0.022429087526011277,16383.99942585742,0.005607271685007853,49304081.54393038,8191.999999999996,114.6603526907476,33522.891917687804,16233059.523557162,10.285863224249411,0.14396737121841166,42.09129408528235,20382.205806934613,0.0028036359407514083,3.9241441135621656e-05,0.011472898512982726,5.55561390485862,2816,0.8564734579995275,151.65625
128,128.0,2049,257,511,-0.010285558273212574,0.0,1.3165514589712095,0.9999990899333282,0.01028554891266879,0.0,6.765421556309548e-17,156.6852519434239,1.2241035308079993,16383.554035686704,99.88231697316388,0.3880135382491635,0.05782470868104248,181.0192611770612,55361844.72282517,32771.67999400903,7.143497489501517,0.08576324837377171,11.313703823566279,0.08576324837377171,0.9999995867474858,127.99999999999969,19573376.0,19573376.0,19573359.82250969,256.0,39147008.0,6256.7569874496485,9696.926530405315,7.65225155444018e-07,3.076275256483589e-06,0.0006277920659215898,1282760769536.0,10865.470987401894,0.06270532612161762,11546.793889131905,15.412463577500592,0.0013347829471527278,0.022624604433503413,65535.99974786719,0.003563151907706173,206158376.83253548,32767.99999999992,199.76463394632776,133612.65303917817,159984482.46899295,20.571490416118603,0.12541065224323525,83.88096348473024,100436.98876460544,0.001781575960707235,1.086108000605038e-05,0.007264437582425442,8.69825769204549,2795,2.1548194590141065,227.578125
