quantity,version,exact,decimal,normalized_to_r031
bivariate_radius,R0.31,4/81,0.049382716049382713308,1
bivariate_radius,R0.37,16/243,0.065843621399176960329,4/3
fixed_charge_radius,R0.31,64/531441,0.00012042729108217093065,1
fixed_charge_radius,R0.37,4096/14348907,0.00028545728256514589765,64/27
